GEO_ID,B16005G_001E,B16005G_001M,B16005G_002E,B16005G_002M,B16005G_003E,B16005G_003M,B16005G_004E,B16005G_004M,B16005G_005E,B16005G_005M,B16005G_006E,B16005G_006M,B16005G_007E,B16005G_007M,B16005G_008E,B16005G_008M,B16005G_009E,B16005G_009M,B16005G_010E,B16005G_010M,B16005G_011E,B16005G_011M,NAME,B16005G_001EA,B16005G_001MA,B16005G_002EA,B16005G_002MA,B16005G_003MA,B16005G_003EA,B16005G_004MA,B16005G_004EA,B16005G_005MA,B16005G_005EA,B16005G_006EA,B16005G_006MA,B16005G_007EA,B16005G_007MA,B16005G_008EA,B16005G_008MA,B16005G_009MA,B16005G_009EA,B16005G_010MA,B16005G_010EA,B16005G_011EA,B16005G_011MA,state
0400000US01,79498,6064,76595,6014,70766,5826,5829,1683,4897,1455,932,591,2903,1158,440,269,2463,1076,1290,541,1173,702,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55977,4865,55432,4841,51153,4531,4279,1411,3848,1335,431,436,545,355,194,170,351,291,216,239,135,155,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,229637,10746,207687,10545,177018,9679,30669,3632,27099,3079,3570,1302,21950,4055,5860,1758,16090,3396,8151,2027,7939,1977,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,73956,5225,71975,5081,67343,5076,4632,1498,4081,1354,551,348,1981,827,65,115,1916,786,778,518,1138,571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1672441,35377,1460758,32094,1222433,29225,238325,9334,208638,8973,29687,2978,211683,11030,35710,2977,175973,10244,87661,6408,88312,6450,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,168799,9549,158192,8711,143169,8406,15023,2001,12968,1827,2055,719,10607,2027,2091,617,8516,1798,4176,853,4340,1432,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,101902,6990,90608,6405,74067,5575,16541,2555,13544,2358,2997,925,11294,2516,3388,1168,7906,2073,3988,1270,3918,1658,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24214,3448,22189,3266,20792,3100,1397,642,1019,591,378,323,2025,865,734,565,1291,720,931,612,360,365,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17853,2878,14564,2566,11899,2267,2665,990,2622,988,43,69,3289,1244,880,598,2409,1135,1070,506,1339,1075,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,482970,19781,386831,15913,323551,14339,63280,5839,51619,4896,11661,2468,96139,8954,28181,4097,67958,7290,30292,4062,37666,5028,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,238353,12711,209731,11639,184840,10754,24891,3649,21460,3466,3431,1021,28622,5274,6181,1871,22441,4564,8362,2413,14079,3196,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,294914,10936,288884,10931,264291,10045,24593,3206,20610,2891,3983,1257,6030,1227,1489,550,4541,1170,2522,799,2019,816,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45522,5344,43964,5079,39941,4787,4023,1403,3477,1361,546,446,1558,768,267,315,1291,678,504,422,787,535,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,285690,11693,250069,10828,216198,9957,33871,4140,29230,3864,4641,1158,35621,4234,4938,1179,30683,4220,16057,2810,14626,2586,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,148349,7640,140894,7302,130994,7061,9900,2032,8236,1777,1664,662,7455,1840,1448,640,6007,1857,3487,1391,2520,1055,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56886,4994,54344,4968,49578,4702,4766,1379,4208,1257,558,355,2542,905,761,394,1781,797,987,687,794,475,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,85965,5478,82479,5282,78238,5211,4241,1280,3772,1210,469,304,3486,1192,530,320,2956,1117,1546,662,1410,684,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,84316,5555,80803,5455,77970,5376,2833,819,2511,752,322,262,3513,1289,1053,576,2460,1082,1067,604,1393,985,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,72595,6415,69692,6295,64538,5770,5154,1664,4168,1458,986,723,2903,1059,900,525,2003,769,873,422,1130,587,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26931,2252,25900,2118,24344,2214,1556,602,1521,598,35,41,1031,626,448,390,583,440,313,254,270,240,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,175707,10101,155458,9399,136554,8292,18904,3140,16705,2874,2199,705,20249,2818,6162,1641,14087,2266,7818,1794,6269,1471,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
