GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001EA,B12502_001MA,B12502_002MA,B12502_002EA,B12502_003MA,B12502_003EA,B12502_004MA,B12502_004EA,B12502_005EA,B12502_005MA,B12502_006MA,B12502_006EA,B12502_007EA,B12502_007MA,B12502_008MA,B12502_008EA,B12502_009MA,B12502_009EA,B12502_010MA,B12502_010EA,B12502_011EA,B12502_011MA,state
0400000US01,3972124,3503,1895814,3709,657497,10366,1238317,9727,9655,1883,1228662,9516,2076310,3989,609482,7910,1466828,8674,18463,2311,1448365,8825,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,583639,1229,307088,1526,117253,4123,189835,4009,530,294,189305,4009,276551,1567,81422,3730,195129,3621,1362,539,193767,3617,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5663228,2008,2797660,2475,1038238,11413,1759422,11665,10539,1939,1748883,11941,2865568,1852,858557,10273,2007011,10059,19926,2349,1987085,10327,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2418049,3055,1179013,3349,368758,7792,810255,8200,5998,1271,804257,8181,1239036,3521,304307,7050,934729,7078,13791,1878,920938,6959,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32009857,3422,15802609,4183,6457535,27984,9345074,27831,43384,3564,9301690,28104,16207248,3926,5453614,27756,10753634,27485,108294,5151,10645340,28273,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4558575,2194,2281955,2677,819807,10045,1462148,10323,7573,1324,1454575,10358,2276620,2384,647734,9193,1628886,8878,13581,1630,1615305,9186,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2986837,1938,1442504,2026,550228,6766,892276,6910,5153,1072,887123,6917,1544333,1981,497398,8104,1046935,7446,8651,1244,1038284,7790,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,792511,507,379153,1265,135859,4520,243294,4433,1044,524,242250,4467,413358,1113,133312,4559,280046,4185,3571,1296,276475,4501,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,585161,295,274333,549,161791,3736,112542,3742,387,333,112155,3779,310828,574,172944,3460,137884,3498,939,495,136945,3516,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17514198,4283,8482987,5321,2989886,22852,5493101,22213,31675,2782,5461426,22555,9031211,5206,2578311,24912,6452900,23889,72617,4857,6380283,23402,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8349724,5029,4009958,5500,1489940,17838,2520018,17166,14418,1998,2505600,16854,4339766,5289,1382082,14959,2957684,15269,36087,3192,2921597,15164,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1167820,763,582993,1022,224290,5636,358703,5586,1414,456,357289,5565,584827,867,167608,4051,417219,3939,5696,1003,411523,4222,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1349449,1444,673450,2568,209896,5978,463554,6213,1284,567,462270,6199,675999,2312,164824,5983,511175,6034,4907,1259,506268,6366,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10413077,3234,5075158,4009,1963505,15728,3111653,15882,19512,2253,3092141,15992,5337919,3881,1743472,13909,3594447,14214,41147,3086,3553300,14480,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5364611,3364,2615670,4239,916799,10045,1698871,9788,10358,1515,1688513,9878,2748941,4345,769583,11310,1979358,10432,20696,2106,1958662,10601,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2537862,2815,1252885,3375,420617,6194,832268,6589,4367,850,827901,6463,1284977,2723,338142,5715,946835,6337,9861,1262,936974,6478,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2318621,2961,1148850,3682,380487,7392,768363,7151,4612,920,763751,7137,1169771,2571,297144,6016,872627,5700,7067,1073,865560,5974,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3612529,3254,1761269,3706,567973,8850,1193296,8679,7758,1312,1185538,8634,1851260,3849,471878,8154,1379382,8050,14488,1872,1364894,8451,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3760394,3299,1815900,3690,720240,12281,1095660,11634,9950,1868,1085710,11981,1944494,3580,655409,9692,1289085,9340,15522,2022,1273563,9322,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1128297,1518,548428,1757,178793,4548,369635,4288,2215,711,367420,4374,579869,1372,148266,4450,431603,4525,4380,950,427223,4657,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,4936544,1855,2365357,2651,893377,9662,1471980,9839,7645,1379,1464335,9910,2571187,2066,847453,11853,1723734,11250,20937,2333,1702797,11599,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
