GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001EA,B19101I_001MA,B19101I_002EA,B19101I_002MA,B19101I_003MA,B19101I_003EA,B19101I_004MA,B19101I_004EA,B19101I_005MA,B19101I_005EA,B19101I_006EA,B19101I_006MA,B19101I_007EA,B19101I_007MA,B19101I_008MA,B19101I_008EA,B19101I_009MA,B19101I_009EA,B19101I_010MA,B19101I_010EA,B19101I_011MA,B19101I_011EA,B19101I_012EA,B19101I_012MA,B19101I_013EA,B19101I_013MA,B19101I_014MA,B19101I_014EA,B19101I_015MA,B19101I_015EA,B19101I_016EA,B19101I_016MA,B19101I_017EA,B19101I_017MA,state
0400000US01,36721,2715,3668,1253,2652,1083,3011,1152,3384,1075,2670,919,2928,1022,1564,801,1654,589,1939,768,2130,720,3324,966,3366,1103,1775,970,1103,582,684,513,869,427,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9921,1212,540,461,156,204,59,96,323,345,699,677,241,209,113,180,219,176,174,161,974,504,1894,874,973,517,1689,712,1061,501,394,300,412,277,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,445604,7475,23934,2714,17504,2589,23159,2913,29318,3078,25804,3064,26475,2862,28634,3608,27084,3295,21777,2610,40591,3754,50897,4256,54442,3390,35531,3071,16289,2243,15726,2348,8439,1356,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47001,2326,2905,996,2015,693,2452,853,4484,1252,5253,1621,2582,863,3050,891,2667,1034,2296,678,4909,1343,5372,1406,4292,1062,2208,942,666,373,815,620,1035,589,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3062342,14892,131667,6187,106672,5677,135527,5685,167875,7147,155829,7916,168722,7171,155251,5506,163200,7638,138922,6072,267005,8835,346554,10950,400504,9275,274499,9393,159643,6183,170203,6159,120269,5606,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,247228,5425,11688,1793,8366,1365,8451,1531,11475,1995,12410,2121,13923,2183,15309,2287,13602,1584,13812,2035,22418,2789,32190,3214,35697,3604,21223,2427,10501,1828,9544,1599,6619,1224,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,121259,3594,9296,1614,5232,1304,6170,1388,6264,1377,8317,1611,5643,1358,6584,1541,7593,1563,5617,1520,9487,1769,11048,1877,15504,2304,8686,1682,4829,1302,5102,1242,5887,1208,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18470,1393,1096,526,648,520,437,354,1333,549,1190,807,1319,652,1066,533,1488,1061,628,380,1358,599,2454,1220,2721,889,906,474,416,276,1000,479,410,263,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10122,1170,153,170,323,280,0,208,480,310,434,401,290,312,257,182,337,397,480,372,300,210,928,416,1552,595,910,417,666,366,648,356,2364,604,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1162466,13060,58311,4765,47201,3927,60419,4639,70919,4999,73688,5303,69335,5208,66123,4832,65342,3996,54960,4386,104948,6350,120432,5477,141789,6791,86492,5545,48652,3633,48442,3678,45413,2920,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,202725,5541,11042,2176,7705,1580,11665,2280,13230,2472,13263,2199,13003,2346,13286,2310,12427,2424,10873,2160,17418,2686,19713,2451,24067,2666,13555,2225,7585,1684,7285,1562,6608,1326,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28234,1870,2054,809,353,179,1196,657,850,467,541,333,870,477,700,456,1695,798,1524,682,1664,507,2614,816,5609,1292,3386,873,1969,798,1412,591,1797,573,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40975,2314,2453,755,1093,609,846,443,1640,743,2980,1131,4244,1218,3387,1181,2246,913,2270,946,4496,1172,5435,1479,5023,1231,2571,1070,1156,623,457,367,678,515,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,449552,6748,18960,2340,10906,1901,16870,2417,25500,2515,23500,2208,27136,3052,26390,2830,22871,2967,25180,2618,42955,3907,51886,3566,63150,4052,39906,3227,21904,2428,20094,2329,12344,1539,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,87703,3324,7627,1540,3649,1214,3156,928,5147,1191,4190,1167,4666,1113,6143,1359,5776,1217,4173,1179,9411,1412,9489,2054,9846,1556,6390,1395,2477,788,3088,953,2475,1035,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37314,2143,1678,697,1061,509,2148,851,2703,911,1819,556,1595,639,2687,769,2549,877,2171,945,3700,1192,4435,1140,4875,1137,2755,734,1615,679,878,386,645,345,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,72330,2715,3238,1024,2833,902,2676,736,4725,1213,4762,1279,4518,1095,5708,1262,4793,990,4722,995,6863,1172,8472,1319,7289,1282,5933,1368,2124,711,1855,707,1819,751,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,28902,2216,2415,1076,1511,700,1564,787,2390,762,1619,799,1508,550,2357,897,764,451,1570,651,2150,676,3605,928,2686,870,1272,462,1449,646,1022,587,1020,492,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,50922,2816,4857,1266,2209,794,3811,1009,2607,880,4085,1269,3069,1308,3828,979,2434,725,2782,979,3182,878,4130,1223,4971,1209,3031,960,1509,590,2882,1096,1535,583,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3244,666,415,380,191,205,266,306,65,95,294,287,58,90,222,177,64,91,55,93,302,245,160,134,309,207,300,243,197,143,201,137,145,165,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,120989,3716,4451,1217,2215,805,4314,1264,4356,1144,5227,1375,6124,1362,5184,1707,5574,1491,4345,1373,8722,1677,15604,2177,18723,2351,12796,1835,6985,1341,8492,1449,7877,1369,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,169938,4890,16561,2013,11116,1707,11690,2206,9404,1678,8400,1758,10831,2079,8791,1881,8257,1759,6407,1534,10237,1632,14707,2545,16911,2099,13145,2112,6947,1272,7666,1647,8868,1669,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,99680,3235,7411,1402,3297,813,4749,1047,5757,1082,5852,1186,6352,1388,6707,1554,4479,911,4191,1013,8421,1597,11431,1515,12362,1642,10173,1521,3053,716,2776,701,2669,564,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,52724,2270,2426,787,3357,1047,3420,1040,2339,749,2866,967,3367,995,2041,745,3654,850,2695,918,4579,966,5054,1125,7419,1472,4093,1038,1956,538,1999,663,1459,589,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
