GEO_ID,C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,NAME,C25055_001EA,C25055_001MA,C25055_002EA,C25055_002MA,C25055_003MA,C25055_003EA,C25055_004MA,C25055_004EA,C25055_005EA,C25055_005MA,state
0400000US01,525186,9896,385295,9246,70936,3854,42764,3089,26191,2155,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,84396,3696,66438,3084,9707,1146,5675,1118,2576,629,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,859557,13010,637846,11112,104973,5069,66831,3873,49907,3179,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,365461,8588,268600,7814,50261,3902,26673,2648,19927,1948,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5697421,26766,4129337,24538,784608,14532,453906,9694,329570,9710,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717989,11693,549400,10594,80367,5196,49625,3731,38597,3017,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,439295,7765,293658,6975,65357,3562,40566,2749,39714,2773,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99986,4411,72888,4468,12624,1866,8432,1338,6042,956,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,158550,4053,118788,3983,18687,1670,12657,1523,8418,1177,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2565527,21240,1819014,19074,355454,9534,216581,7212,174478,6390,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1321593,18186,1005824,16513,165576,7124,93841,4516,56352,3712,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,177512,4269,122549,4041,25070,2111,16725,2083,13168,1510,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,177724,5943,135527,5535,19978,2677,12526,1889,9693,1549,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1558423,14714,1107531,14374,212274,6250,128286,5293,110332,4344,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,747371,11576,548307,10401,95637,4338,54607,3426,48820,2840,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,335444,7691,242959,6691,39863,2973,22914,1710,29708,2474,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,365853,6439,267944,6067,43279,3388,25280,2140,29350,2299,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,524986,9042,376922,6669,77823,4379,42644,3099,27597,2581,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,539054,11985,396796,11732,75860,4104,43481,3420,22917,2448,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,133662,4721,81766,4039,23227,2268,13769,1764,14900,1672,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,709705,11380,500397,10186,100468,4527,59552,3824,49288,3156,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,951688,10737,638441,9017,138382,5635,87715,4473,87150,4277,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1070220,12285,748113,10329,149355,4763,93781,3926,78971,3887,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,590552,8548,408257,7726,75487,3564,43533,2190,63275,3008,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,300261,9495,224960,8389,39243,2923,22066,2244,13992,1871,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,739845,12023,528358,11181,102069,5289,56959,3419,52459,2932,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,119850,4105,83562,3551,16200,1918,9805,1526,10283,1235,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,239436,6475,173466,5786,29965,2376,17723,2091,18282,1461,Nebraska,null,null,null,null,null,null,null,null,null,null,31
