GEO_ID,C27009_001E,C27009_001M,C27009_002E,C27009_002M,C27009_003E,C27009_003M,C27009_004E,C27009_004M,C27009_005E,C27009_005M,C27009_006E,C27009_006M,C27009_007E,C27009_007M,C27009_008E,C27009_008M,C27009_009E,C27009_009M,C27009_010E,C27009_010M,C27009_011E,C27009_011M,C27009_012E,C27009_012M,C27009_013E,C27009_013M,C27009_014E,C27009_014M,C27009_015E,C27009_015M,C27009_016E,C27009_016M,C27009_017E,C27009_017M,C27009_018E,C27009_018M,C27009_019E,C27009_019M,C27009_020E,C27009_020M,C27009_021E,C27009_021M,NAME,C27009_001MA,C27009_001EA,C27009_002EA,C27009_002MA,C27009_003EA,C27009_003MA,C27009_004EA,C27009_004MA,C27009_005MA,C27009_005EA,C27009_006MA,C27009_006EA,C27009_007EA,C27009_007MA,C27009_008MA,C27009_008EA,C27009_009EA,C27009_009MA,C27009_010EA,C27009_010MA,C27009_011MA,C27009_011EA,C27009_012MA,C27009_012EA,C27009_013EA,C27009_013MA,C27009_014EA,C27009_014MA,C27009_015EA,C27009_015MA,C27009_016MA,C27009_016EA,C27009_017MA,C27009_017EA,C27009_018EA,C27009_018MA,C27009_019MA,C27009_019EA,C27009_020EA,C27009_020MA,C27009_021EA,C27009_021MA,state
0400000US01,4793512,2005,2300832,5674,596872,6090,1739,1017,595133,5938,1362854,4533,54361,4055,1308493,6136,341106,2341,61934,3706,279172,4342,2492680,5724,572617,5779,893,459,571724,5806,1478253,5740,13742,2124,1464511,6156,441810,2129,8959,1342,432851,2227,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,99960,2241,107,104,99853,2261,225192,2474,15422,2085,209770,2922,40962,697,10792,1333,30170,1417,350064,2412,94423,2035,155,170,94268,2046,215091,1690,3777,1185,211314,1953,40550,840,1024,484,39526,960,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,880537,4315,1038,591,879499,4319,1968862,4663,69747,3942,1899115,5991,547828,1407,100918,4254,446910,4378,3510894,3887,848903,3593,1101,723,847802,3583,2020797,3707,15576,2095,2005221,4169,641194,1474,9891,1469,631303,2208,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,387964,4417,236,251,387728,4412,838765,3166,37846,3155,800919,4010,215692,2050,51044,2769,164648,3586,1506884,4657,363830,4000,541,399,363289,4095,878427,3532,8401,1431,870026,3806,264627,2089,7017,1317,257610,2501,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,4880853,9401,3532,1183,4877321,9439,11982631,10162,227872,8153,11754759,13022,2404335,3306,290787,7985,2113548,8148,19779016,6604,4686620,8614,3351,995,4683269,8795,12086653,8516,47866,3648,12038787,9085,3005743,4174,27354,2359,2978389,4885,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,684900,3979,949,489,683951,4029,1715478,3981,56656,3698,1658822,5323,347910,1649,60040,3002,287870,3410,2765782,3756,649335,4154,477,330,648858,4182,1705586,3003,12625,1867,1692961,3985,410861,1605,6963,1412,403898,1974,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,406892,2742,0,207,406892,2742,1057211,3129,15015,1962,1042196,3720,252876,1105,33480,2372,219396,2486,1819543,2573,385989,2926,0,207,385989,2926,1106944,3169,2092,588,1104852,3174,326610,1546,2737,640,323873,1724,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,111791,1667,69,116,111722,1682,267044,1766,7899,1779,259145,2626,75626,668,10924,1300,64702,1309,492798,1502,106682,1441,270,342,106412,1473,292611,1410,1449,565,291162,1520,93505,702,1236,549,92269,895,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,66097,923,81,133,66016,913,222199,1191,3793,992,218406,1570,32639,367,4216,947,28423,1029,362873,800,67538,1265,0,208,67538,1265,246490,1254,1376,584,245114,1272,48845,453,402,340,48443,577,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,2266960,7051,2654,1353,2264306,7485,5886588,8016,202009,8217,5684579,12011,1872603,3983,330437,7993,1542166,8919,10652553,6437,2183483,7531,2368,933,2181115,7571,6194930,6660,50966,4635,6143964,8304,2274140,3678,40038,3276,2234102,5239,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10241594,3158,4921118,8847,1355168,7631,2375,947,1352793,7769,2969603,8067,93171,4665,2876432,9828,596347,2766,98723,5235,497624,5051,5320476,8017,1315709,8186,1364,802,1314345,8137,3228978,6404,32690,3961,3196288,7486,775789,3089,12893,1933,762896,3824,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1373202,2427,671429,2782,165276,1492,449,312,164827,1521,393147,2505,13542,1497,379605,3075,113006,690,17267,1607,95739,1728,701773,1666,155673,1477,284,216,155389,1506,409679,1676,3158,672,406521,1642,136421,856,1877,732,134544,1119,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
