GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001MA,B16005A_001EA,B16005A_002EA,B16005A_002MA,B16005A_003EA,B16005A_003MA,B16005A_004MA,B16005A_004EA,B16005A_005MA,B16005A_005EA,B16005A_006MA,B16005A_006EA,B16005A_007EA,B16005A_007MA,B16005A_008EA,B16005A_008MA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,state
0400000US01,3134285,5898,3064061,6231,3000453,7633,63608,5483,53286,5193,10322,2053,70224,5956,18263,2516,51961,5703,25333,3997,26628,3806,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445510,2872,430257,3580,414279,4043,15978,2460,14765,2461,1213,647,15253,2931,6070,1545,9183,2156,5903,1431,3280,1204,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5136226,22676,4568522,21694,3897851,19554,670671,15006,593051,15201,77620,6139,567704,15988,99814,5144,467890,15351,187171,9796,280719,12083,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2163940,6410,2107261,6320,2057784,6720,49477,5305,42923,4848,6554,1395,56679,4034,14975,2712,41704,3818,14123,2001,27581,3422,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21852698,62717,17714446,51616,14147228,48420,3567218,41212,3104859,41440,462359,16303,4138252,41995,576113,12296,3562139,41057,1393350,20740,2168789,27726,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4456100,12422,4146201,13963,3825480,14391,320721,11955,277774,11565,42947,3671,309899,11183,63713,4337,246186,11894,115686,7512,130500,8111,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2602323,11499,2352190,11118,2127570,11312,224620,11316,174253,9781,50367,4401,250133,8955,53487,3884,196646,8666,90428,5368,106218,5994,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629089,3669,589222,4482,556751,5076,32471,2897,27665,2790,4806,1006,39867,5061,7544,1689,32323,4433,18264,3406,14059,2563,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268753,3856,232911,3663,214837,3564,18074,1875,17275,1802,799,442,35842,3951,12708,2076,23134,3403,18090,2517,5044,1770,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15015839,31395,12150862,35368,10368517,29385,1782345,32680,1494821,29846,287524,12897,2864977,31612,383883,12156,2481094,30697,997130,22327,1483964,25450,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5782325,17459,5356955,15767,5061978,16347,294977,12719,250486,11374,44491,5652,425370,12300,73939,5464,351431,12001,148523,7821,202908,9602,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,337364,3967,313076,4552,291690,4762,21386,3119,18450,2467,2936,1368,24288,2785,12844,1632,11444,2308,7576,1394,3868,1478,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1444719,7740,1389883,7499,1333657,7530,56226,4574,47668,4596,8558,1583,54836,5253,14108,2827,40728,4649,15436,2929,25292,3241,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8622868,24157,7723912,21876,6993473,22132,730439,15947,633106,16244,97333,5943,898956,21117,114182,5110,784774,20078,339115,11574,445659,15073,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5251923,8448,5097063,10283,4906414,12035,190649,8284,151484,7731,39165,3797,154860,8958,32502,3794,122358,8162,52914,4783,69444,6055,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2662896,5247,2598187,5477,2531138,6443,67049,4655,55860,4050,11189,1708,64709,4993,11736,1905,52973,4888,20071,2695,32902,3596,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2307706,7669,2213373,7770,2111240,7595,102133,5461,87709,5274,14424,2250,94333,5163,15057,1850,79276,5159,29772,3423,49504,4014,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3646140,5493,3570473,6798,3499872,9153,70601,6249,57526,5664,13075,2403,75667,6124,17821,1813,57846,6103,23678,3430,34168,4299,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2725872,7128,2644665,7320,2512820,8803,131845,6694,109719,6165,22126,3033,81207,5193,16618,2303,64589,4551,26889,3265,37700,4203,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
