GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001EA,B14006_001MA,B14006_002EA,B14006_002MA,B14006_003MA,B14006_003EA,B14006_004MA,B14006_004EA,B14006_005EA,B14006_005MA,B14006_006EA,B14006_006MA,B14006_007EA,B14006_007MA,B14006_008MA,B14006_008EA,B14006_009MA,B14006_009EA,B14006_010EA,B14006_010MA,B14006_011EA,B14006_011MA,B14006_012EA,B14006_012MA,B14006_013EA,B14006_013MA,B14006_014MA,B14006_014EA,B14006_015MA,B14006_015EA,B14006_016EA,B14006_016MA,B14006_017EA,B14006_017MA,B14006_018EA,B14006_018MA,B14006_019MA,B14006_019EA,B14006_020MA,B14006_020EA,B14006_021MA,B14006_021EA,state
0400000US01,4586373,5149,755426,24296,261894,14278,13951,2518,14284,1949,58752,4915,61499,5443,50016,4865,55740,5480,7652,1430,493532,15068,3830947,23497,874040,15129,48091,3722,43809,3206,181729,7298,190391,6403,204790,6237,164541,7532,40689,3502,2956907,15689,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689042,2017,75463,6578,24333,3997,1284,419,1621,466,5826,1422,6042,1305,6130,1562,2871,888,559,450,51130,3972,613579,6894,154985,5020,7269,1432,9571,1639,34470,2787,32202,2664,33414,2416,29669,2883,8390,1395,458594,5344,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6611133,6068,959872,26440,340876,13456,15096,2467,16370,2325,78147,5742,71208,4942,68620,4586,77284,5830,14151,2164,618996,18978,5651261,26773,1350429,15916,72274,5027,63402,3707,273458,8384,301588,10339,307256,7602,266745,8708,65706,4593,4300832,19990,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2807506,4537,450940,15963,154788,9533,11252,2036,7683,1397,38539,3727,31610,3053,29873,3031,29768,3187,6063,2083,296152,10810,2356566,15671,548900,9124,35329,2779,33000,3499,120261,5406,121155,5669,127417,4066,89770,5497,21968,2059,1807666,12224,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37381846,12840,4891442,67286,1839655,35732,87701,6275,100035,6622,354816,11893,357800,11539,367978,11317,484662,16204,86663,6905,3051787,41795,32490404,68595,8276094,45723,505209,10968,417493,10834,1529642,20179,1664092,20000,1728013,20037,1996491,26067,435154,12189,24214310,51052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5288431,4815,538320,15934,192532,9235,8359,1569,8440,1437,36461,4066,28929,3470,32899,3850,65878,5889,11566,2240,345788,11695,4750111,16234,1143023,14325,74371,3711,60419,3654,237803,7138,257382,6950,256925,6922,190580,7316,65543,3781,3607088,16304,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3376913,3004,321027,17946,103572,8667,5570,1405,4606,1140,23214,3239,18505,2982,23299,2990,21675,3297,6703,1638,217455,11730,3055886,17695,734307,12188,47565,2981,30296,3561,135245,5509,157734,4949,170577,5118,141641,7311,51249,4180,2321579,14304,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,903584,2278,118862,8459,39030,4425,2432,1187,2747,1078,7685,1768,7458,1839,5586,1266,11683,1967,1439,635,79832,6044,784722,8630,180659,5494,11050,1745,9152,1653,35718,2698,40630,2587,39067,2306,32959,3644,12083,1738,604063,8107,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,633679,2035,103209,6883,37775,3896,2416,1066,2665,1107,7211,1801,4688,1175,6530,1379,8667,1624,5598,1328,65434,4649,530470,7159,104055,5190,10703,1758,6886,1315,20601,1823,15436,2197,15516,1479,16765,2429,18148,2067,426415,6136,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19910440,11433,2742660,54723,882160,25705,49584,5351,50411,5363,200304,10395,178688,9006,175381,9597,188802,10199,38990,4029,1860500,38516,17167780,55946,3739164,31674,234746,10046,173053,7566,723053,14930,758386,14757,801915,11912,835145,18823,212866,9091,13428616,43853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9777997,9724,1426594,44867,518680,20976,28316,3178,27370,3432,125885,7823,117846,9215,98831,6847,99144,5131,21288,3097,907914,28253,8351403,45937,2114004,29202,144185,6552,104871,5917,430184,12391,457604,13273,492341,10231,369104,13194,115715,7354,6237399,29218,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1337581,2473,124577,7910,33256,4183,2216,906,1145,620,6092,1564,6738,1931,6884,1313,8430,1672,1751,825,91321,5603,1213004,8434,277932,6809,20914,2371,15456,1984,55056,2887,59357,3092,53951,2465,58417,4182,14781,1845,935072,7905,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
