GEO_ID,B18104_001E,B18104_001M,B18104_002E,B18104_002M,B18104_003E,B18104_003M,B18104_004E,B18104_004M,B18104_005E,B18104_005M,B18104_006E,B18104_006M,B18104_007E,B18104_007M,B18104_008E,B18104_008M,B18104_009E,B18104_009M,B18104_010E,B18104_010M,B18104_011E,B18104_011M,B18104_012E,B18104_012M,B18104_013E,B18104_013M,B18104_014E,B18104_014M,B18104_015E,B18104_015M,B18104_016E,B18104_016M,B18104_017E,B18104_017M,B18104_018E,B18104_018M,B18104_019E,B18104_019M,B18104_020E,B18104_020M,B18104_021E,B18104_021M,B18104_022E,B18104_022M,B18104_023E,B18104_023M,B18104_024E,B18104_024M,B18104_025E,B18104_025M,B18104_026E,B18104_026M,B18104_027E,B18104_027M,B18104_028E,B18104_028M,B18104_029E,B18104_029M,B18104_030E,B18104_030M,B18104_031E,B18104_031M,B18104_032E,B18104_032M,B18104_033E,B18104_033M,NAME,B18104_001MA,B18104_001EA,B18104_002EA,B18104_002MA,B18104_003EA,B18104_003MA,B18104_004MA,B18104_004EA,B18104_005MA,B18104_005EA,B18104_006MA,B18104_006EA,B18104_007MA,B18104_007EA,B18104_008EA,B18104_008MA,B18104_009MA,B18104_009EA,B18104_010EA,B18104_010MA,B18104_011MA,B18104_011EA,B18104_012MA,B18104_012EA,B18104_013EA,B18104_013MA,B18104_014EA,B18104_014MA,B18104_015EA,B18104_015MA,B18104_016MA,B18104_016EA,B18104_017MA,B18104_017EA,B18104_018MA,B18104_018EA,B18104_019EA,B18104_019MA,B18104_020MA,B18104_020EA,B18104_021MA,B18104_021EA,B18104_022MA,B18104_022EA,B18104_023EA,B18104_023MA,B18104_024EA,B18104_024MA,B18104_025EA,B18104_025MA,B18104_026MA,B18104_026EA,B18104_027MA,B18104_027EA,B18104_028EA,B18104_028MA,B18104_029MA,B18104_029EA,B18104_030EA,B18104_030MA,B18104_031MA,B18104_031EA,B18104_032MA,B18104_032EA,B18104_033EA,B18104_033MA,state
0400000US01,4504615,3339,2153447,5213,411444,4217,25585,3107,385859,5196,520215,3663,29759,3545,490456,5145,880682,3743,61787,4304,818895,5590,218704,2414,16159,1838,202545,2995,122402,1564,17823,1934,104579,2590,2351168,4762,392104,3455,10231,2156,381873,3894,551807,4093,24757,2765,527050,4853,965447,4483,62128,3954,903319,5650,256376,2450,16291,2131,240085,3006,185434,2029,33607,2246,151827,2967,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,663261,2517,340050,2781,67704,1506,2832,895,64872,1671,90812,2297,5502,1392,85310,2402,140572,1986,6774,1458,133798,2560,29319,854,1156,400,28163,984,11643,556,1485,501,10158,763,323211,2016,64201,1491,1137,665,63064,1633,84410,1463,3058,1061,81352,1526,134050,1486,6015,1593,128035,2251,27107,802,1344,550,25763,1047,13443,590,2283,652,11160,822,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6473181,2493,3175188,4063,607971,2408,31322,3908,576649,4493,801629,3267,38256,4449,763373,4789,1217760,3046,57081,3987,1160679,5206,325812,1317,18080,2350,307732,2703,222016,1374,23357,2356,198659,2713,3297993,3251,587180,2122,14958,2561,572222,3147,776961,2401,23010,2656,753951,3740,1292658,2213,61152,3580,1231506,4106,370320,1497,17232,2385,353088,2553,270874,1364,36879,3254,233995,3350,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2762693,3073,1345493,4779,267738,3343,19805,2972,247933,4182,328497,3191,23185,2434,305312,3865,533566,3046,39921,3180,493645,4394,134649,2156,9958,1485,124691,2543,81043,1222,11209,1804,69834,1971,1417200,4084,252140,3183,12068,1983,240072,3203,326258,3131,17480,2226,308778,3936,574175,3255,44519,3497,529656,4511,153140,1870,10679,1639,142461,2676,111487,1662,18716,1881,92771,2214,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36586733,6047,18008850,7147,3361317,3959,144315,7141,3217002,8798,4873764,6552,173005,7859,4700759,10613,7369434,5871,274497,8852,7094937,10654,1468783,2641,79595,4323,1389188,5212,935552,2759,123217,5996,812335,5859,18577883,5994,3221186,3661,66660,4459,3154526,5535,4732202,3883,125182,5459,4607020,6270,7618752,4575,268771,9225,7349981,10930,1699022,3522,99028,4571,1599994,5587,1306721,3392,230063,6449,1076658,6781,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5181477,3851,2578050,4723,475506,2746,21132,2587,454374,3840,686806,3519,25588,2861,661218,4242,1067828,3179,42785,3353,1025043,4207,227526,1732,11120,1813,216406,2536,120384,1522,14054,1579,106330,2000,2603427,3157,451979,1973,11319,2039,440660,2841,660085,2798,22032,2694,638053,3350,1080502,2392,46711,3657,1033791,4307,249596,1977,10185,1685,239411,2764,161265,1927,21435,1813,139830,2422,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3354328,1821,1622519,2993,284690,1612,15115,2047,269575,2383,392743,2384,16693,2336,376050,3470,692210,2364,26472,3087,665738,3994,156934,1003,5403,855,151531,1396,95942,1109,10399,1465,85543,1750,1731809,2274,274045,1267,7778,1516,266267,1825,388799,1681,15178,2446,373621,2734,742355,1820,29608,2522,712747,2904,179212,1333,6583,1293,172629,1783,147398,1444,19135,2111,128263,2421,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892352,1038,426390,1419,75704,950,2710,693,72994,1181,102435,1419,3891,1255,98544,1799,172625,1520,7039,1676,165586,2306,47492,714,1613,569,45879,950,28134,688,2464,663,25670,928,465962,1206,73297,940,2442,873,70855,1195,107213,1070,4251,1267,102962,1533,191947,1212,8511,1452,183436,1808,55971,477,2418,801,53553,925,37534,650,5234,1060,32300,1136,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638743,609,298140,867,39874,488,1942,802,37932,891,106974,777,3169,1121,103805,1283,118653,816,5021,1115,113632,1392,19989,540,1330,570,18659,729,12650,484,2365,849,10285,848,340603,772,39433,646,1624,722,37809,941,126518,291,3730,1002,122788,1069,125807,493,5346,1229,120461,1311,27099,384,1884,991,25215,1098,21746,523,3487,851,18259,927,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19549382,5370,9450144,6973,1557335,4728,94897,5806,1462438,6617,2175658,6071,103150,5628,2072508,7309,3844548,6580,177701,6741,3666847,9706,1072077,3869,54516,3669,1017561,5425,800526,3282,88092,5067,712434,5953,10099238,6648,1504557,4753,47806,4405,1456751,6366,2181121,4995,71155,5950,2109966,7064,4139420,5790,192745,9666,3946675,11064,1254343,3374,62973,4827,1191370,5535,1019797,3470,147587,6608,872210,7361,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
