GEO_ID,B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,NAME,B11002G_001MA,B11002G_001EA,B11002G_002EA,B11002G_002MA,B11002G_003EA,B11002G_003MA,B11002G_004MA,B11002G_004EA,B11002G_005MA,B11002G_005EA,B11002G_006EA,B11002G_006MA,B11002G_007MA,B11002G_007EA,B11002G_008EA,B11002G_008MA,B11002G_009EA,B11002G_009MA,B11002G_010MA,B11002G_010EA,B11002G_011MA,B11002G_011EA,B11002G_012MA,B11002G_012EA,state
0400000US01,66558,6857,53894,6855,31867,5280,31708,5308,159,169,5051,2498,4811,2374,240,268,16976,4243,15385,3550,1591,1154,12664,2327,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37783,4941,31681,4689,24300,4696,23884,4570,416,363,2653,1004,2252,918,401,258,4728,1641,4103,1466,625,406,6102,1477,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,185433,13983,151175,14082,86975,10057,86532,9991,443,314,24404,6123,21359,5483,3045,1337,39796,6141,36907,5838,2889,977,34258,4171,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62346,5723,51583,5252,33982,4272,33061,4191,921,858,6777,2278,5917,1955,860,824,10824,2538,10273,2462,551,480,10763,2158,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1272552,38835,1046661,37407,711803,30404,704845,30111,6958,1622,107364,13370,93599,12321,13765,2705,227494,15845,212328,14989,15166,2416,225891,11202,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,135527,11426,104377,11044,70142,8405,69548,8315,594,543,11968,4635,10600,4118,1368,767,22267,5044,20650,4749,1617,692,31150,3855,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72071,8067,58914,8681,35576,6437,35306,6402,270,241,4866,2237,4109,1906,757,406,18472,5022,17540,4880,932,481,13157,3040,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15161,3210,13177,3229,9481,2928,9446,2913,35,59,839,556,758,507,81,95,2857,1488,2481,1273,376,320,1984,819,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15248,3538,8131,2475,5273,2045,5093,2008,180,210,1369,985,1349,981,20,34,1489,918,1324,853,165,208,7117,2218,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,383593,21391,311621,21410,197596,16665,194729,16511,2867,1639,26793,5516,23859,4989,2934,1244,87232,11573,80562,10220,6670,2297,71972,5588,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,196144,13087,164484,12753,101139,9368,100072,9376,1067,779,15300,4614,12794,4215,2506,1359,48045,10312,44944,9781,3101,2008,31660,4275,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,244107,11935,217176,11720,140645,10026,138263,9867,2382,921,21605,4157,18812,3739,2793,951,54926,6978,50375,6423,4551,1111,26931,3144,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39474,6349,29480,6254,22952,5770,22942,5774,10,21,1186,881,1001,743,185,229,5342,2520,4567,2086,775,602,9994,2789,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,203397,12551,163473,12481,108556,10321,107728,10197,828,588,12141,3791,11522,3629,619,382,42776,6069,39605,5711,3171,1015,39924,3453,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,98557,8451,78122,8161,42136,5287,42124,5288,12,18,10293,3631,8757,3103,1536,821,25693,5454,21520,4617,4173,1830,20435,2907,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,35277,4230,27748,3953,13439,2304,13379,2305,60,99,2451,1422,2205,1336,246,178,11858,3264,11397,3209,461,267,7529,1722,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,59587,5535,47622,5524,32563,5261,32041,5093,522,532,2716,1230,2342,1035,374,263,12343,3072,11382,2848,961,532,11965,2178,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,49246,6135,37922,5480,21963,3850,21963,3850,0,195,4060,2088,3982,2066,78,159,11899,2858,11154,2635,745,501,11324,2206,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,54776,6875,43092,6270,25762,5395,25673,5356,89,176,4883,2001,4483,1862,400,280,12447,3586,11625,3446,822,485,11684,2550,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,22878,3747,18172,3691,10955,3129,10916,3127,39,67,2809,1278,2409,1114,400,290,4408,1622,3998,1555,410,311,4706,1224,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,126244,11900,102965,11494,68295,8565,67357,8459,938,679,6685,2696,5902,2396,783,541,27985,5821,26216,5651,1769,809,23279,3347,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,143238,11235,116672,10355,66871,7706,65209,7186,1662,1145,10764,3187,9498,2925,1266,582,39037,6385,36937,6122,2100,795,26566,3701,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,174370,10850,139367,10425,83082,7121,82342,7005,740,472,14495,3395,12751,3069,1744,619,41790,7160,38348,6610,3442,1147,35003,4018,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,85326,7830,64954,6898,37698,5373,37430,5317,268,256,7847,2619,6180,2106,1667,729,19409,3915,17620,3651,1789,572,20372,3085,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,26403,5914,19155,5279,16082,5234,15992,5217,90,127,1104,939,1104,939,0,217,1969,1179,1923,1146,46,80,7248,2033,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,99877,8622,77570,8072,50857,5943,50187,5967,670,541,8041,2671,6774,2362,1267,693,18672,4106,17094,3766,1578,710,22307,2949,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,20113,3051,15325,2580,10399,2063,10341,2062,58,97,1637,860,1474,800,163,143,3289,1441,3056,1363,233,180,4788,1329,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
