GEO_ID,C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,NAME,C27001G_001MA,C27001G_001EA,C27001G_002MA,C27001G_002EA,C27001G_003EA,C27001G_003MA,C27001G_004EA,C27001G_004MA,C27001G_005MA,C27001G_005EA,C27001G_006MA,C27001G_006EA,C27001G_007MA,C27001G_007EA,C27001G_008EA,C27001G_008MA,C27001G_009EA,C27001G_009MA,C27001G_010EA,C27001G_010MA,state
0400000US01,92245,6695,45282,4382,43535,4231,1747,1204,41475,4239,33803,3740,7672,1840,5488,1071,5407,1052,81,116,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61404,5392,31408,3179,27249,3227,4159,1428,27795,3203,20585,3058,7210,1627,2201,556,2201,556,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,262926,11896,128472,8023,120263,7464,8209,2085,119454,7161,104413,6782,15041,2565,15000,1961,14736,1994,264,215,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,84405,5625,40639,4194,38743,4082,1896,781,38013,3268,32690,3085,5323,1134,5753,1290,5753,1290,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1913180,38533,860468,22455,841430,21563,19038,3456,950404,20772,880440,21105,69964,5829,102308,4844,101269,4920,1039,648,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,189792,10548,84071,6380,81223,6195,2848,1340,95984,6220,85134,5287,10850,2306,9737,1461,9671,1456,66,101,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115257,7585,56505,4388,55330,4302,1175,737,54493,5091,50542,4881,3951,1448,4259,1064,4259,1064,0,207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29125,3630,15636,2424,15422,2434,214,237,12336,2383,11247,2344,1089,547,1153,513,1153,513,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20344,3187,7071,1894,7071,1894,0,208,12121,2317,11202,2139,919,643,1152,738,1152,738,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,546425,21696,250544,12179,235511,11972,15033,2894,257723,12530,207755,10368,49968,5088,38158,3603,36755,3467,1403,991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
