GEO_ID,B17005_001E,B17005_001M,B17005_002E,B17005_002M,B17005_003E,B17005_003M,B17005_004E,B17005_004M,B17005_005E,B17005_005M,B17005_006E,B17005_006M,B17005_007E,B17005_007M,B17005_008E,B17005_008M,B17005_009E,B17005_009M,B17005_010E,B17005_010M,B17005_011E,B17005_011M,B17005_012E,B17005_012M,B17005_013E,B17005_013M,B17005_014E,B17005_014M,B17005_015E,B17005_015M,B17005_016E,B17005_016M,B17005_017E,B17005_017M,B17005_018E,B17005_018M,B17005_019E,B17005_019M,B17005_020E,B17005_020M,B17005_021E,B17005_021M,B17005_022E,B17005_022M,B17005_023E,B17005_023M,NAME,B17005_001EA,B17005_001MA,B17005_002EA,B17005_002MA,B17005_003MA,B17005_003EA,B17005_004EA,B17005_004MA,B17005_005MA,B17005_005EA,B17005_006EA,B17005_006MA,B17005_007EA,B17005_007MA,B17005_008MA,B17005_008EA,B17005_009EA,B17005_009MA,B17005_010MA,B17005_010EA,B17005_011MA,B17005_011EA,B17005_012EA,B17005_012MA,B17005_013MA,B17005_013EA,B17005_014MA,B17005_014EA,B17005_015MA,B17005_015EA,B17005_016MA,B17005_016EA,B17005_017EA,B17005_017MA,B17005_018MA,B17005_018EA,B17005_019MA,B17005_019EA,B17005_020MA,B17005_020EA,B17005_021MA,B17005_021EA,B17005_022MA,B17005_022EA,B17005_023MA,B17005_023EA,state
0400000US01,3786423,5250,560250,16947,220625,9032,80064,4474,58319,4416,21745,2498,140561,7531,339625,10644,115305,6541,89127,5405,26178,3251,224320,8991,3226173,17463,1569675,9636,1057621,11335,1013867,11477,43754,4299,512054,10241,1656498,11548,929112,12187,895091,12397,34021,3144,727386,10548,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,547741,2588,55428,4357,28135,2612,13807,1936,8588,1476,5219,1115,14328,1819,27293,2805,11815,1830,8229,1525,3586,834,15478,1751,492313,4585,253270,3480,187532,4803,175646,4740,11886,1559,65738,3667,239043,3259,158806,3380,151558,3607,7248,1421,80237,3571,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5426262,5217,719543,19524,321245,10091,145310,6336,115482,5262,29828,3163,175935,7872,398298,12776,142435,7216,109958,5730,32477,4161,255863,9856,4706719,19625,2325078,11428,1623233,12450,1552559,12655,70674,4850,701845,9140,2381641,12573,1389800,15190,1333958,15372,55842,3535,991841,11569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2293578,3483,336630,11339,143066,6864,57195,3738,45134,3502,12061,1902,85871,6040,193564,7044,65751,4630,53356,4031,12395,1971,127813,6354,1956948,11491,963335,7771,653145,8692,624056,9488,29089,2914,310190,7273,993613,7536,588086,8562,566876,8599,21210,2267,405527,7259,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30816482,12666,3714227,49929,1595797,26286,711381,16062,558250,13032,153131,8094,884416,17254,2118430,30865,745083,16979,580867,15182,164216,7443,1373347,23369,27102255,50597,13488013,27658,10035561,29170,9560892,30944,474669,12060,3452452,22870,13614242,30505,8360157,36923,7988564,33102,371593,11745,5254085,31992,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4359471,5114,431644,12169,190132,7444,90204,4456,72281,4234,17923,2137,99928,5691,241512,8554,103828,5211,89294,5118,14534,1935,137684,6658,3927827,13069,1965184,9124,1527348,11834,1475969,11681,51379,3359,437836,8218,1962643,8656,1292443,11714,1251362,11723,41081,3722,670200,11387,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2834821,3653,251557,12528,105141,5744,42229,4099,29519,3403,12710,2053,62912,4510,146416,8889,54753,4578,41042,3602,13711,2147,91663,6865,2583264,12619,1256429,7066,936392,8857,887245,9630,49147,4513,320037,6818,1326835,8964,868314,10953,827886,11990,40428,3459,458521,7552,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,756671,1825,93239,6558,38245,3287,12516,1954,9002,1654,3514,1032,25729,2759,54994,4603,17721,2379,14551,2190,3170,857,37273,3808,663432,6559,320828,3512,221783,3686,212877,3875,8906,1674,99045,3821,342604,4709,204839,4529,196275,4660,8564,1763,137765,4898,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,544944,1246,81024,5262,32025,3366,11000,1602,6006,1420,4994,1027,21025,3160,48999,4235,17662,2190,11663,1886,5999,1349,31337,3563,463920,5377,221374,3462,180938,3866,173929,3834,7009,1447,40436,2629,242546,4574,186480,4841,179132,4966,7348,1452,56066,3518,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16883644,7887,2132914,40675,908551,20404,355912,11884,277659,10630,78253,5815,552639,14643,1224363,26645,422823,11364,331300,9843,91523,5710,801540,22690,14750730,41445,7190624,22303,4883604,25282,4676655,25878,206949,8520,2307020,18325,7560106,26920,4353497,22475,4181913,21042,171584,7972,3206609,24607,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
