GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001EA,C17014_001MA,C17014_002EA,C17014_002MA,C17014_003MA,C17014_003EA,C17014_004EA,C17014_004MA,C17014_005MA,C17014_005EA,C17014_006EA,C17014_006MA,C17014_007EA,C17014_007MA,C17014_008EA,C17014_008MA,C17014_009MA,C17014_009EA,C17014_010EA,C17014_010MA,C17014_011EA,C17014_011MA,state
0400000US01,1203689,13513,154370,6386,64943,4158,76705,5236,11591,1811,1131,408,1049319,13531,171048,5342,355655,9957,432109,10597,90507,4442,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,3378,704,7018,1242,1423,407,569,489,155013,3917,13594,1489,49803,2998,74836,3917,16780,1910,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,64382,4240,85188,4750,23055,2574,3437,979,1476263,14537,252652,5563,463594,10039,594121,9953,165896,8010,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,34432,3215,44751,3605,7522,1471,1185,589,666809,11484,105809,3518,217388,8196,288268,8566,55344,3285,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,275666,8999,439601,10416,120189,5162,22611,2700,8052550,26039,833012,13633,2475882,22054,3472119,28431,1271537,17182,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,29061,2805,46652,3487,14323,2020,1924,559,1274847,10110,137467,4552,367368,9039,618769,10442,151243,5781,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,21590,2733,27636,2825,5823,1303,707,411,821537,8644,90672,3640,242887,7669,376962,7299,111016,5521,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,10115,1711,9306,1562,2187,822,57,75,214130,5465,34540,2348,73662,4371,82547,3716,23381,2234,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,8346,1269,6711,1395,710,389,162,158,103428,3668,7684,1186,30349,2600,56790,3067,8605,1426,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,201287,8244,236768,6391,52858,3332,8116,1679,4444477,28838,807248,12520,1400684,16560,1774012,20033,462533,12280,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
