GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001EA,C15002D_001MA,C15002D_002MA,C15002D_002EA,C15002D_003MA,C15002D_003EA,C15002D_004MA,C15002D_004EA,C15002D_005MA,C15002D_005EA,C15002D_006EA,C15002D_006MA,C15002D_007MA,C15002D_007EA,C15002D_008MA,C15002D_008EA,C15002D_009MA,C15002D_009EA,C15002D_010MA,C15002D_010EA,C15002D_011EA,C15002D_011MA,state
0400000US01,43607,2269,20177,1401,2147,685,3865,1110,3243,1049,10922,1725,23430,1762,3526,986,5177,1314,4877,1098,9850,1473,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32240,1518,14789,936,2759,883,4403,786,4778,1145,2849,873,17451,1089,3824,984,3183,855,4997,1154,5447,1012,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161708,2897,72181,2047,5816,1390,7311,1549,13605,1678,45449,2516,89527,1806,12229,1523,12555,1698,18419,2086,46324,2381,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30297,1907,14837,1278,3122,935,1796,657,2644,1024,7275,1299,15460,1224,3139,900,2369,633,2531,890,7421,1124,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4234099,11667,1936827,6520,202406,6176,267646,8208,424202,10006,1042573,10886,2297272,7830,325956,9758,335271,9042,457319,10342,1178726,13055,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,118758,2637,53115,1757,7315,1311,7119,1299,8273,1439,30408,1915,65643,1688,11832,1590,9801,1573,12170,1592,31840,2124,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,113851,1953,52990,1378,5163,1170,5455,1153,5876,1306,36496,1812,60861,1119,7505,1392,9208,1787,7684,1452,36464,2200,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26990,854,12452,615,636,370,1592,664,1063,421,9161,922,14538,525,1183,443,3294,982,1232,442,8829,948,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21767,1125,9051,556,242,253,369,319,704,395,7736,678,12716,854,811,483,443,248,1376,686,10086,848,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,421720,5387,187676,3841,20270,2556,26613,2810,37407,3394,103386,3898,234044,3864,36371,3119,40719,3423,45994,3588,110960,4701,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
