GEO_ID,B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,NAME,B27001A_001EA,B27001A_001MA,B27001A_002MA,B27001A_002EA,B27001A_003MA,B27001A_003EA,B27001A_004EA,B27001A_004MA,B27001A_005EA,B27001A_005MA,B27001A_006EA,B27001A_006MA,B27001A_007MA,B27001A_007EA,B27001A_008MA,B27001A_008EA,B27001A_009MA,B27001A_009EA,B27001A_010EA,B27001A_010MA,B27001A_011EA,B27001A_011MA,B27001A_012MA,B27001A_012EA,B27001A_013MA,B27001A_013EA,B27001A_014EA,B27001A_014MA,B27001A_015EA,B27001A_015MA,B27001A_016EA,B27001A_016MA,B27001A_017EA,B27001A_017MA,B27001A_018EA,B27001A_018MA,B27001A_019MA,B27001A_019EA,B27001A_020MA,B27001A_020EA,B27001A_021EA,B27001A_021MA,B27001A_022EA,B27001A_022MA,B27001A_023EA,B27001A_023MA,B27001A_024EA,B27001A_024MA,B27001A_025MA,B27001A_025EA,B27001A_026MA,B27001A_026EA,B27001A_027EA,B27001A_027MA,B27001A_028EA,B27001A_028MA,state
0400000US01,3267947,7672,212275,3717,206841,3844,5434,1295,516369,5098,502351,5683,14018,2299,278669,6401,233196,7257,45473,3919,355088,5485,295133,6281,59955,5180,383772,3143,328657,5539,55115,4991,441857,2674,392938,4236,48919,3779,464604,1414,427239,3916,37365,3621,364390,1803,363643,1775,747,404,250923,1431,250553,1459,370,258,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459917,3458,34025,1273,32472,1224,1553,673,69554,1754,65258,1932,4296,915,37437,2049,31526,2206,5911,1316,64859,2043,54569,2456,10290,1696,60512,1645,51045,2158,9467,1931,62220,970,54668,1733,7552,1337,69786,613,64486,1108,5300,1026,42612,529,42525,548,87,81,18912,368,18838,380,74,63,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5373114,25124,361615,6087,340619,6101,20996,3358,871434,11121,806372,11151,65062,5945,473717,8679,401274,8231,72443,5902,604280,7224,513893,7844,90387,5746,629358,5428,542738,6832,86620,5728,658197,4093,580488,6773,77709,5699,705448,3170,640307,4792,65141,4043,620010,2335,616289,2500,3721,1026,449055,1837,447399,1927,1656,748,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2255030,7223,155624,3604,150637,3720,4987,1135,364417,5208,349560,5126,14857,2757,202637,4382,178089,4578,24548,2963,247124,3856,214679,4650,32445,3428,272509,2871,238750,3880,33759,3392,288483,2316,262134,3001,26349,2772,305077,1405,286419,2573,18658,2372,246002,1702,245438,1677,564,356,173157,1122,172905,1162,252,269,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22897505,67659,1579741,15581,1539336,16039,40405,4485,3615417,25710,3499301,25657,116116,7454,2071111,20399,1861996,20616,209115,9756,2917991,20032,2582712,20969,335279,11283,2871154,14861,2556531,13237,314623,8934,3033641,14103,2770516,13839,263125,10643,3045425,9910,2863138,12131,182287,7005,2177257,8485,2159555,8864,17702,2247,1585768,5943,1577417,5901,8351,1824,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4646996,13930,318851,3974,308790,4075,10061,1743,745511,7195,709593,8156,35918,4028,418705,7858,376157,7606,42548,3939,628821,6538,546631,7620,82190,5355,618122,5017,550127,5780,67995,4867,605559,4437,555454,4826,50105,4578,620507,2611,581184,3189,39323,2994,432644,2198,429645,2373,2999,1245,258276,2126,257661,2126,615,612,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2687935,12719,141936,3309,137427,3370,4509,1424,400840,5267,390460,5863,10380,2387,238875,5316,223526,5258,15349,2514,269126,4104,244922,4283,24204,3022,297119,3297,272151,3825,24968,3392,399426,2774,377157,3501,22269,3288,429014,2345,413683,3109,15331,2373,292382,1731,291126,1875,1256,600,219217,1582,218795,1663,422,393,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,653996,4133,38882,1647,35920,1876,2962,1292,94116,2385,91513,2481,2603,1080,49847,2475,44853,2724,4994,1567,74788,2323,66853,2202,7935,2143,70877,1574,62989,1788,7888,2071,86798,1215,81335,1425,5463,1262,99810,1041,97127,1240,2683,859,83744,830,83521,842,223,167,55134,701,55017,690,117,150,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281457,4755,17828,1632,17606,1648,222,235,20606,1800,20445,1839,161,202,36528,2032,36064,2019,464,289,78306,2254,76047,2143,2259,894,47439,1236,46512,1283,927,550,28994,1046,28147,1164,847,548,21612,652,20475,948,1137,710,18055,537,17764,535,291,335,12089,560,12033,577,56,97,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15581781,33220,891180,8175,839155,8347,52025,6388,2082599,13794,1920702,15159,161897,9747,1201766,11919,961438,15267,240328,10676,1668490,13692,1270174,15344,398316,14611,1780796,8669,1424232,14904,356564,12021,2097609,7063,1739354,13504,358255,11874,2242093,5812,1952930,12418,289163,11578,1991387,6193,1968738,7097,22649,3307,1625861,4847,1614962,4636,10899,2064,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
