GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,NAME,C27001F_001EA,C27001F_001MA,C27001F_002EA,C27001F_002MA,C27001F_003EA,C27001F_003MA,C27001F_004MA,C27001F_004EA,C27001F_005MA,C27001F_005EA,C27001F_006EA,C27001F_006MA,C27001F_007MA,C27001F_007EA,C27001F_008EA,C27001F_008MA,C27001F_009EA,C27001F_009MA,C27001F_010MA,C27001F_010EA,state
0400000US01,66626,6729,28003,3772,25064,3591,2939,1288,35633,3503,16319,2467,19314,2973,2990,1608,2675,1536,315,329,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10213,2220,2493,1321,2395,1296,98,161,6578,1491,5481,1437,1097,579,1142,834,1081,835,61,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,419514,21106,132214,11117,116271,10829,15943,3460,264143,12683,198679,9925,65464,7217,23157,2614,22231,2559,926,515,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,91656,7741,37418,4091,32283,3711,5135,2212,51370,4638,31860,3710,19510,3781,2868,1141,2868,1141,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5851984,64769,1783178,28093,1709838,28464,73340,5659,3709833,41019,3012930,37462,696903,17694,358973,9830,345288,9394,13685,2325,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217237,11761,67840,5469,63884,5497,3956,1494,135885,7633,106727,7140,29158,3731,13512,2069,13082,2029,430,477,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,188054,12649,58824,5278,55789,5081,3035,1391,119477,8493,90345,7590,29132,4494,9753,2307,8902,2144,851,1138,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18016,3422,7100,2255,7067,2254,33,57,9713,1942,7498,1968,2215,1023,1203,697,974,668,229,285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39506,5037,13186,2628,13065,2587,121,210,24442,2896,18858,2928,5584,1915,1878,866,1878,866,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,595964,29670,163936,13147,147113,12178,16823,3352,386292,18572,270352,14793,115940,10341,45736,4589,44149,4426,1587,821,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
