GEO_ID,B20017F_001E,B20017F_001M,B20017F_002E,B20017F_002M,B20017F_003E,B20017F_003M,B20017F_004E,B20017F_004M,B20017F_005E,B20017F_005M,B20017F_006E,B20017F_006M,B20017F_007E,B20017F_007M,NAME,B20017F_001EA,B20017F_001MA,B20017F_002MA,B20017F_002EA,B20017F_003EA,B20017F_003MA,B20017F_004EA,B20017F_004MA,B20017F_005MA,B20017F_005EA,B20017F_006MA,B20017F_006EA,B20017F_007MA,B20017F_007EA,state
0400000US01,21037,1280,22935,1961,25514,3238,6872,2702,12248,4200,25423,9204,8826,1828,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35356,8258,42278,14687,50664,18552,19107,20088,28848,4196,38000,16050,15047,12015,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24266,939,27167,1115,32706,2755,10571,959,21157,827,28110,1689,9332,1308,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23829,1789,26789,2059,30040,2458,12123,1602,20852,579,23224,4269,9568,2001,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25715,216,29870,505,35828,266,13595,609,21246,233,30690,303,11053,211,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29361,1583,32230,1326,37674,3231,15729,2091,24355,2213,31217,1579,10367,1003,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,23524,1677,27370,2870,37241,5580,15575,1213,20688,1169,30607,2350,12544,2086,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26843,11825,22492,13009,33477,23308,5523,13003,32592,5623,39875,9663,5597,2572,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34890,7594,39540,7878,41650,13292,23882,12765,26160,4754,40132,9543,17611,2358,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,25187,821,26607,967,32238,2611,14148,2231,22315,1252,30314,1152,11332,573,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,23225,1605,26372,1028,28416,1526,14122,5094,18346,2430,24653,1830,10228,1596,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32873,5410,40083,8063,41643,6139,9833,12815,24563,10059,37060,7683,13588,17749,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24777,5687,29275,2803,33542,2210,10254,3328,13909,2354,25274,8380,9378,3931,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26007,434,30259,808,35478,772,14618,1598,21657,428,27399,1128,11338,657,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26349,1153,31340,1799,38109,4586,17845,3764,21469,974,26925,3040,9628,1448,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27625,5447,30762,6391,36650,2878,16103,8223,24908,5735,35200,3233,18894,5777,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22407,2122,25470,2509,33782,4323,6856,1649,16918,4390,25269,3316,7356,2640,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22034,2880,25341,3488,30842,2172,11345,1371,14936,8552,36430,16622,7122,3612,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22884,2199,26276,2229,28093,4064,10523,2147,15859,2744,26217,4371,8287,2284,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
