GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,NAME,B25102_001MA,B25102_001EA,B25102_002EA,B25102_002MA,B25102_003MA,B25102_003EA,B25102_004MA,B25102_004EA,B25102_005EA,B25102_005MA,B25102_006MA,B25102_006EA,B25102_007MA,B25102_007EA,B25102_008MA,B25102_008EA,B25102_009MA,B25102_009EA,B25102_010MA,B25102_010EA,B25102_011EA,B25102_011MA,B25102_012MA,B25102_012EA,B25102_013EA,B25102_013MA,B25102_014EA,B25102_014MA,B25102_015MA,B25102_015EA,state
0400000US01,1253199,12678,706185,12254,374162,9191,154633,6318,41333,3436,31841,3174,26075,2315,78141,4095,547014,10244,290342,8264,64269,3057,15257,1713,12742,1578,11060,1354,153344,5817,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,102297,3493,4971,1054,7382,1305,6686,1294,19066,1675,54261,2755,9931,1097,57047,2852,7727,1508,5217,845,3018,676,6390,1095,17741,1834,16954,1233,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,1064351,11053,169426,6077,346029,8365,171171,6502,192861,7247,158054,5580,26810,2188,587970,9396,159594,5204,138457,5657,69636,3825,81730,3913,77373,3791,61180,3513,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,416168,10084,176789,6623,110994,5371,37537,3090,39355,3056,28004,2695,23489,2748,336231,7826,178928,6240,71811,4039,18373,2065,19795,2331,14449,1660,32875,2480,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,5026144,24796,156036,5687,427864,8965,347013,8581,739170,12779,3298437,21372,57624,3127,2098946,18787,256795,8399,335061,7743,189507,6054,318810,7878,862519,12674,136254,5223,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,994409,10836,124512,5168,258363,7078,169473,7345,209840,5245,219541,5048,12680,1741,400415,7760,101195,4011,94851,4349,57005,3811,68403,3364,68814,3622,10147,1381,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,611242,8820,4761,983,7965,1011,8259,1389,38505,3339,548873,8764,2879,780,286992,5911,5691,1056,4511,866,5619,1158,18544,1978,249614,6240,3013,815,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,164071,5348,27271,2372,50827,3740,25317,2133,30588,2342,26649,2655,3419,871,89877,3601,27754,2290,23591,2056,11157,1656,13036,1862,9449,1251,4890,947,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,90270,3334,4521,1018,10559,1598,9252,1375,14450,1648,49345,2811,2143,913,28535,2032,2908,702,6033,1028,2479,812,3972,894,11852,1317,1291,495,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,2850011,25547,395994,10401,618077,12417,353661,9619,533410,13333,876751,13620,72118,5363,2160176,20634,507687,11871,455372,11276,205751,6814,295732,7805,519004,10235,176630,7048,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2354922,19925,1529558,18602,227159,8342,369175,9327,221819,9793,291846,10608,386849,8054,32710,3303,825364,11595,296202,8212,193406,6664,83616,4773,92438,4476,112555,4645,47147,3838,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,268078,4714,172214,4524,31601,2363,38172,2380,24034,2106,36613,2201,34211,2656,7583,1283,95864,3693,22339,2350,20413,1822,12289,1404,18192,1718,18555,1819,4076,764,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,435493,6933,280297,6541,40510,3345,106920,4673,40894,2778,45741,3777,40688,3185,5544,1300,155196,5564,35459,2938,49644,3344,20858,2132,19060,2263,21488,2544,8687,1448,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3182232,18239,2007439,17715,75025,4042,138692,5844,121593,5020,241774,7236,1409687,14417,20668,2400,1174793,12243,126333,4417,113295,4934,79323,3922,152457,4964,657505,10073,45880,3302,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1765500,14956,1156805,14021,344153,6936,346445,8120,149498,5971,158575,6421,136459,5993,21675,2586,608695,10157,236315,6935,160826,5526,64679,3652,61917,3506,58058,3970,26900,2286,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
