B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013MA,B17020H_014EA,B17020H_014MA,B17020H_015EA,B17020H_015MA,B17020H_016MA,B17020H_016EA,B17020H_017MA,B17020H_017EA,NAME,B17020H_001MA,B17020H_001EA,B17020H_002MA,B17020H_002EA,B17020H_003EA,B17020H_003MA,B17020H_004EA,B17020H_004MA,B17020H_005MA,B17020H_005EA,B17020H_006MA,B17020H_006EA,B17020H_007MA,B17020H_007EA,B17020H_008MA,B17020H_008EA,B17020H_009MA,B17020H_009EA,B17020H_010MA,B17020H_010EA,B17020H_011MA,B17020H_011EA,B17020H_012MA,B17020H_012EA,B17020H_013EA,state
5922,1463550,9741,536554,6636,173557,3696,54603,3239,0400000US01,3127700,3680,363815,14868,30755,3263,28554,3546,30388,4116,206279,9206,47351,3738,14673,1691,5815,1080,2763885,14948,160496,4185,181418,4882,193707,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1852,237245,3423,70587,1973,13252,946,3801,687,0400000US02,439405,1640,33373,3825,2785,1022,2840,953,2191,863,18933,2438,4975,1162,1183,576,466,316,406032,4401,27690,1522,26309,1709,27148,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4653,1687130,10414,770130,7817,280133,5079,93471,4446,0400000US04,3768149,5741,379875,14414,24026,3003,24421,3937,20523,3327,208611,8854,69963,4421,21668,2463,10663,1777,3388274,15501,167222,4312,185207,5529,204981,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
4640,956830,9016,357594,5502,121273,3213,33805,3032,0400000US05,2114316,3331,281377,13960,23929,2978,27073,3952,23391,2978,155170,7602,34624,2965,10616,1506,6574,1303,1832939,14363,113264,3603,122435,4389,127738,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
10328,7084863,21445,2698771,14950,824461,9794,372999,7958,0400000US06,14349930,9967,1296213,29265,66217,6139,66944,5589,69962,5290,762756,19380,214904,7445,70170,4099,45260,3870,13053717,29827,668911,8320,682138,9706,721574,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
5543,1950515,9013,619421,5962,158887,3148,60131,2832,0400000US08,3743057,4597,308336,10806,17820,2688,18200,2958,15654,2302,193056,7824,46595,3245,10505,1333,6506,1169,3434721,11194,204212,4185,211200,5938,230355,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4463,1164253,8142,445341,5715,129932,3793,66698,3443,0400000US09,2323163,3823,138293,8733,7344,1849,8547,1648,8475,2006,75423,5109,24189,2712,8632,1665,5683,1292,2184870,9284,103038,2825,123674,4397,151934,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2256,269812,3764,119989,3020,37225,1737,13784,1618,0400000US10,585522,1402,57465,5639,4685,1466,3541,1138,3834,1249,31609,3184,10529,1796,2656,898,611,385,528057,5796,26499,1852,28833,2433,31915,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
682,160587,2021,26061,1154,8741,824,2135,676,0400000US11,238135,2408,14813,2080,271,299,283,330,477,359,12056,1742,1416,610,207,279,103,163,223322,2720,13846,726,7485,769,4467,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
10200,4834175,19865,2358922,11768,901105,11006,362830,9311,0400000US12,11079559,9218,1114154,30225,68228,6737,73820,7828,71293,5661,594314,16765,200659,8267,69877,4719,35963,3710,9965405,30822,470793,8944,498597,10546,538983,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
6865,2642355,14966,887316,8820,261338,5158,84866,4704,0400000US13,5369601,5751,526281,20468,37566,3863,35661,4649,42233,4532,303422,12143,74695,4659,21419,2352,11285,1739,4843320,21434,291318,5409,325901,8523,350226,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1050,147761,2432,62827,2062,15907,1033,4877,801,0400000US15,296715,1677,27838,2724,1761,750,679,488,1057,464,15313,1886,6759,1408,2124,700,145,141,268877,3341,14784,1256,13411,1269,9310,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
3149,632775,6309,222493,4348,61418,2672,24484,2234,0400000US16,1384257,2311,154918,10280,13573,2439,14207,2408,12649,2870,88869,5912,16444,2024,6245,1302,2931,824,1229339,10430,86210,2960,98583,4393,103376,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
