GEO_ID,C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,NAME,C15002A_001EA,C15002A_001MA,C15002A_002MA,C15002A_002EA,C15002A_003MA,C15002A_003EA,C15002A_004EA,C15002A_004MA,C15002A_005EA,C15002A_005MA,C15002A_006EA,C15002A_006MA,C15002A_007MA,C15002A_007EA,C15002A_008MA,C15002A_008EA,C15002A_009EA,C15002A_009MA,C15002A_010EA,C15002A_010MA,C15002A_011EA,C15002A_011MA,state
0400000US01,2342850,4765,1129521,3263,141121,7268,343340,8367,321391,7232,323669,7106,1213329,3020,136000,5230,362475,8069,371518,8344,343336,8165,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,334466,1846,176873,1289,8524,1742,52432,3157,61394,3189,54523,2730,157593,1101,7285,1439,32834,2327,56539,3391,60935,3049,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3800035,12912,1856826,7119,222040,7462,441646,9453,615692,10569,577448,10456,1943209,7174,202720,8365,458271,10229,691910,11598,590308,9854,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1600041,4518,773845,3108,94885,4954,282374,7167,210011,5488,186575,6006,826196,2815,85897,4038,267481,7722,260284,7145,212534,5972,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16205852,38064,8003959,21733,1133128,18541,1676921,20237,2375874,23183,2818036,22698,8201893,22707,1102818,16520,1647025,19385,2618824,24844,2833226,24274,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3293204,7943,1636220,5169,123754,5474,355214,9752,464452,10142,692800,9081,1656984,4610,109414,5401,331816,8393,496756,8434,718998,9232,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1965707,6833,940218,4121,77312,4700,257250,8660,221295,6839,384361,7124,1025489,4191,70682,3770,256871,6647,265445,7207,432491,6921,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,486639,2505,232981,1526,24969,2283,75029,3797,56885,3000,76098,3655,253658,1382,18821,2675,77296,3737,74031,3753,83510,3671,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,218184,3008,109594,1827,2669,1177,3837,1148,7710,1378,95378,2209,108590,1622,2135,890,2853,834,5844,1201,97758,1627,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11774810,21683,5680212,11313,618193,15313,1628060,19507,1637009,17684,1796950,19499,6094598,13393,591149,13835,1738185,22705,1888896,19742,1876368,21188,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4251758,10732,2067611,6791,255996,8259,572470,12669,547188,11724,691957,10872,2184147,6742,226847,7503,585343,11544,633923,9587,738034,12220,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
