GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002MA,B19001_002EA,B19001_003MA,B19001_003EA,B19001_004EA,B19001_004MA,B19001_005EA,B19001_005MA,B19001_006EA,B19001_006MA,B19001_007MA,B19001_007EA,B19001_008MA,B19001_008EA,B19001_009MA,B19001_009EA,B19001_010EA,B19001_010MA,B19001_011MA,B19001_011EA,B19001_012MA,B19001_012EA,B19001_013MA,B19001_013EA,B19001_014EA,B19001_014MA,B19001_015EA,B19001_015MA,B19001_016EA,B19001_016MA,B19001_017MA,B19001_017EA,state
0400000US01,1841665,12421,158986,6213,119369,5456,114097,6521,110413,5404,92766,4826,100521,5135,88245,5001,88401,4938,73345,4802,145832,5828,179351,6957,207158,7633,141606,5628,83325,4835,71675,4152,66575,3144,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,11015,1729,7426,1071,7176,1222,9512,1525,10415,1701,9318,1469,8583,1308,9266,1613,8733,1474,20084,2013,26500,2483,33858,2373,29474,2427,19934,1813,21169,2106,18278,1948,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,171864,6814,108607,5368,115412,5196,131184,6196,119655,5562,123962,5385,121381,5234,127430,6609,109353,5062,209144,7296,267825,9676,323345,7889,223765,7970,130907,6163,132235,5162,136903,5543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,94234,4790,76067,4173,67167,3712,74447,4630,71075,4442,65007,4221,57268,3825,62106,3929,51609,3452,92950,4723,116995,5842,126196,5349,76726,3910,41405,3184,45642,3391,34188,2569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,659187,15104,560260,11390,482569,8670,545801,12195,471499,11982,517269,11977,476861,10625,497501,13145,441583,10478,870473,16857,1205037,15738,1602652,21975,1272738,17876,863160,13003,1097134,15284,1441373,17926,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,110134,5948,71861,3621,70348,4345,78795,4839,79471,4623,87540,4640,91614,4742,89530,4409,86726,4881,164099,5959,219255,6978,290530,7437,220777,5875,147368,5340,163468,5627,167691,5010,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,66601,3839,49375,4251,45026,3253,51725,3425,47653,3429,53010,4176,48045,3749,53022,3241,50037,3917,97066,5224,122375,5812,170883,6157,132752,5069,97256,4752,118196,5300,153740,5007,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,25688,2524,15113,2243,12419,1836,15207,2169,14389,1844,18798,2647,14436,2030,13327,2097,13692,1681,25865,2034,38165,3476,48224,3630,31982,2787,20333,2196,25921,2750,24378,2411,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,25954,3101,12839,1746,9387,1533,9790,1421,9291,1629,6905,1525,6410,1206,6532,1334,6944,1397,13646,1745,22675,2467,31279,2463,27131,2558,19177,1978,26481,2333,47034,2492,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,530728,12859,360687,9019,392120,9647,420934,12443,390980,11501,409671,10864,393791,11016,390552,10057,337451,10051,640154,12790,775966,13930,924971,16144,592451,12263,347442,10269,367632,9539,414434,10444,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
