GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001EA,C17010I_001MA,C17010I_002MA,C17010I_002EA,C17010I_003MA,C17010I_003EA,C17010I_004EA,C17010I_004MA,C17010I_005EA,C17010I_005MA,C17010I_006EA,C17010I_006MA,C17010I_007EA,C17010I_007MA,C17010I_008EA,C17010I_008MA,C17010I_009EA,C17010I_009MA,C17010I_010MA,C17010I_010EA,C17010I_011EA,C17010I_011MA,C17010I_012EA,C17010I_012MA,C17010I_013EA,C17010I_013MA,C17010I_014EA,C17010I_014MA,C17010I_015MA,C17010I_015EA,C17010I_016EA,C17010I_016MA,C17010I_017EA,C17010I_017MA,state
0400000US01,36721,2715,11480,1999,6437,1373,5490,1224,5043,1378,1411,747,1361,730,3632,1094,3426,1101,25241,2528,18580,2510,12061,1951,6661,1335,3427,1103,1681,841,3234,917,1969,712,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9921,1212,768,526,157,205,13,22,611,456,307,384,307,384,304,226,304,226,9153,1098,6587,1203,4099,999,2566,786,1182,523,750,435,1384,682,977,706,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,445604,7475,79426,4701,30312,3000,24499,2792,49114,3700,9903,1927,7895,1693,39211,3209,35478,3126,366178,7702,239428,7095,141129,6018,126750,5501,48859,4148,27729,3055,77891,4639,51058,4280,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47001,2326,9818,1778,4139,1022,3475,978,5679,1380,772,365,734,367,4907,1303,4436,1329,37183,2326,24194,2354,15243,1999,12989,1873,5121,1230,3703,976,7868,1623,6241,1481,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3062342,14892,468632,12026,196110,7034,154577,6510,272522,10341,51658,3710,41334,3592,220864,9041,194247,8360,2593710,18828,1769861,17307,1053754,15798,823849,14901,308964,9030,177159,7088,514885,13223,301795,10253,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,247228,5425,33275,2998,12296,2059,9777,1848,20979,2718,2439,973,2109,967,18540,2627,16269,2543,213953,5571,151099,5652,89528,4380,62854,4011,23162,2932,15254,2289,39692,3191,26772,3126,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,121259,3594,21866,2488,5396,1219,3677,1181,16470,2153,2383,862,2095,782,14087,2116,11895,2062,99393,3771,56371,3550,33351,2443,43022,3510,13918,2199,8462,1680,29104,2826,20609,2549,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18470,1393,3091,808,1661,589,1178,468,1430,653,339,425,32,58,1091,530,1075,529,15379,1417,11424,1370,7400,1265,3955,942,1414,646,934,557,2541,799,1669,705,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10122,1170,676,446,170,179,43,73,506,418,32,58,32,58,474,408,339,325,9446,1177,5913,1051,3432,835,3533,791,1964,602,937,561,1569,509,898,384,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1162466,13060,175455,7640,80644,4866,48747,3698,94811,5873,17718,2287,12760,2065,77093,5227,63784,4696,987011,13425,674964,12871,328670,10595,312047,8763,110519,6313,54674,4568,201528,6742,111174,6205,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
