GEO_ID,C17012_001E,C17012_001M,C17012_002E,C17012_002M,C17012_003E,C17012_003M,C17012_004E,C17012_004M,C17012_005E,C17012_005M,C17012_006E,C17012_006M,C17012_007E,C17012_007M,C17012_008E,C17012_008M,C17012_009E,C17012_009M,C17012_010E,C17012_010M,C17012_011E,C17012_011M,NAME,C17012_001MA,C17012_001EA,C17012_002EA,C17012_002MA,C17012_003EA,C17012_003MA,C17012_004EA,C17012_004MA,C17012_005EA,C17012_005MA,C17012_006EA,C17012_006MA,C17012_007EA,C17012_007MA,C17012_008MA,C17012_008EA,C17012_009MA,C17012_009EA,C17012_010EA,C17012_010MA,C17012_011EA,C17012_011MA,state
0400000US01,1203689,13513,154370,6386,40727,3064,77484,4917,32482,3196,3677,1224,1049319,13531,625495,10079,356084,8550,63764,4721,3976,1076,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,2617,470,5256,1042,3380,866,1135,631,155013,3917,77706,2812,60398,2571,14067,1933,2842,895,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,49022,3142,74150,4110,43801,3753,9089,1373,1476263,14537,851931,12465,488028,10038,123999,6128,12305,1898,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,21349,2268,43030,3414,20516,2461,2995,1058,666809,11484,380471,7656,231435,6695,50079,3514,4824,1319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,225684,8135,399089,10130,200079,7924,33215,3046,8052550,26039,4312273,24512,3055814,22608,637384,11933,47079,3755,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,26912,2512,43079,3641,19264,2648,2705,1005,1274847,10110,699688,8972,461882,7484,104680,5757,8597,1822,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,15213,1807,28020,3039,11470,2376,1053,502,821537,8644,471077,6837,297236,6995,49249,3744,3975,1099,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,7324,1525,9597,1845,4523,1094,221,154,214130,5465,129424,4402,73479,4071,10562,1935,665,349,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,4279,1075,8991,1574,2391,905,268,303,103428,3668,59745,3048,37658,2688,5423,1082,602,495,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,168054,6482,226428,7991,88964,5863,15583,2530,4444477,28838,2746770,21816,1441108,18069,243069,9705,13530,1931,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525783,17938,279748,11291,73866,4681,130738,7458,63159,4802,11985,2631,2246035,17534,1213400,15080,849650,14171,169580,7362,13405,2215,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,320336,5022,23547,2448,8691,1255,10044,1710,3941,1171,871,526,296789,5140,164157,4540,104164,4554,25258,2515,3210,874,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,419774,7037,36225,3347,8930,1395,16666,2093,8783,1782,1846,908,383549,7091,210990,5788,125624,5449,39860,3575,7075,1494,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3083543,17333,277866,10016,74789,4588,132338,6099,60254,4925,10485,1537,2805677,18153,1565828,14177,1001443,14927,224476,6857,13930,2254,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1660102,12057,153371,6313,36321,3112,75446,3768,35595,3307,6009,1165,1506731,12719,852414,9658,522019,9848,120609,5117,11689,1651,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,794614,8064,53223,3390,13653,1470,26008,2474,12025,1908,1537,499,741391,7660,417281,6759,251056,6782,66745,3679,6309,1204,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,733649,7787,58235,3251,13917,1694,28545,2281,12762,1972,3011,852,675414,7801,369491,6873,231556,7160,67422,3712,6945,1395,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1129828,12032,145997,5304,43641,3214,71365,4170,27148,2724,3843,995,983831,12470,562622,8734,343991,9244,72337,4159,4881,1066,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1107245,13193,163281,7082,39619,3260,83929,4552,34489,3339,5244,1284,943964,13522,539555,8842,335429,9761,64594,4812,4386,956,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,330106,6496,20919,2229,6200,999,11336,1765,2978,855,405,309,309187,6042,196555,4314,97753,4073,14377,1530,502,276,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1469830,12332,91780,3816,27630,2409,41837,3644,18873,2234,3440,1048,1378050,13235,748374,9159,522275,9878,98753,5545,8648,1962,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1652214,13374,119694,5175,34507,3037,62959,3969,20266,2471,1962,741,1532520,14082,880571,12917,553112,11829,94339,4715,4498,1208,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2518003,14120,244660,6889,66220,3733,119302,5157,49088,3357,10050,1477,2273343,14494,1348881,11656,748424,10128,164536,5909,11502,1332,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1388742,11141,80450,4362,18241,1927,39634,3175,18271,1963,4304,1043,1308292,10634,724454,8437,452209,7380,121581,4158,10048,1523,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,716451,10880,106921,5365,29519,2825,52616,4179,20826,2653,3960,1247,609530,9658,344399,7255,220450,6546,41652,3108,3029,839,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1527260,14698,140934,6046,36268,2830,68999,4786,29821,2574,5846,1144,1386326,14329,798717,11797,473500,8569,106015,4267,8094,1729,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,262726,5181,20328,2505,5796,1115,9621,1834,3897,1007,1014,448,242398,5204,148744,4235,75365,3486,16475,2055,1814,594,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,484989,6677,35128,3384,7206,1146,16007,2329,9720,1662,2195,824,449861,6887,242923,4654,156370,4965,45220,2780,5348,911,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
