GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,NAME,B27001D_001MA,B27001D_001EA,B27001D_002MA,B27001D_002EA,B27001D_003EA,B27001D_003MA,B27001D_004EA,B27001D_004MA,B27001D_005EA,B27001D_005MA,B27001D_006EA,B27001D_006MA,B27001D_007MA,B27001D_007EA,B27001D_008EA,B27001D_008MA,B27001D_009EA,B27001D_009MA,B27001D_010EA,B27001D_010MA,B27001D_011EA,B27001D_011MA,B27001D_012MA,B27001D_012EA,B27001D_013MA,B27001D_013EA,B27001D_014EA,B27001D_014MA,B27001D_015EA,B27001D_015MA,B27001D_016EA,B27001D_016MA,B27001D_017MA,B27001D_017EA,B27001D_018MA,B27001D_018EA,B27001D_019EA,B27001D_019MA,B27001D_020EA,B27001D_020MA,B27001D_021EA,B27001D_021MA,B27001D_022EA,B27001D_022MA,B27001D_023MA,B27001D_023EA,B27001D_024MA,B27001D_024EA,B27001D_025EA,B27001D_025MA,B27001D_026EA,B27001D_026MA,B27001D_027EA,B27001D_027MA,B27001D_028MA,B27001D_028EA,state
0400000US01,66405,2965,4308,958,4000,921,308,201,12850,1615,12515,1570,335,450,7220,1164,6348,1156,872,475,8030,1593,7054,1486,976,500,10021,1544,7666,1625,2355,1099,11423,1360,9334,1199,2089,850,7028,1216,6075,1201,953,433,4054,919,3491,909,563,495,1471,624,1364,589,107,199,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48930,2298,3585,602,3134,765,451,432,9287,1132,8355,1368,932,673,4944,875,4056,992,888,583,6241,1120,5044,1041,1197,533,6956,1072,5479,1147,1477,700,6976,923,4879,893,2097,972,5773,563,4826,655,947,427,3481,575,3194,517,287,310,1687,394,1643,393,44,81,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,231277,4827,14784,1217,14108,1171,676,368,33082,2451,32278,2466,804,421,26018,2027,23795,1920,2223,654,35708,1981,33280,2051,2428,900,38066,1465,36417,1566,1649,649,34100,1327,32023,1489,2077,912,24012,1009,21853,1204,2159,877,16164,721,15222,872,942,462,9343,649,9099,659,244,257,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47695,3253,4071,1149,4071,1149,0,201,9053,1622,8769,1620,284,330,4531,1169,4001,1202,530,416,8634,1219,6685,1338,1949,1029,7616,1238,6296,1054,1320,806,5713,1179,5527,1159,186,186,4769,990,4270,882,499,445,2674,842,2347,806,327,296,634,426,634,426,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5737778,20433,336084,6682,327326,7103,8758,2064,771876,10770,749854,11120,22022,3300,509676,7667,473922,8061,35754,3836,846490,8560,787924,8884,58566,4237,871155,4758,823883,7155,47272,5537,820661,4548,779486,5879,41175,4246,723420,3643,681690,5318,41730,3733,497372,3176,488255,3354,9117,1607,361044,2387,357579,2812,3465,1239,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178015,4214,10140,1330,9764,1237,376,340,32666,1977,31237,1945,1429,596,19409,1759,18051,1736,1358,589,27827,2109,25252,2232,2575,820,29291,1594,27780,1509,1511,704,24150,1566,22793,1622,1357,533,16543,1228,15007,1299,1536,618,11387,1290,11072,1316,315,207,6602,1134,6379,1124,223,195,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163601,3147,9105,972,8865,960,240,239,24646,1972,24175,1982,471,338,19279,1685,17709,1621,1570,911,28419,1483,26715,1630,1704,766,28211,1022,26541,1354,1670,945,24820,1479,23796,1622,1024,531,15350,777,14456,855,894,414,9752,958,8855,1017,897,514,4019,780,3960,759,59,121,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38930,1658,3085,417,3032,443,53,100,5711,818,5554,834,157,169,3493,640,3072,705,421,298,7791,753,7514,785,277,209,6092,483,5746,526,346,276,4792,730,4216,758,576,379,4141,398,4091,403,50,72,2344,487,1861,578,483,560,1481,494,1073,457,408,393,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28436,1640,1494,506,1101,521,393,466,1370,457,1156,457,214,309,4630,680,4507,659,123,142,8219,759,8023,797,196,270,5867,449,5255,961,612,926,2827,283,2697,315,130,200,1948,479,1884,480,64,107,1225,407,1225,407,0,208,856,407,856,407,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,585347,7709,31691,2357,29759,2316,1932,822,87002,4740,81022,4648,5980,1476,58916,4017,51445,4250,7471,1879,76591,4304,65759,3866,10832,1950,93827,3607,82746,3890,11081,2113,88388,3337,77808,3656,10580,1827,68940,1901,58510,2531,10430,1709,52015,2353,48453,2489,3562,1563,27977,2052,26540,2094,1437,535,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
