GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001MA,C15010A_001EA,C15010A_002MA,C15010A_002EA,C15010A_003MA,C15010A_003EA,C15010A_004EA,C15010A_004MA,C15010A_005MA,C15010A_005EA,C15010A_006MA,C15010A_006EA,state
0400000US01,667005,10882,189194,6537,73900,4241,152428,6027,116651,5290,134832,6634,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,115458,4684,46344,2745,15380,2137,14584,1809,13746,1771,25404,2243,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1167756,16506,360753,10146,110391,5061,263013,7996,177499,6553,256100,7343,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,399109,10286,114832,5476,42243,3509,84879,4756,76969,5061,80186,4170,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5651262,39619,2205815,23562,388086,10459,985451,14683,413593,11078,1658317,19578,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1411798,14467,547926,10145,115505,5792,275894,8956,141655,4949,330818,7300,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,816852,10426,283098,6330,70578,3927,164083,5877,90911,3991,208182,6275,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159608,5702,52090,2919,14862,2096,35545,3125,26118,2248,30993,2915,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,193136,2913,99798,3942,6274,1239,21409,2076,6662,1695,58993,3101,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3673318,32722,1146910,16562,364929,10080,896933,20880,508723,12136,755823,15058,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1429991,19391,436820,11161,132868,5582,346091,9552,200014,7431,314198,9724,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
