GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001EA,C15002I_001MA,C15002I_002MA,C15002I_002EA,C15002I_003MA,C15002I_003EA,C15002I_004MA,C15002I_004EA,C15002I_005MA,C15002I_005EA,C15002I_006EA,C15002I_006MA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011EA,C15002I_011MA,state
0400000US01,95591,3058,52301,2129,19263,2095,16020,2666,10360,1586,6658,1382,43290,2362,14687,1958,10031,1402,8709,1875,9863,2006,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26452,901,13503,838,1811,713,3376,856,6475,1001,1841,604,12949,556,1131,518,2106,668,5734,1142,3978,984,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1203000,1708,597569,1190,192461,6340,177749,6146,157311,5713,70048,4648,605431,1100,177485,6706,162918,6866,179050,6179,85978,5286,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,107132,2179,55515,2157,23439,2349,18245,2282,7864,1886,5967,1623,51617,1642,22095,2093,12662,1531,11000,1822,5860,1370,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8921445,2367,4445921,1974,1592919,19463,1233360,20908,1099499,15886,520143,12750,4475524,1527,1549808,17232,1111944,15635,1174997,16692,638775,13087,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,670114,2319,337075,1872,93772,4796,110155,5091,83046,4896,50102,3663,333039,2010,85108,4507,96182,4617,94229,4704,57520,3123,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,330633,993,161559,828,49327,3902,58735,3763,31129,3390,22368,2599,169074,938,44654,3516,49885,3929,43921,3486,30614,2523,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,47762,729,24695,482,9628,1821,8765,1515,4215,1302,2087,698,23067,619,7794,1462,7723,1274,4481,1201,3069,751,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,48455,-555555555,24661,-555555555,8531,1703,3717,1077,2941,886,9472,1703,23794,-555555555,7230,1299,2333,734,2579,969,11652,1221,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3545630,4013,1711202,3221,357483,11264,519605,15778,448150,12597,385964,10507,1834428,2856,348475,10303,510022,13276,507628,13286,468303,10795,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,520525,4550,273940,3717,115906,6040,75657,6122,40304,4127,42073,4432,246585,3614,87653,4919,61932,4146,51833,3400,45167,3802,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,76514,1115,38326,870,3801,1052,13486,1871,14098,1736,6941,1219,38188,483,3587,799,11430,1328,14579,1443,8592,1258,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,104078,2209,53745,1905,19070,2160,17086,2535,12640,1966,4949,1419,50333,1696,16609,2042,13290,1941,15105,2226,5329,1280,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1234633,2342,635214,2086,226556,7678,193669,7466,134712,6152,80277,5060,599419,1841,192981,6649,170419,6252,140125,6106,95894,5057,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,230550,2796,118509,2361,45139,3034,35556,2836,22316,2326,15498,2200,112041,1919,37105,3149,29937,2988,26996,2833,18003,2723,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,88561,2761,46375,2234,17964,1880,15073,1848,8106,1501,5232,1122,42186,1722,15049,1683,11186,1308,9536,1579,6415,1275,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,169377,2424,86994,2055,31348,2281,25047,2356,18681,1865,11918,1785,82383,1434,25826,2418,22062,1981,23613,2200,10882,1683,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,76434,2212,43254,2193,12319,1824,12346,1957,10442,1413,8147,1355,33180,1606,8044,1361,9246,1551,7808,1248,8082,1316,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,140423,3129,75388,2532,25482,2826,21734,2176,17432,2222,10740,1744,65035,1941,17787,2031,18696,2406,17322,2126,11230,1404,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10628,1121,4996,902,851,475,1541,624,859,492,1745,658,5632,661,464,305,1531,643,2039,586,1598,447,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,345734,1864,179013,1599,67790,4376,45283,3466,32115,2911,33825,3035,166721,1367,54614,3687,36078,3191,35105,2770,40924,2870,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,454608,1113,220268,865,63648,4181,74297,4312,45670,3929,36653,2766,234340,822,61180,3390,63865,4579,62780,4164,46515,3158,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,259188,2174,131663,1763,38660,2634,39656,3014,33922,2455,19425,1903,127525,1624,31977,2477,34389,2421,36274,2202,24885,1816,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,146906,2094,77244,1780,27659,2206,20069,2064,17700,2217,11816,1671,69662,1536,22252,2020,17385,2045,17166,2103,12859,1699,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,42000,3031,23779,2327,8090,1432,7984,1740,4810,1101,2895,905,18221,1657,5443,1027,4366,1211,3792,1153,4620,1157,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,128571,3344,64946,2569,19280,2309,17863,2724,16117,2482,11686,1760,63625,2321,15097,1773,17502,2075,17041,2144,13985,1835,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,18729,1231,9777,985,3397,1032,3013,780,2313,783,1054,490,8952,1003,1830,706,1851,617,2878,798,2393,700,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,102067,1641,54288,1574,23781,2070,14299,2048,10311,1628,5897,1172,47779,1195,19036,1804,12229,1509,11252,1634,5262,1015,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,483686,1313,244922,1431,86680,4595,79785,4538,54276,3425,24181,2748,238764,841,77171,4382,75851,3773,59890,4103,25852,2395,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,26931,1287,13582,1050,2766,895,4130,1308,3532,1064,3154,827,13349,849,1847,657,3886,893,4099,965,3517,913,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1117438,1001,553268,1045,143849,6292,189430,7901,122659,6361,97330,5247,564170,535,131906,5813,173687,6892,136593,6628,121984,4875,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,606602,2421,296248,1929,69403,3938,97890,5392,85310,4134,43645,3485,310354,1640,66893,4256,89199,4837,100429,4223,53833,4366,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2365690,2654,1143191,2461,350598,9870,357171,10506,250953,10241,184469,7819,1222499,1835,363901,8478,320830,9398,284959,8133,252809,7769,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
