GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001EA,C27003_001MA,C27003_002MA,C27003_002EA,C27003_003MA,C27003_003EA,C27003_004MA,C27003_004EA,C27003_005EA,C27003_005MA,C27003_006MA,C27003_006EA,C27003_007EA,C27003_007MA,C27003_008MA,C27003_008EA,C27003_009MA,C27003_009EA,C27003_010EA,C27003_010MA,C27003_011MA,C27003_011EA,C27003_012EA,C27003_012MA,C27003_013EA,C27003_013MA,C27003_014MA,C27003_014EA,C27003_015MA,C27003_015EA,C27003_016MA,C27003_016EA,C27003_017MA,C27003_017EA,C27003_018EA,C27003_018MA,C27003_019MA,C27003_019EA,C27003_020MA,C27003_020EA,C27003_021MA,C27003_021EA,state
0400000US01,4793512,2005,2300832,5674,596872,6090,276080,9129,320792,8259,1362854,4533,237905,7904,1124949,9055,341106,2341,332734,2650,8372,1261,2492680,5724,572617,5779,259633,7749,312984,7578,1478253,5740,273599,9226,1204654,10771,441810,2129,432164,2498,9646,1663,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,99960,2241,40585,2971,59375,3231,225192,2474,48584,3356,176608,4029,40962,697,38807,860,2155,569,350064,2412,94423,2035,36113,3043,58310,3224,215091,1690,46337,2857,168754,2884,40550,840,37841,934,2709,742,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,880537,4315,342966,9250,537571,9407,1968862,4663,410295,11049,1558567,12052,547828,1407,527359,2471,20469,2004,3510894,3887,848903,3593,335234,9980,513669,9810,2020797,3707,468859,12433,1551938,12805,641194,1474,620658,2467,20536,1853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,387964,4417,204791,7699,183173,6682,838765,3166,204662,7978,634103,8535,215692,2050,210994,2232,4698,1191,1506884,4657,363830,4000,193029,7144,170801,6185,878427,3532,236604,7650,641823,8069,264627,2089,259069,2157,5558,1303,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,4880853,9401,2148440,22562,2732413,22817,11982631,10162,2619674,28842,9362957,28657,2404335,3306,2257235,6152,147100,5794,19779016,6604,4686620,8614,2046227,22635,2640393,22887,12086653,8516,3066318,29501,9020335,30652,3005743,4174,2853857,7580,151886,6342,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,684900,3979,239067,9365,445833,9585,1715478,3981,307937,8695,1407541,9739,347910,1649,331163,2172,16747,1771,2765782,3756,649335,4154,240554,8503,408781,8994,1705586,3003,318681,7898,1386905,7656,410861,1605,394883,2513,15978,2036,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,406892,2742,147536,7215,259356,6627,1057211,3129,185192,7246,872019,8460,252876,1105,238440,2039,14436,1988,1819543,2573,385989,2926,127079,5969,258910,6266,1106944,3169,231155,7893,875789,8592,326610,1546,314077,2338,12533,1958,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,111791,1667,38423,3955,73368,3656,267044,1766,47460,3980,219584,4691,75626,668,72957,962,2669,734,492798,1502,106682,1441,38964,3268,67718,3606,292611,1410,56415,4519,236196,4680,93505,702,91069,998,2436,792,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,66097,923,30989,2081,35108,2224,222199,1191,48525,3596,173674,3606,32639,367,30585,755,2054,662,362873,800,67538,1265,33492,2738,34046,2666,246490,1254,58135,3574,188355,3708,48845,453,45366,1098,3479,996,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,2266960,7051,982628,18430,1284332,18443,5886588,8016,834611,16873,5051977,17543,1872603,3983,1790121,7426,82482,5902,10652553,6437,2183483,7531,952208,15259,1231275,16720,6194930,6660,968347,21499,5226583,22261,2274140,3678,2182121,5667,92019,5046,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
