GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001EA,C17001I_001MA,C17001I_002EA,C17001I_002MA,C17001I_003EA,C17001I_003MA,C17001I_004MA,C17001I_004EA,C17001I_005EA,C17001I_005MA,C17001I_006EA,C17001I_006MA,C17001I_007EA,C17001I_007MA,C17001I_008EA,C17001I_008MA,C17001I_009MA,C17001I_009EA,C17001I_010MA,C17001I_010EA,C17001I_011EA,C17001I_011MA,C17001I_012EA,C17001I_012MA,C17001I_013EA,C17001I_013MA,C17001I_014EA,C17001I_014MA,C17001I_015MA,C17001I_015EA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018MA,C17001I_018EA,C17001I_019EA,C17001I_019MA,state
0400000US01,197000,2484,60420,6888,29101,4130,17006,2755,11661,2110,434,322,31319,3515,15344,2103,15535,2090,440,302,136580,6924,74672,5005,25204,3156,45927,2258,3541,1119,61908,3995,23062,2092,35083,2965,3763,886,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50078,531,4433,1484,2194,1069,853,575,1321,825,20,38,2239,820,1028,635,1171,491,40,52,45645,1465,21992,1381,6452,1058,14466,855,1074,450,23653,1438,8563,1227,13605,753,1485,445,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2146596,3558,428910,21188,191411,10567,95262,7415,86540,5270,9609,1517,237499,12269,98044,6359,128158,7209,11297,1714,1717686,21922,873452,11388,266322,7702,550868,5760,56262,1483,844234,12268,250816,6368,522617,7376,70801,1878,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,220754,1564,51167,6310,24679,3617,14844,2725,9560,1768,275,224,26488,3572,13248,2278,12635,1962,605,318,169587,6443,88863,4161,29618,2617,55541,2465,3704,1135,80724,3876,29829,2491,47097,2336,3798,851,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15211283,7900,2653621,51589,1193752,24807,576653,16853,557986,12804,59113,3738,1459869,31182,544522,17019,817165,17867,98182,4622,12557662,52451,6416653,24825,1787698,17286,4219812,12528,409143,4131,6141009,32358,1732510,17729,3890755,18439,517744,4781,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1182429,2255,185046,13041,80558,6673,38308,4238,38910,3854,3340,775,104488,7957,39186,4765,58652,4447,6650,1343,997383,13026,514997,7042,160382,4450,322938,4314,31677,1017,482386,7873,150951,4832,294017,4481,37418,1708,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,566659,1388,119085,10651,50223,5419,21882,3296,26118,3241,2223,714,68862,6454,23304,3285,40499,3989,5059,952,447574,10662,231385,5527,69356,3303,149784,3418,12245,881,216189,6625,62196,3409,138514,4107,15479,1134,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,86856,1544,18740,3843,8628,2294,4414,1658,3817,1268,397,403,10112,2057,4018,1163,5598,1189,496,310,68116,3550,36569,2048,11820,1382,23125,1260,1624,606,31547,2143,10352,1363,19460,1272,1735,398,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,73440,848,9648,2780,2948,1214,724,577,2016,809,208,212,6700,1863,1962,1169,4001,1170,737,443,63792,2926,34879,1371,9655,864,23721,963,1503,216,28913,2049,7980,1330,18975,1192,1958,454,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5299726,3994,936804,33477,418836,17454,163164,9689,207368,10640,48304,3726,517968,19386,153479,9514,289057,11466,75432,4572,4362922,33309,2182991,17673,493647,9726,1476687,11123,212657,4086,2179931,19646,481605,10066,1403780,11716,294546,4543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,977433,4144,228841,16645,107486,8273,60796,5525,44356,4180,2334,964,121355,10222,56626,5921,61844,5567,2885,892,748592,18058,397422,9234,125949,6177,257966,5149,13507,1423,351170,11507,118354,6174,215812,6571,17004,1817,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,144657,1191,21651,3864,9109,2070,4413,1479,4421,1248,275,254,12542,2300,5137,1340,6699,1319,706,325,123006,3861,63201,2138,22842,1610,37229,1377,3130,436,59805,2384,22063,1432,34194,1333,3548,351,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
