GEO_ID,C15002H_001E,C15002H_001M,C15002H_002E,C15002H_002M,C15002H_003E,C15002H_003M,C15002H_004E,C15002H_004M,C15002H_005E,C15002H_005M,C15002H_006E,C15002H_006M,C15002H_007E,C15002H_007M,C15002H_008E,C15002H_008M,C15002H_009E,C15002H_009M,C15002H_010E,C15002H_010M,C15002H_011E,C15002H_011M,NAME,C15002H_001EA,C15002H_001MA,C15002H_002MA,C15002H_002EA,C15002H_003EA,C15002H_003MA,C15002H_004EA,C15002H_004MA,C15002H_005EA,C15002H_005MA,C15002H_006EA,C15002H_006MA,C15002H_007MA,C15002H_007EA,C15002H_008MA,C15002H_008EA,C15002H_009MA,C15002H_009EA,C15002H_010MA,C15002H_010EA,C15002H_011EA,C15002H_011MA,state
0400000US01,2283461,2692,1097286,1633,130619,6369,334111,8236,314434,7152,318122,7177,1186175,1556,128154,5346,356386,8024,365905,8186,335730,8377,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,320775,577,170087,571,8048,1691,50862,2971,58115,2961,53062,2563,150688,390,7082,1466,31817,2246,53647,3241,58142,3021,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2918549,2449,1423643,1133,86399,5117,314324,8192,500738,10353,522182,9685,1494906,1721,72883,4806,340973,7725,557665,9989,523385,8707,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1540589,2294,743494,1546,84379,4598,270817,6725,205723,5461,182575,5759,797095,1686,75413,3922,260062,7623,253533,7149,208087,5809,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11228631,5355,5558568,2848,292366,8572,1024695,15128,1748535,18339,2492972,19746,5670063,3426,267390,8425,1043099,14983,1925786,19802,2433788,19513,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2796851,2650,1386422,1776,54498,4042,273586,7479,404834,8769,653504,8782,1410429,1402,48209,3471,260947,7146,426836,7151,674437,8032,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1772594,1890,848519,1006,52767,4353,225860,7673,202719,6013,367173,6952,924075,1150,46595,3129,228683,6296,238454,6236,410343,6313,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,452331,568,215404,294,18149,2346,68156,3741,54698,2893,74401,3626,236927,375,12892,1991,71630,3605,71035,3540,81370,3572,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,197526,684,99906,337,1041,487,2845,962,6515,1220,89505,1687,97620,432,419,274,2335,834,5019,1056,89847,1292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8767219,6274,4242184,3626,325474,9526,1189827,15537,1268693,15350,1458190,17117,4525035,3528,297196,11190,1298255,17300,1464289,17081,1465295,19533,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3914442,4417,1890673,2615,184430,7480,524313,11551,520594,11252,661336,10092,2023769,3060,171899,6746,546124,11177,598663,9413,707083,10773,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,241798,897,129784,531,3239,796,24856,2171,42568,2611,59121,2785,112014,606,3478,766,20930,1934,33866,2366,53740,2479,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
