GEO_ID,B17018_001E,B17018_001M,B17018_002E,B17018_002M,B17018_003E,B17018_003M,B17018_004E,B17018_004M,B17018_005E,B17018_005M,B17018_006E,B17018_006M,B17018_007E,B17018_007M,B17018_008E,B17018_008M,B17018_009E,B17018_009M,B17018_010E,B17018_010M,B17018_011E,B17018_011M,B17018_012E,B17018_012M,B17018_013E,B17018_013M,B17018_014E,B17018_014M,B17018_015E,B17018_015M,B17018_016E,B17018_016M,B17018_017E,B17018_017M,B17018_018E,B17018_018M,B17018_019E,B17018_019M,B17018_020E,B17018_020M,B17018_021E,B17018_021M,B17018_022E,B17018_022M,B17018_023E,B17018_023M,B17018_024E,B17018_024M,B17018_025E,B17018_025M,B17018_026E,B17018_026M,B17018_027E,B17018_027M,B17018_028E,B17018_028M,B17018_029E,B17018_029M,B17018_030E,B17018_030M,B17018_031E,B17018_031M,B17018_032E,B17018_032M,B17018_033E,B17018_033M,B17018_034E,B17018_034M,B17018_035E,B17018_035M,NAME,B17018_001MA,B17018_001EA,B17018_002MA,B17018_002EA,B17018_003MA,B17018_003EA,B17018_004MA,B17018_004EA,B17018_005MA,B17018_005EA,B17018_006EA,B17018_006MA,B17018_007EA,B17018_007MA,B17018_008MA,B17018_008EA,B17018_009MA,B17018_009EA,B17018_010MA,B17018_010EA,B17018_011MA,B17018_011EA,B17018_012MA,B17018_012EA,B17018_013MA,B17018_013EA,B17018_014MA,B17018_014EA,B17018_015MA,B17018_015EA,B17018_016EA,B17018_016MA,B17018_017EA,B17018_017MA,B17018_018MA,B17018_018EA,B17018_019MA,B17018_019EA,B17018_020MA,B17018_020EA,B17018_021MA,B17018_021EA,B17018_022MA,B17018_022EA,B17018_023MA,B17018_023EA,B17018_024MA,B17018_024EA,B17018_025MA,B17018_025EA,B17018_026EA,B17018_026MA,B17018_027EA,B17018_027MA,B17018_028MA,B17018_028EA,B17018_029MA,B17018_029EA,B17018_030MA,B17018_030EA,B17018_031MA,B17018_031EA,B17018_032MA,B17018_032EA,B17018_033EA,B17018_033MA,B17018_034MA,B17018_034EA,B17018_035MA,B17018_035EA,state
0400000US01,1203689,13513,154370,6386,46628,2879,12471,1650,16946,1968,13201,1872,4010,875,107742,5689,12997,1904,4258,1033,4225,985,3645,1155,869,521,94745,5195,22403,2767,37211,3032,30211,2881,4920,1169,1049319,13531,810346,11402,59998,3151,205109,6594,251463,6564,293776,7159,238973,8210,64559,3977,10235,1851,24444,2622,19433,2366,10447,1668,174414,6972,18099,1890,47900,3641,71777,3769,36638,3303,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5212,876,1237,631,2116,611,1504,629,355,243,7176,1230,2056,670,452,154,881,401,672,517,51,89,5120,1123,1152,561,1881,510,1879,667,208,208,155013,3917,118613,4050,4568,1105,21662,2001,45450,2956,46933,2928,36400,2549,12946,1688,1073,319,5420,1274,3783,947,2670,653,23454,2079,2012,826,5153,991,11062,1926,5227,1331,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,74404,4198,22538,2779,21043,2288,20629,2658,10194,1594,101658,5296,21609,2410,6039,1288,7442,1550,6686,1513,1442,627,80049,4515,24513,2740,23550,2668,26735,2641,5251,1118,1476263,14537,1132114,14104,92912,4736,195475,6696,386528,9485,457199,10093,344149,9644,116465,6113,16879,2124,32417,3321,42468,3709,24701,2981,227684,7610,25863,2813,53609,3824,92915,4557,55297,3486,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31694,2922,8599,1428,11426,1827,7692,1465,3977,951,56196,3862,8966,1471,2226,632,3959,1077,2304,712,477,337,47230,3488,10852,1816,16125,1854,18663,2508,1590,588,666809,11484,521158,9536,42681,3003,148972,5569,162082,5834,167423,5933,145651,6741,44835,3793,6357,1415,16921,2300,14529,2251,7028,1359,100816,5019,12243,1947,27828,2931,39424,3104,21321,2474,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,373259,9802,143974,6554,89801,5373,80548,4587,58936,3458,484808,12165,98151,5701,32314,3098,28816,2994,28136,3168,8885,1500,386657,9764,129018,6038,95210,4995,126861,6072,35568,3134,8052550,26039,6073706,28866,744748,13450,926691,17127,1768612,19717,2633655,21604,1978844,20951,675061,15412,122195,6024,165605,7729,220416,7700,166845,7817,1303783,17677,196533,7103,275072,9028,482917,11039,349261,8982,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,38461,3259,9938,1937,9019,1567,10904,1711,8600,1230,53499,4065,9483,1794,1047,452,3026,1112,3820,1165,1590,703,44016,3823,10648,2116,13951,2034,15271,2208,4146,988,1274847,10110,1023853,11173,54079,3139,160695,6153,290863,8073,518216,8497,250994,6370,91058,4575,9228,2004,24571,2886,30239,3156,27020,2871,159936,5822,15260,1800,34371,3382,58495,3502,51810,3490,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,17623,1988,4003,936,5442,1361,3263,842,4915,1049,38133,3858,5613,1375,2020,787,1474,633,1329,764,790,437,32520,3518,8966,1439,10508,1714,9928,1982,3118,1046,821537,8644,631938,8173,31500,2665,125458,6007,154341,5849,320639,7176,189599,7241,55704,3805,6280,1371,20222,2816,16071,2395,13131,1772,133895,5727,13142,1953,37405,4040,46512,4034,36836,2857,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,9611,1790,1902,724,3581,1132,3129,1114,999,442,12054,1765,2402,945,514,353,1018,727,676,435,194,219,9652,1519,2187,824,4851,1230,2170,946,444,288,214130,5465,167336,5179,9730,1589,39724,3043,45562,2794,72320,3332,46794,3453,14114,1743,2331,828,4885,1083,3607,1118,3291,977,32680,3052,1747,857,11729,1892,10772,1862,8432,1400,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2406,868,609,400,746,446,737,558,314,233,13523,1678,1628,658,256,175,1272,645,100,122,0,208,11895,1619,2401,872,6163,1237,2374,724,957,442,103428,3668,68170,3209,4126,1096,4330,990,7156,1205,52558,2824,35258,2731,8363,1370,1169,635,2496,735,1577,618,3121,950,26895,2298,3233,965,7168,1409,7537,1620,8957,1647,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,213722,7908,42734,3496,68986,3946,57632,4060,44370,3966,285307,9019,50716,3727,12929,2089,20126,2775,12078,2044,5583,1611,234591,8437,55394,4894,82393,5816,76427,4778,20377,2195,4444477,28838,3374573,27825,224707,9414,728786,15308,1055479,18215,1365601,18620,1069904,19401,326912,10597,47344,3882,106898,5892,100367,6235,72303,4691,742992,15642,75324,4336,198665,7703,271680,9153,197323,8300,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
