GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001MA,B25007_001EA,B25007_002MA,B25007_002EA,B25007_003EA,B25007_003MA,B25007_004EA,B25007_004MA,B25007_005EA,B25007_005MA,B25007_006MA,B25007_006EA,B25007_007MA,B25007_007EA,B25007_008MA,B25007_008EA,B25007_009EA,B25007_009MA,B25007_010EA,B25007_010MA,B25007_011MA,B25007_011EA,B25007_012MA,B25007_012EA,B25007_013MA,B25007_013EA,B25007_014EA,B25007_014MA,B25007_015EA,B25007_015MA,B25007_016MA,B25007_016EA,B25007_017MA,B25007_017EA,B25007_018MA,B25007_018EA,B25007_019EA,B25007_019MA,B25007_020EA,B25007_020MA,B25007_021MA,B25007_021EA,state
0400000US01,1841665,12421,1253199,12678,13971,2320,114820,4716,180635,5542,239944,5947,141591,5756,145971,5278,243741,5048,130944,3986,41582,3082,588466,10414,61870,4868,144061,6080,121635,5478,92537,4664,46442,3001,36637,2871,50686,2971,22595,2174,12003,1676,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,159344,3559,1148,463,16509,2048,30454,2075,32304,1932,20655,1665,18641,1426,26384,1614,10499,982,2750,631,91397,3639,10001,1738,30693,2206,16908,1809,13292,1781,6211,1085,4986,851,6361,1136,2167,561,778,392,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,1652321,12356,14979,2277,148118,5610,239508,6899,300410,7019,177709,6136,182986,6005,343240,5807,188284,5103,57087,3349,900651,12842,88281,4799,229183,6720,189576,7565,151425,6567,61027,3407,52426,3665,71824,3929,36744,2865,20165,1791,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,752399,11287,10412,1829,73814,4662,113341,4552,138813,3865,83907,3723,82159,3224,143937,3879,81700,3289,24316,2327,400683,9039,47999,3382,101931,5373,74638,4406,63630,3948,31046,3092,25898,2837,31053,2805,14951,1923,9537,1392,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,7125090,26839,33363,3220,521168,9391,1084566,13932,1529975,14671,852329,12900,842183,12566,1307028,11953,671798,11489,282680,6399,5880007,28546,321001,9738,1461356,15328,1346017,15376,1092966,14060,454276,11280,364513,9065,478637,9687,229777,8096,131464,5847,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,1394824,10847,12597,1718,151352,5576,242360,5761,282620,6110,163177,4169,157045,4715,244223,3497,106436,3113,35014,2439,744383,11664,82230,3547,223721,6944,150421,6230,108329,5113,46089,4029,39167,3448,52884,3731,23993,2476,17549,1771,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,898234,7622,3603,1034,70482,3712,124526,4317,199913,4678,115699,4468,109717,4527,161027,3334,77754,3064,35513,2720,458528,7656,29135,3086,105066,5145,89381,4784,79399,4201,35639,2696,32564,3086,43621,2899,25961,2313,17762,2396,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,253948,5292,1684,711,22298,2073,34183,2736,48865,2674,28726,2271,32612,2156,51905,2006,26056,1599,7619,1084,103989,4386,7401,1196,28912,2529,21502,2481,17240,1998,6704,1373,6213,1216,8776,1373,4228,860,3013,828,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,118805,3235,257,202,15137,1601,26675,1844,20200,1694,11100,1411,11775,1366,18137,1502,11169,1264,4355,996,162670,3861,9386,1156,58292,2896,31041,2505,22504,1869,9470,1363,9907,1447,13124,1577,6889,1099,2057,641,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,5010187,26720,30427,2869,329762,7869,613366,11118,902382,13171,557205,10467,569255,9080,1114612,11085,654931,10485,238247,7577,2679777,21534,168886,6584,624313,13056,577729,11165,501555,11435,209151,8385,169368,6117,233251,7854,118755,5257,76769,4995,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3745074,16431,2354922,19925,19006,2471,215772,8262,386565,10394,525647,9072,264607,7304,261503,6120,419307,6602,201089,5899,61426,3623,1390152,18759,123421,5287,368783,10586,311208,10076,240473,9153,99094,5950,79047,4621,103457,4496,42836,2971,21833,2145,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
