GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002MA,C17001A_002EA,C17001A_003EA,C17001A_003MA,C17001A_004EA,C17001A_004MA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007MA,C17001A_007EA,C17001A_008MA,C17001A_008EA,C17001A_009EA,C17001A_009MA,C17001A_010EA,C17001A_010MA,C17001A_011EA,C17001A_011MA,C17001A_012EA,C17001A_012MA,C17001A_013MA,C17001A_013EA,C17001A_014EA,C17001A_014MA,C17001A_015EA,C17001A_015MA,C17001A_016EA,C17001A_016MA,C17001A_017EA,C17001A_017MA,C17001A_018MA,C17001A_018EA,C17001A_019MA,C17001A_019EA,state
0400000US01,3245945,7170,397399,16158,170556,8461,56136,5103,99530,5490,14890,2034,226843,10449,52124,4316,142547,7370,32172,2406,2848546,16885,1415968,9465,284320,5354,872242,6911,259406,2437,1432578,10558,278358,4881,845375,7311,308845,2527,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465528,3684,35573,3896,17893,2265,3691,1050,12281,1780,1921,659,17680,2468,5019,1372,10445,1489,2216,819,429955,5585,226308,3581,46136,1780,150211,2533,29961,725,203647,3326,42809,1973,133412,1944,27426,920,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5339610,25482,686351,22910,318516,11561,106988,8090,173228,7518,38300,2801,367835,14084,102060,6907,215707,8570,50068,3879,4653259,30169,2311590,14558,475881,8358,1378324,10464,457385,3180,2341669,19082,459776,8516,1358581,12246,523312,4185,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2232138,7403,303436,15203,138831,8290,45841,4328,80156,5754,12834,1317,164605,8691,40123,4351,100825,4753,23657,2235,1928702,14980,960461,8964,205325,4973,578528,5927,176608,1803,968241,8780,190907,4614,571274,5742,206060,2297,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22769478,69014,2763309,49918,1263998,26892,429451,15616,714509,15675,120038,5584,1499311,29253,400964,13703,891218,19017,207129,7718,20006169,82036,10073436,45538,2052839,19332,6441979,31828,1578618,8122,9932733,44300,1959555,21863,6115938,26912,1857240,9526,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4621959,13500,441148,17927,200795,9114,54472,5068,128677,5807,17646,1933,240353,11214,53216,6028,155471,7538,31666,2861,4180811,20520,2111305,11429,452329,5895,1358481,8351,300495,2502,2069506,12292,430179,6203,1298214,8659,341113,3142,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2648178,12509,194971,11363,82311,5664,22430,3520,49657,3677,10224,1593,112660,7495,22730,3427,67404,4786,22526,2214,2453207,14736,1210589,8283,233633,4833,762642,5379,214314,1998,1242618,9373,219603,4175,758480,6240,264535,2619,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,647602,4029,69028,6550,30647,3634,8264,2078,18288,2303,4095,1019,38381,4158,8227,1904,24772,2743,5382,1076,578574,6942,284147,3908,53549,2091,171481,2922,59117,1067,294427,4370,51028,2108,173115,2997,70284,1274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,267497,4940,17735,2427,7878,1989,528,497,6587,1848,763,496,9857,1670,625,501,8863,1506,369,310,249762,4901,125170,3310,16924,1393,94788,2471,13458,606,124592,2610,16015,1178,93023,1953,15554,650,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15502579,35080,1890554,44301,844638,23229,242831,11928,471876,14428,129931,5995,1045916,25999,222311,10892,621838,16565,201767,8203,13612025,49169,6729205,26700,1168263,14003,4040094,18485,1520848,7267,6882820,29741,1126885,11944,3991233,19810,1764702,9900,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
