GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001EA,B16005I_001MA,B16005I_002EA,B16005I_002MA,B16005I_003EA,B16005I_003MA,B16005I_004MA,B16005I_004EA,B16005I_005MA,B16005I_005EA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010MA,B16005I_010EA,B16005I_011MA,B16005I_011EA,state
0400000US15,130650,-555555555,117852,2234,94985,3615,22867,3008,18138,2273,4729,1714,12798,2234,2258,921,10540,2381,5505,1421,5035,1405,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,190714,1636,133574,3755,75516,5031,58058,4158,48546,4310,9512,2166,57140,3435,2890,1181,54250,3575,17871,2738,36379,3307,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2024120,1835,1246720,13285,426867,13937,819853,14542,703295,14639,116558,6974,777400,13177,33009,3566,744391,13908,246329,9820,498062,11295,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,416874,1810,277444,6364,146376,7230,131068,6586,108885,6608,22183,2327,139430,5970,9847,2074,129583,6354,44996,3857,84587,5813,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,165297,1973,107890,4226,60003,4766,47887,3581,41331,3065,6556,1400,57407,3685,3280,1036,54127,3621,14871,2272,39256,3227,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,309272,1944,210223,4825,107824,6431,102399,4630,89263,4366,13136,2280,99049,4484,3624,890,95425,4752,29929,3033,65496,3771,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,137198,2565,81456,3588,47581,4546,33875,3079,23621,2099,10254,2527,55742,2980,5103,1485,50639,3007,14243,1841,36396,3251,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,219267,2774,123539,5420,72262,5004,51277,3829,39294,3646,11983,2266,95728,4665,7524,1300,88204,4680,26163,3176,62041,5149,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,19960,1020,16306,1474,12221,1829,4085,1203,3223,963,862,701,3654,1197,694,480,2960,1030,1460,675,1500,777,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,547652,1168,259125,8807,92562,6249,166563,7930,138469,7865,28094,5293,288527,8526,14814,1915,273713,8343,100241,5986,173472,7957,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,737071,610,492079,10496,165431,8121,326648,10639,241293,9488,85355,6155,244992,10459,14897,2616,230095,10089,79594,5560,150501,9100,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,456818,1264,343156,5686,220679,6628,122477,5991,103642,5940,18835,2099,113662,5673,8131,1507,105531,5486,42746,3405,62785,4256,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,267641,1623,170373,3915,87662,5110,82711,4034,67672,4119,15039,2097,97268,3852,8077,1425,89191,3933,27027,2748,62164,3923,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,77365,3265,49180,4013,27706,3709,21474,3198,16908,2833,4566,1939,28185,3144,2198,1041,25987,3010,9935,1986,16052,2313,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,229707,3092,164200,5386,104841,6395,59359,4085,47490,3757,11869,2261,65507,4514,3957,802,61550,4494,24752,2604,36798,4181,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,35418,910,30482,1534,24394,2091,6088,1396,4821,1305,1267,594,4936,1363,386,284,4550,1388,2060,832,2490,1200,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,186246,875,110255,4034,54968,4050,55287,4222,43115,3432,12172,1969,75991,3745,3550,910,72441,3614,21528,2518,50913,3240,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,789509,477,467457,7720,195398,10044,272059,7917,248825,7103,23234,3291,322052,7696,11006,1775,311046,7542,111613,6262,199433,7190,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,45614,1080,32267,2406,19167,2101,13100,2368,10252,1611,2848,1894,13347,2133,1578,799,11769,2297,5485,1440,6284,1855,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1684367,838,907119,14270,303842,12868,603277,14015,486764,12924,116513,7828,777248,14141,39479,3824,737769,14309,245450,9563,492319,11365,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,941618,1292,796041,8157,445792,12465,350249,10946,300251,10895,49998,5065,145577,8080,9566,2098,136011,8435,43133,5029,92878,6561,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3506566,1352,2070328,22124,718152,17894,1352176,23093,1085207,21205,266969,10561,1436238,22309,76787,5484,1359451,22235,400256,15049,959195,20070,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,856992,3567,469558,10070,172908,9701,296650,10179,250287,9022,46363,4333,387434,9650,22529,2827,364905,9985,120479,7286,244426,8359,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,23325,962,17100,1666,11414,1780,5686,1149,4908,1144,778,455,6225,1961,731,381,5494,2090,3487,1810,2007,712,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
