GEO_ID,B06003_001E,B06003_001M,B06003_002E,B06003_002M,B06003_003E,B06003_003M,B06003_004E,B06003_004M,B06003_005E,B06003_005M,B06003_006E,B06003_006M,B06003_007E,B06003_007M,B06003_008E,B06003_008M,B06003_009E,B06003_009M,B06003_010E,B06003_010M,B06003_011E,B06003_011M,B06003_012E,B06003_012M,B06003_013E,B06003_013M,B06003_014E,B06003_014M,B06003_015E,B06003_015M,NAME,B06003_001EA,B06003_001MA,B06003_002EA,B06003_002MA,B06003_003MA,B06003_003EA,B06003_004MA,B06003_004EA,B06003_005MA,B06003_005EA,B06003_006EA,B06003_006MA,B06003_007EA,B06003_007MA,B06003_008MA,B06003_008EA,B06003_009MA,B06003_009EA,B06003_010MA,B06003_010EA,B06003_011MA,B06003_011EA,B06003_012EA,B06003_012MA,B06003_013EA,B06003_013MA,B06003_014EA,B06003_014MA,B06003_015EA,B06003_015MA,state
0400000US01,4874747,-555555555,2359896,5397,2514851,5397,3407382,20320,1644274,12920,1763108,13034,1252638,19344,608746,12534,643892,12137,45661,3519,22419,2439,23242,2780,169066,6916,84457,3965,84609,4335,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,385776,2177,354019,2177,314056,8570,166822,5706,147234,4692,348023,8698,181263,5189,166760,5571,19529,3111,11888,2027,7641,1627,58187,4466,25803,2816,32384,2765,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,3487722,3229,3528548,3229,2784137,27901,1415687,18006,1368450,16824,3204995,26394,1580308,15351,1624687,17019,102238,7499,51602,4792,50636,4784,924900,18307,440125,10570,484775,11757,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,1479682,4363,1524597,4363,1821927,15268,901249,9244,920678,10905,1017615,16092,493993,8933,523622,10472,24659,3479,12259,2124,12400,2341,140078,5172,72181,4028,67897,3190,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,19650051,4631,19886602,4631,21966372,49266,11066742,34061,10899630,33712,6365215,41438,3191280,26340,3173935,26319,551652,13868,278787,8743,272865,8658,10653414,47294,5113242,31847,5540172,28026,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,2820169,3314,2786985,3314,2360222,24413,1190003,16537,1170219,14232,2606254,24756,1311688,15939,1294566,14715,89910,5481,44672,3596,45238,3996,550768,12818,273806,7511,276962,8607,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,1750647,2313,1837537,2313,1944602,17728,965625,10493,978977,12001,981721,15300,468398,9567,513323,10142,131616,7091,64359,4688,67257,4270,530245,12137,252265,7337,277980,7970,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,465510,1455,496429,1455,415536,10605,205596,6574,209940,6925,432801,10638,205542,6369,227259,6577,15109,2567,7573,1746,7536,1352,98493,6244,46799,3634,51694,3912,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,329078,543,364894,543,259366,8016,121380,4820,137986,4811,317612,7890,150132,5115,167480,4886,15134,2816,7349,1720,7785,1887,101860,5844,50217,3078,51643,3959,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,10254267,6257,10730133,6257,7546073,47932,3790208,30036,3755865,28909,8270242,46196,4021528,29803,4248714,28076,788744,26278,393596,15053,395148,15122,4379341,36643,2048935,20602,2330406,24578,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
