B08124_003E,B08124_003M,B08124_004E,B08124_004M,B08124_005E,B08124_005M,B08124_006E,B08124_006M,B08124_007E,B08124_007M,B08124_008E,B08124_008M,B08124_009E,B08124_009M,B08124_010E,B08124_010M,B08124_011E,B08124_011M,B08124_012E,B08124_012M,B08124_013E,B08124_013M,B08124_014E,B08124_014M,B08124_015E,B08124_015M,B08124_016E,B08124_016M,B08124_017E,B08124_017M,B08124_018E,B08124_018M,B08124_019E,B08124_019M,B08124_020E,B08124_020M,B08124_021E,B08124_021M,B08124_022E,B08124_022M,B08124_023E,B08124_023M,B08124_024E,B08124_024M,B08124_025E,B08124_025M,B08124_026E,B08124_026M,B08124_027E,B08124_027M,B08124_028E,B08124_028M,B08124_029E,B08124_029M,B08124_030E,B08124_030M,B08124_031E,B08124_031M,B08124_032E,B08124_032M,B08124_033E,B08124_033M,B08124_034E,B08124_034M,B08124_035E,B08124_035M,B08124_036E,B08124_036M,B08124_037E,B08124_037M,B08124_038E,B08124_038M,B08124_039E,B08124_039M,B08124_040E,B08124_040M,B08124_041E,B08124_041M,B08124_042E,B08124_042M,B08124_043E,B08124_043M,B08124_044E,B08124_044M,B08124_045E,B08124_045M,B08124_046E,B08124_046M,B08124_047E,B08124_047M,B08124_048E,B08124_048M,B08124_049E,B08124_049M,GEO_ID,B08124_001E,B08124_001M,B08124_002E,B08124_002M,B08124_003EA,B08124_003MA,B08124_004MA,B08124_004EA,B08124_005MA,B08124_005EA,B08124_006EA,B08124_006MA,B08124_007EA,B08124_007MA,B08124_008EA,B08124_008MA,B08124_009MA,B08124_009EA,B08124_010MA,B08124_010EA,B08124_011MA,B08124_011EA,B08124_012EA,B08124_012MA,B08124_013EA,B08124_013MA,B08124_014MA,B08124_014EA,B08124_015MA,B08124_015EA,B08124_016MA,B08124_016EA,B08124_017MA,B08124_017EA,B08124_018MA,B08124_018EA,B08124_019MA,B08124_019EA,B08124_020EA,B08124_020MA,B08124_021MA,B08124_021EA,B08124_022MA,B08124_022EA,B08124_023MA,B08124_023EA,B08124_024MA,B08124_024EA,B08124_025EA,B08124_025MA,B08124_026MA,B08124_026EA,B08124_027MA,B08124_027EA,B08124_028MA,B08124_028EA,B08124_029EA,B08124_029MA,B08124_030MA,B08124_030EA,B08124_031MA,B08124_031EA,B08124_032MA,B08124_032EA,B08124_033MA,B08124_033EA,B08124_034MA,B08124_034EA,B08124_035MA,B08124_035EA,B08124_036EA,B08124_036MA,B08124_037EA,B08124_037MA,B08124_038EA,B08124_038MA,B08124_039MA,B08124_039EA,B08124_040MA,B08124_040EA,B08124_041EA,B08124_041MA,B08124_042EA,B08124_042MA,B08124_043EA,B08124_043MA,B08124_044MA,B08124_044EA,B08124_045MA,B08124_045EA,B08124_046EA,B08124_046MA,B08124_047EA,B08124_047MA,B08124_048EA,B08124_048MA,B08124_049MA,B08124_049EA,NAME,B08124_001EA,B08124_001MA,B08124_002EA,B08124_002MA,state
338930,9825,474098,10731,190071,6540,318810,11167,7409,1467,1748949,19969,614639,12430,285332,10043,412458,10177,154249,6551,276017,9875,6254,1369,173508,7679,48405,3931,33356,3084,32595,3459,28672,2967,30156,4513,324,406,7234,1504,910,452,1857,754,2226,901,727,562,1514,666,0,200,23594,3529,8764,1882,5005,1188,6405,1960,1301,517,1403,800,716,530,19462,2821,4618,1402,5070,1255,3160,882,2150,844,4349,1229,115,184,68872,5117,34965,3281,8310,2052,17254,2498,2972,930,5371,1530,0,200,0400000US01,2041619,17993,712301,13637,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,01
59551,3933,79783,4331,38836,3295,37039,3240,7485,1427,243466,6186,92562,4453,38043,3169,58204,3617,26617,3012,23233,2677,4807,1218,41554,4193,15059,2027,6357,1314,10013,2359,4923,1225,4039,1179,1163,531,5827,1561,1108,505,1881,928,1120,521,130,119,1568,921,20,39,25829,2365,8361,1315,5978,1058,4731,1211,1592,425,3864,848,1303,670,18622,1701,4789,1007,4233,850,3090,670,3831,790,2487,644,192,192,15984,2030,6709,1196,3059,737,2625,690,1743,751,1848,831,0,153,0400000US02,351282,6043,128588,5402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,02
589111,11752,803493,16113,276552,10790,296807,10891,8064,1494,2362162,18831,867631,15357,431117,11567,617577,14050,206418,9358,232332,9611,7087,1414,339590,10803,96523,5335,75310,4366,82144,5205,48510,5305,36850,3741,253,212,55495,5174,12060,1930,18264,2949,14677,1993,3781,1100,6430,1261,283,216,61420,4149,16041,2220,21533,2624,16696,2291,3089,939,3971,1031,90,72,73568,5031,22389,2368,18108,2413,17267,2464,5653,1342,10086,1970,65,111,193915,7427,97479,4861,24779,2651,55132,4001,9101,1831,7138,1469,286,308,0400000US04,3086150,17384,1112123,17406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,04
216668,8103,292390,9311,127278,5928,207210,7232,2368,964,1068253,12584,365389,8392,173098,7775,248845,8718,102772,5103,176170,6692,1979,958,126414,6651,37534,2999,25627,3046,26863,2958,16193,2083,20089,2736,108,133,3788,1046,1219,658,1195,565,600,366,168,175,606,383,0,201,23112,3075,6247,1438,7547,1680,4248,987,2066,1068,3004,853,0,201,12943,2357,2846,871,2272,849,1457,520,1847,742,4381,1275,140,122,47156,3936,22517,2948,6929,1266,10377,1806,4232,1319,2960,1017,141,108,0400000US05,1281666,13086,435752,10281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,05
3385090,31921,4117705,34463,1665939,20975,2007939,23773,66281,4615,13541563,56126,5224791,37961,2380752,28105,3086923,29528,1247372,17767,1563704,22275,38021,3982,1837270,27936,571941,12914,379274,12655,395342,11550,254120,11708,232600,8408,3993,894,919579,16698,379173,10502,215107,8890,204598,8443,37351,4193,81292,5299,2058,707,473375,12939,168169,7272,120095,6293,109431,5837,28882,3715,34589,3501,12209,3000,455955,12634,177098,6798,94762,5812,84983,5454,46346,4370,51467,4489,1299,604,1092887,19780,556503,14354,195100,8073,236428,7611,51868,4663,44287,4191,8701,2734,0400000US06,18320629,48194,7077675,42198,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,06
482933,12015,641063,13700,270624,7868,264074,10028,23459,2555,2161670,15648,889482,13268,361434,10523,483227,11720,205654,6973,208086,8594,13787,2401,246847,8470,77616,5033,50778,4353,50717,4225,37677,4015,27639,2953,2420,997,92878,5937,38432,3405,22782,2869,20894,2706,5011,1437,5670,1826,89,103,77250,4817,28502,2829,16139,2670,16671,2255,4517,1062,4575,1083,6846,1083,64230,3878,30209,2723,8787,1580,12489,1933,4477,963,8011,1447,257,262,244103,8996,140584,6044,23013,2578,57065,4255,13288,2169,10093,1657,60,91,0400000US08,2886978,17103,1204825,14705,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,08
318945,11842,387675,10434,129388,6636,160449,7115,5951,918,1391813,14671,615879,12719,243274,10220,298752,8922,103358,5846,128187,6051,2363,788,139660,7956,42970,3520,33881,3726,28393,2779,15773,2435,18208,2373,435,355,83460,4978,39599,3494,13994,2223,21654,2329,3449,1183,4567,1327,197,235,49471,4116,17251,2075,12609,2261,14175,2338,1224,604,2878,1065,1334,693,22422,3214,9562,1929,5600,1436,3485,1048,1194,621,2581,988,0,207,91174,4559,50331,3586,9587,1543,21216,2631,4390,1329,4028,1130,1622,1063,0400000US09,1778000,14686,775592,13580,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,09
67675,4825,100332,5351,36500,3372,49656,3677,1008,538,353445,7749,143216,5576,52887,4251,83825,5062,31495,2910,41219,3207,803,468,30680,3402,11455,2106,5244,1222,5797,1212,2602,880,5377,1761,205,232,9598,1594,3992,903,1956,872,2577,733,275,298,798,465,0,198,9566,1521,3035,993,3489,838,1836,695,619,423,587,382,0,198,5264,1415,1572,688,1478,829,1002,639,500,497,712,432,0,198,22227,2459,12339,1621,2621,791,5295,1354,1009,701,963,661,0,198,0400000US10,430780,6838,175609,6301,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,10
53162,3839,59214,4035,9901,2252,13854,2240,1034,386,129051,5201,77206,4133,18467,2534,21550,2452,4762,1323,6468,1360,598,288,19495,2415,10776,1603,2857,1128,3138,819,764,599,1760,1337,200,165,122643,5311,77782,4204,19237,2559,19472,2149,2842,1548,3099,1028,211,202,47625,3750,32176,2774,5461,1267,8317,1812,381,298,1265,1033,25,42,28899,3336,21081,2831,3514,1262,3398,847,393,305,513,352,0,208,27667,2948,19194,2211,3626,1665,3339,936,759,639,749,573,0,208,0400000US11,375380,6102,238215,5950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,11
1865955,30385,2417175,26882,881192,19114,875109,18269,28216,2648,7423934,39897,2642262,27996,1450005,25287,1934637,21869,672689,16541,703880,16947,20461,2310,850429,21057,236259,8382,203031,9323,205939,10040,123388,8251,79377,6070,2435,793,162401,8778,29298,3410,56844,5885,41344,4378,16665,2491,18106,3196,144,170,132386,8683,35943,3936,39593,4944,34555,3538,9067,2026,10536,2167,2692,966,211425,10124,52668,4048,57461,5282,40867,3292,23584,4243,35987,3864,858,447,574506,15223,291004,9606,59021,4770,159833,7514,35799,3833,27223,3469,1626,482,0400000US12,9355081,35950,3287434,30683,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,12
