GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001EA,B09002_001MA,B09002_002EA,B09002_002MA,B09002_003MA,B09002_003EA,B09002_004MA,B09002_004EA,B09002_005MA,B09002_005EA,B09002_006MA,B09002_006EA,B09002_007EA,B09002_007MA,B09002_008EA,B09002_008MA,B09002_009EA,B09002_009MA,B09002_010MA,B09002_010EA,B09002_011MA,B09002_011EA,B09002_012MA,B09002_012EA,B09002_013EA,B09002_013MA,B09002_014MA,B09002_014EA,B09002_015MA,B09002_015EA,B09002_016MA,B09002_016EA,B09002_017MA,B09002_017EA,B09002_018EA,B09002_018MA,B09002_019EA,B09002_019MA,B09002_020MA,B09002_020EA,state
0400000US01,933881,7034,605894,13076,90514,4128,66178,4040,29786,3232,208755,7471,210661,7815,327987,12650,58705,6112,9682,1862,7019,1405,2854,1036,18506,3696,20644,2934,269282,11901,38430,3813,27253,3013,14730,2308,94178,5671,94691,7068,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,161284,3295,120669,4158,22030,1695,13903,1461,7808,1818,41226,2564,35702,2421,40615,4095,12407,1996,1719,660,1062,439,1003,606,4132,780,4491,1250,28208,3774,3544,906,2907,767,1211,386,9329,1736,11217,2074,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1378380,11467,934119,17047,135504,5123,103030,4022,47050,3385,326507,9614,322028,8750,444261,16189,122150,9691,20602,2663,14971,2314,5055,1140,41186,4560,40336,4969,322111,13931,42918,3980,33518,3631,13936,2480,112977,7871,118762,7648,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,609065,6058,410699,8612,63645,3372,42848,2987,23324,2495,143445,5929,137437,4794,198366,9322,44074,5252,9084,2178,4326,1350,2856,1005,13240,2324,14568,2372,154292,7735,20326,2403,17489,2541,7938,2038,57450,5045,51089,3896,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7715643,26995,5536939,41549,844046,13501,619637,11187,288065,8716,1892121,20815,1893070,21516,2178704,37356,612315,20397,102157,6824,73070,5750,32649,3477,208675,10058,195764,7818,1566389,29887,200892,9468,155112,7858,76261,5034,551106,14845,583018,13661,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1129970,7971,851023,12927,141128,4961,95024,3966,45182,3039,292694,7888,276995,8211,278947,9869,85256,7174,12293,2110,7412,2077,6309,1579,26027,3005,33215,3648,193691,9702,21528,3018,17544,2522,9365,1813,65132,4917,80122,5793,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,669985,5324,467635,8831,69935,3778,47879,2903,23136,2390,153648,5034,173037,5582,202350,7604,43266,5118,7335,1822,3600,1103,1366,600,13907,2744,17058,2789,159084,7666,17752,2398,15126,2110,4981,1323,56504,4007,64721,4968,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173871,3867,117188,5562,19040,2185,12073,1519,6084,1568,38811,2918,41180,3684,56683,5498,15245,2994,2965,1218,1564,924,419,294,5986,1879,4311,1269,41438,5057,5152,1705,5569,1387,1878,649,13325,2381,15514,2404,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101895,3572,55165,3313,14837,1568,9220,1587,3344,895,17258,1783,10506,1562,46730,3470,8269,2359,1310,905,768,484,896,658,3094,1076,2201,1078,38461,3236,6396,1633,4275,1330,1087,567,13263,2050,13440,1946,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3630099,20555,2375888,32306,374025,10050,263497,10064,120195,6256,807370,15751,810801,15198,1254211,29349,300085,17631,54930,4509,32272,4359,13667,2438,95683,7657,103533,8676,954126,25934,128922,8906,91135,6217,47389,4976,329523,13696,357157,12158,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
