GEO_ID,B01001F_001E,B01001F_001M,B01001F_002E,B01001F_002M,B01001F_003E,B01001F_003M,B01001F_004E,B01001F_004M,B01001F_005E,B01001F_005M,B01001F_006E,B01001F_006M,B01001F_007E,B01001F_007M,B01001F_008E,B01001F_008M,B01001F_009E,B01001F_009M,B01001F_010E,B01001F_010M,B01001F_011E,B01001F_011M,B01001F_012E,B01001F_012M,B01001F_013E,B01001F_013M,B01001F_014E,B01001F_014M,B01001F_015E,B01001F_015M,B01001F_016E,B01001F_016M,B01001F_017E,B01001F_017M,B01001F_018E,B01001F_018M,B01001F_019E,B01001F_019M,B01001F_020E,B01001F_020M,B01001F_021E,B01001F_021M,B01001F_022E,B01001F_022M,B01001F_023E,B01001F_023M,B01001F_024E,B01001F_024M,B01001F_025E,B01001F_025M,B01001F_026E,B01001F_026M,B01001F_027E,B01001F_027M,B01001F_028E,B01001F_028M,B01001F_029E,B01001F_029M,B01001F_030E,B01001F_030M,B01001F_031E,B01001F_031M,NAME,B01001F_001EA,B01001F_001MA,B01001F_002EA,B01001F_002MA,B01001F_003MA,B01001F_003EA,B01001F_004MA,B01001F_004EA,B01001F_005EA,B01001F_005MA,B01001F_006EA,B01001F_006MA,B01001F_007EA,B01001F_007MA,B01001F_008MA,B01001F_008EA,B01001F_009MA,B01001F_009EA,B01001F_010MA,B01001F_010EA,B01001F_011EA,B01001F_011MA,B01001F_012EA,B01001F_012MA,B01001F_013EA,B01001F_013MA,B01001F_014MA,B01001F_014EA,B01001F_015MA,B01001F_015EA,B01001F_016EA,B01001F_016MA,B01001F_017EA,B01001F_017MA,B01001F_018EA,B01001F_018MA,B01001F_019MA,B01001F_019EA,B01001F_020MA,B01001F_020EA,B01001F_021EA,B01001F_021MA,B01001F_022EA,B01001F_022MA,B01001F_023EA,B01001F_023MA,B01001F_024EA,B01001F_024MA,B01001F_025MA,B01001F_025EA,B01001F_026EA,B01001F_026MA,B01001F_027EA,B01001F_027MA,B01001F_028EA,B01001F_028MA,B01001F_029EA,B01001F_029MA,B01001F_030MA,B01001F_030EA,B01001F_031MA,B01001F_031EA,state
0400000US01,67308,6742,35273,4407,3808,1230,4680,1552,4456,1568,1528,668,640,427,2915,1137,2779,952,3024,1099,6693,1529,2797,804,710,454,959,694,133,155,151,245,32035,3789,3132,994,4067,1164,4336,1169,1492,628,1005,588,2604,884,2056,760,2814,1152,5705,1383,2267,711,810,483,1434,963,153,167,160,229,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,432853,21141,222384,11786,16021,2333,17161,2643,19610,2575,11588,2208,8240,1763,20900,2467,20756,2347,19056,2636,33342,3419,28084,2604,16457,1658,7427,1259,2737,734,1005,517,210469,12243,14123,2518,16867,2760,18327,2636,10808,1811,8742,1633,20637,2937,16305,1872,16492,2148,32300,2943,26758,2631,16970,1663,7967,1236,2642,904,1531,713,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,91890,7755,48601,4445,3859,1228,6592,1294,5420,1281,2814,536,2254,839,3810,1024,3158,1142,3757,1161,6259,1507,6103,1716,2891,907,1454,880,174,192,56,89,43289,4140,4626,1151,4037,1179,4872,1172,2974,696,1132,522,4546,987,2758,1039,2661,1024,7195,1547,5163,1459,2141,751,853,449,331,309,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5911803,64869,3008490,36216,223920,7912,232354,8393,256678,7759,143555,5419,103598,4231,275473,7314,282896,7905,252991,6751,451299,10790,384167,9733,242412,6948,106816,4850,39677,2937,12654,1623,2903313,34658,208529,7773,222562,8099,251007,8484,143450,5581,99287,4181,258932,7728,250255,7254,221107,6514,429283,8256,367063,7673,244623,6861,126088,5485,56538,2937,24589,2306,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219189,11815,112643,6848,7924,1715,7532,1544,10580,1875,5810,1182,3799,1013,10344,2232,10224,1844,8276,1572,18330,2470,13702,2002,9700,1356,3864,903,1887,749,671,617,106546,6699,6958,1721,9307,1812,9324,1395,5779,1219,3722,1080,7469,1566,8510,1823,10321,1688,14752,1802,12159,1787,11074,1324,5153,953,1364,491,654,364,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,191373,12750,97223,7539,7707,1580,8298,1714,7618,1624,4680,1299,3316,1014,7768,1636,10082,1846,8915,1835,16633,2248,10676,1872,6630,1366,3622,1013,953,492,325,339,94150,7333,6088,1551,7592,1869,7562,2054,5264,1298,2679,964,7338,1461,8491,1460,8453,1695,15062,2015,14364,1973,6254,1428,3225,1189,1198,544,580,590,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18372,3423,9871,2094,1624,958,567,363,923,460,510,334,180,217,701,453,892,497,641,381,1977,733,784,442,601,590,471,430,0,198,0,198,8501,1816,516,474,1268,501,837,416,545,306,239,292,567,330,568,406,811,465,1453,585,269,221,696,464,477,354,85,127,170,267,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40116,5076,21631,2894,1743,789,1964,738,1895,649,925,484,475,395,1888,649,2378,563,2305,791,4301,944,1501,709,1535,418,613,410,93,153,15,36,18485,2760,2526,1085,2631,843,469,409,673,438,381,254,901,369,1271,558,2091,706,3252,588,1556,652,1547,484,962,446,0,208,225,300,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,602032,29652,313469,16578,22098,3180,22702,3410,23756,3680,14914,2488,10303,1986,23957,4178,26782,3359,27383,3739,58283,5408,40564,4048,21874,2352,12107,1956,7066,1601,1680,838,288563,15956,17693,2861,20675,3540,21432,3165,12307,2619,7352,1596,20192,3271,24606,3510,24776,4050,54352,4381,34676,3092,25009,3286,15941,2429,7189,1603,2363,950,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
