GEO_ID,C15010D_001E,C15010D_001M,C15010D_002E,C15010D_002M,C15010D_003E,C15010D_003M,C15010D_004E,C15010D_004M,C15010D_005E,C15010D_005M,C15010D_006E,C15010D_006M,NAME,C15010D_001MA,C15010D_001EA,C15010D_002EA,C15010D_002MA,C15010D_003EA,C15010D_003MA,C15010D_004MA,C15010D_004EA,C15010D_005MA,C15010D_005EA,C15010D_006MA,C15010D_006EA,state
0400000US01,20772,2301,11423,1904,1874,721,3513,843,1769,944,2193,678,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8296,1351,2698,773,1590,741,1533,539,1280,647,1195,534,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,91773,3966,48622,3193,11592,1960,17061,1791,3767,924,10731,1871,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14696,2019,8208,1455,1312,526,2330,713,444,369,2402,985,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2221299,18875,1079755,14827,245141,7961,442723,10397,91659,3924,362021,10200,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,62248,2915,33158,2491,4701,970,11337,1464,2798,678,10254,1592,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72960,3293,39938,2677,7064,1303,12725,1955,2763,1335,10470,1516,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17990,1393,11382,1303,1903,653,2444,678,636,356,1625,546,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17822,1253,9997,1341,755,422,2371,790,554,338,4145,901,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214346,6214,98377,5337,34182,3872,45009,4064,9443,1441,27335,2910,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,151895,6319,86765,4895,14724,2212,26934,3059,6216,1485,17256,2348,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,147465,5344,48581,2989,17228,2092,37226,2642,20924,2067,23506,2549,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6966,1471,3451,1023,378,306,1436,794,91,88,1610,647,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,319042,6827,152340,5525,45727,3107,61908,4453,15762,1985,43305,3434,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,51144,3474,30399,2956,6171,1182,6264,1441,1909,600,6401,1378,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20994,2322,10974,1895,3315,901,3179,1136,1479,499,2047,627,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28896,2578,16635,2102,2379,783,3922,1145,1521,522,4439,1075,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19598,2291,10999,1534,1514,525,2971,780,1403,518,2711,989,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23529,2458,11638,1610,2517,767,4579,1254,1179,518,3616,1008,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,4419,932,2488,726,566,362,268,154,141,173,956,509,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,173748,6060,95512,5172,18835,2104,26991,2752,7582,1435,24828,2685,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,190385,5120,111004,5403,16764,2323,28412,3147,5356,1110,28849,3336,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,126734,4763,78560,4101,14722,2200,15842,1796,4656,977,12954,1410,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,74173,3690,41458,2545,7043,1438,12609,2086,3374,726,9689,1538,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6478,1265,3451,996,878,426,848,547,473,329,828,445,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,48937,2668,26830,2711,5768,1279,7812,1483,2614,795,5913,1306,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2683,898,1053,632,245,233,778,543,237,198,370,377,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14281,1747,7870,1477,1255,505,2590,715,692,380,1874,659,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,77431,4778,25930,2676,14365,2344,21566,2749,5126,1164,10444,1870,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,14924,1729,9196,1653,1442,831,2288,758,668,412,1330,526,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,440532,6938,237338,6567,53035,3672,84258,4295,14980,1760,50921,3467,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,13013,1621,6400,1364,2042,889,1642,731,1293,553,1636,704,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,556658,10645,239429,6263,67018,3900,116315,5131,23911,2476,109985,5397,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,116066,4047,70371,3616,13015,1846,14821,2006,4306,1139,13553,1996,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5529,1333,3592,1205,1057,748,373,284,232,257,275,392,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,106971,4564,63574,3694,11638,1841,16106,2140,4208,976,11445,1834,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,23162,2358,10727,1793,3104,890,5433,1145,947,471,2951,748,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,69068,3807,37286,3302,6217,1359,12049,1788,3332,1092,10184,1702,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,166129,5475,93713,4532,18551,2187,23839,2769,8655,1423,21371,2431,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,14120,1835,7235,1379,791,366,3163,841,805,434,2126,772,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,26829,3070,13948,2222,3026,910,3772,1246,1515,639,4568,1125,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2855,872,1627,568,275,251,521,383,129,174,303,258,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
