GEO_ID,B08014_001E,B08014_001M,B08014_002E,B08014_002M,B08014_003E,B08014_003M,B08014_004E,B08014_004M,B08014_005E,B08014_005M,B08014_006E,B08014_006M,B08014_007E,B08014_007M,B08014_008E,B08014_008M,B08014_009E,B08014_009M,B08014_010E,B08014_010M,B08014_011E,B08014_011M,B08014_012E,B08014_012M,B08014_013E,B08014_013M,B08014_014E,B08014_014M,B08014_015E,B08014_015M,B08014_016E,B08014_016M,B08014_017E,B08014_017M,B08014_018E,B08014_018M,B08014_019E,B08014_019M,B08014_020E,B08014_020M,B08014_021E,B08014_021M,NAME,B08014_001EA,B08014_001MA,B08014_002MA,B08014_002EA,B08014_003MA,B08014_003EA,B08014_004EA,B08014_004MA,B08014_005EA,B08014_005MA,B08014_006EA,B08014_006MA,B08014_007MA,B08014_007EA,B08014_008MA,B08014_008EA,B08014_009MA,B08014_009EA,B08014_010MA,B08014_010EA,B08014_011EA,B08014_011MA,B08014_012EA,B08014_012MA,B08014_013MA,B08014_013EA,B08014_014MA,B08014_014EA,B08014_015MA,B08014_015EA,B08014_016MA,B08014_016EA,B08014_017EA,B08014_017MA,B08014_018MA,B08014_018EA,B08014_019MA,B08014_019EA,B08014_020MA,B08014_020EA,B08014_021MA,B08014_021EA,state
0400000US01,2030749,18124,37236,4413,388657,10445,819417,17600,483668,14431,205980,11644,95791,8189,1065183,11387,18119,2944,169645,8296,447753,11038,265763,8209,109280,6766,54623,4874,965566,11894,19117,2866,219012,6746,371664,10152,217905,8667,96700,5872,41168,4325,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,334570,5940,18935,2452,70379,4706,137803,6507,66474,4596,27699,4015,13280,2553,180955,4725,10375,1521,36186,3031,75285,4449,36454,3121,15536,2426,7119,1531,153615,3394,8560,1441,34193,3296,62518,3383,30020,2756,12163,2113,6161,1267,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3064179,17430,77537,5967,649685,15572,1272819,21232,677319,18711,263122,16054,123697,10421,1649123,12012,40183,4038,313756,9046,694385,13668,380402,11653,149781,10000,70616,6117,1415056,15885,37354,3805,335929,9883,578434,11576,296917,10555,113341,7573,53081,5376,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1273115,12970,28959,3411,264390,9406,538134,13739,278834,11121,115547,7556,47251,4851,663962,9692,14862,2100,121687,6148,287767,7529,150083,6027,62835,4751,26728,2913,609153,8923,14097,2362,142703,5897,250367,9398,128751,6570,52712,4304,20523,2447,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18157494,48131,561355,15235,3308789,30839,6849754,47307,4086423,42353,2085558,41306,1265615,30504,9900634,31067,309131,11537,1660334,20968,3781927,30438,2264994,27650,1158861,21721,725387,17410,8256860,31789,252224,8139,1648455,19841,3067827,24961,1821429,21545,926697,23780,540228,16482,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2861054,16670,64513,5256,495968,13273,1212947,16625,651954,18755,280248,13262,155424,10331,1544845,10559,34351,3712,243796,9283,660108,10677,360874,11442,155415,7800,90301,6307,1316209,11020,30162,2913,252172,7281,552839,10470,291080,9359,124833,7292,65123,5034,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1753589,14507,54946,4423,353651,10168,710459,14802,403983,14155,155604,8989,74946,9070,902487,9191,26253,2793,160372,6738,378506,8449,213793,7868,83049,4885,40514,4972,851102,11217,28693,2951,193279,7016,331953,9224,190190,7712,72555,5217,34432,5038,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,427178,6753,10411,2139,86696,4600,180311,8205,93161,6381,39030,5138,17569,3749,220694,3868,4904,1307,37832,3015,96396,4715,52832,4174,20886,2804,7844,1992,206484,4662,5507,1413,48864,2931,83915,4758,40329,3260,18144,2881,9725,2245,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,364831,5986,92160,5691,160395,5944,82906,5548,21887,3770,5572,2049,1911,1221,178313,3906,43468,3842,75500,4328,43900,3857,11751,2379,2845,1052,849,594,186518,4967,48692,4064,84895,3891,39006,3370,10136,2037,2727,1326,1062,732,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9304787,35433,261708,13620,2110718,31739,4097667,40770,1912332,38554,693920,22634,228442,17542,4896053,21609,145202,9721,1011001,21387,2212337,24066,1025712,22454,373442,15365,128359,10803,4408734,21214,116506,7282,1099717,17493,1885330,23174,886620,19930,320478,11359,100083,8627,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
