GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001MA,B24091_001EA,B24091_002MA,B24091_002EA,B24091_003MA,B24091_003EA,B24091_004EA,B24091_004MA,B24091_005EA,B24091_005MA,B24091_006MA,B24091_006EA,B24091_007EA,B24091_007MA,B24091_008MA,B24091_008EA,B24091_009EA,B24091_009MA,state
0400000US01,41407,323,40209,429,39252,946,61424,3186,41811,1224,42307,1383,47108,1321,70592,2856,35505,3159,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,53433,2576,50017,1803,49124,2288,65609,6541,52482,4485,63883,4397,62529,4253,66078,4222,41847,8740,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,42461,409,42111,346,41719,356,60474,5624,46355,1676,43668,1964,42669,1301,61192,1504,35988,1215,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,39192,815,37396,623,37052,463,51727,2575,45366,2385,36966,918,42030,1324,58756,4544,31813,2665,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,50943,125,48529,402,47292,203,73168,3275,56783,761,62571,1323,64529,1786,66109,996,38516,2081,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50670,264,50115,393,48884,824,65046,3584,51358,1020,51617,640,51759,1183,69927,3386,40762,1098,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,58880,1427,56853,811,56187,827,75574,5122,60220,1668,63416,3196,71999,3914,64809,3214,46625,4280,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50914,763,50119,1383,49747,1592,60180,4219,59209,5461,54158,8023,50910,2067,66683,8978,40540,3458,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,70725,855,64558,3030,62827,3055,102268,23427,68725,3649,65541,4567,67240,8218,99993,3410,65740,9814,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40450,145,39133,485,38050,491,51002,598,45857,861,44230,962,42887,1323,61924,1260,30398,580,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,42466,451,41940,278,41538,278,55476,3918,48036,1797,42429,773,45202,1355,62796,3735,34114,3362,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,47256,975,42448,1025,42129,496,61315,1727,51491,2310,55435,3772,52035,1515,62002,2119,40718,3431,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40735,643,39000,1672,37489,1315,51641,2419,48831,3041,41587,1806,43252,3618,61813,3392,32438,6181,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,50652,188,49374,645,48395,661,62113,2112,52325,746,60310,1013,58700,2150,61903,762,37050,1843,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,44212,617,43515,754,42899,762,59664,7080,46687,962,44380,1424,45016,2765,61006,1389,32938,3467,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,45510,365,43262,851,42499,719,55528,5289,47302,1404,50317,784,56658,1534,57441,3263,33141,3435,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,43842,804,43394,1167,42547,960,60120,8784,44790,1677,44819,1427,44229,1608,55652,4184,35707,2059,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41462,300,41118,362,40825,373,59270,5763,42405,2035,42341,1237,41701,1189,57096,2765,34221,3840,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41750,386,41295,489,40822,493,60263,4811,45711,2152,41354,871,44416,2076,58850,3664,35267,5046,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,44508,1199,42721,1531,42224,589,54507,4837,50171,2269,45910,2228,47651,3732,60908,2170,35755,2518,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,57305,639,51412,326,51097,352,66648,5905,61499,864,60123,2159,56386,1903,96237,1722,37977,3500,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
