GEO_ID,C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,NAME,C17019_001EA,C17019_001MA,C17019_002EA,C17019_002MA,C17019_003EA,C17019_003MA,C17019_004MA,C17019_004EA,C17019_005EA,C17019_005MA,C17019_006EA,C17019_006MA,C17019_007EA,C17019_007MA,state
0400000US01,1203689,13513,154370,6386,59908,3665,94462,5455,1049319,13531,839578,11668,209741,7766,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5609,898,6779,1282,155013,3917,111621,3316,43392,2764,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,68630,4273,107432,5405,1476263,14537,1106979,11351,369284,10038,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31495,2908,56395,3785,666809,11484,510698,10661,156111,7126,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,223156,7129,634911,14457,8052550,26039,5173252,25122,2879298,25533,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,34841,2959,57119,4134,1274847,10110,979016,10143,295831,7773,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,13429,1731,42327,4054,821537,8644,642422,7043,179115,6604,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,10330,1746,11335,2020,214130,5465,172844,5527,41286,3561,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2192,652,13737,1647,103428,3668,62365,3026,41063,3017,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,190366,7781,308663,9645,4444477,28838,3263171,24869,1181306,18969,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525783,17938,279748,11291,97182,5174,182566,8698,2246035,17534,1656323,18390,589712,15997,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,320336,5022,23547,2448,7156,1267,16391,2364,296789,5140,196066,3934,100723,3998,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,419774,7037,36225,3347,14926,2223,21299,2515,383549,7091,305048,7113,78501,4505,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3083543,17333,277866,10016,90746,5164,187120,7713,2805677,18153,2212222,17541,593455,10513,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1660102,12057,153371,6313,57708,4239,95663,4106,1506731,12719,1222191,12727,284540,8302,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,794614,8064,53223,3390,20188,1941,33035,3044,741391,7660,625507,6925,115884,4592,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,733649,7787,58235,3251,21322,1942,36913,2826,675414,7801,532976,7292,142438,5943,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1129828,12032,145997,5304,55235,3420,90762,4464,983831,12470,780493,11051,203338,7050,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
