GEO_ID,B21001H_001E,B21001H_001M,B21001H_002E,B21001H_002M,B21001H_003E,B21001H_003M,B21001H_004E,B21001H_004M,B21001H_005E,B21001H_005M,B21001H_006E,B21001H_006M,B21001H_007E,B21001H_007M,B21001H_008E,B21001H_008M,B21001H_009E,B21001H_009M,B21001H_010E,B21001H_010M,B21001H_011E,B21001H_011M,B21001H_012E,B21001H_012M,B21001H_013E,B21001H_013M,B21001H_014E,B21001H_014M,B21001H_015E,B21001H_015M,B21001H_016E,B21001H_016M,B21001H_017E,B21001H_017M,B21001H_018E,B21001H_018M,B21001H_019E,B21001H_019M,B21001H_020E,B21001H_020M,B21001H_021E,B21001H_021M,B21001H_022E,B21001H_022M,B21001H_023E,B21001H_023M,B21001H_024E,B21001H_024M,B21001H_025E,B21001H_025M,B21001H_026E,B21001H_026M,B21001H_027E,B21001H_027M,B21001H_028E,B21001H_028M,B21001H_029E,B21001H_029M,B21001H_030E,B21001H_030M,B21001H_031E,B21001H_031M,B21001H_032E,B21001H_032M,B21001H_033E,B21001H_033M,NAME,B21001H_001MA,B21001H_001EA,B21001H_002EA,B21001H_002MA,B21001H_003EA,B21001H_003MA,B21001H_004EA,B21001H_004MA,B21001H_005EA,B21001H_005MA,B21001H_006EA,B21001H_006MA,B21001H_007MA,B21001H_007EA,B21001H_008EA,B21001H_008MA,B21001H_009MA,B21001H_009EA,B21001H_010EA,B21001H_010MA,B21001H_011MA,B21001H_011EA,B21001H_012MA,B21001H_012EA,B21001H_013EA,B21001H_013MA,B21001H_014MA,B21001H_014EA,B21001H_015EA,B21001H_015MA,B21001H_016MA,B21001H_016EA,B21001H_017MA,B21001H_017EA,B21001H_018MA,B21001H_018EA,B21001H_019EA,B21001H_019MA,B21001H_020MA,B21001H_020EA,B21001H_021MA,B21001H_021EA,B21001H_022MA,B21001H_022EA,B21001H_023MA,B21001H_023EA,B21001H_024EA,B21001H_024MA,B21001H_025MA,B21001H_025EA,B21001H_026EA,B21001H_026MA,B21001H_027MA,B21001H_027EA,B21001H_028EA,B21001H_028MA,B21001H_029EA,B21001H_029MA,B21001H_030MA,B21001H_030EA,B21001H_031MA,B21001H_031EA,B21001H_032EA,B21001H_032MA,B21001H_033EA,B21001H_033MA,state
0400000US01,2549064,2869,1227622,1917,326648,1359,14717,2253,311931,2461,401493,1424,50382,3706,351111,3750,223496,295,39778,2443,183718,2476,170752,620,66308,3282,104444,3275,105233,452,53371,2586,51862,2510,1321442,1515,329764,1312,1764,824,328000,1527,407085,1486,7278,1324,399807,1961,236931,166,4380,1133,232551,1168,193088,456,2322,627,190766,805,154574,283,2506,903,152068,916,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,347766,1472,182345,1330,52523,1135,5066,1228,47457,1640,61819,695,12633,1594,49186,1832,36388,328,9316,1125,27072,1127,22448,257,11635,1159,10813,1174,9167,213,4881,531,4286,515,165421,581,47938,443,1504,755,46434,704,55106,454,2065,731,53041,834,32525,140,1092,365,31433,399,19628,229,691,387,18937,403,10224,162,161,176,10063,242,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3189085,3528,1562567,1877,373853,1761,21747,2406,352106,2746,460628,1237,61671,3896,398957,3979,279289,272,52202,3152,227087,3176,260777,458,106018,3087,154759,3130,188020,409,103501,3613,84519,3665,1626518,2220,352428,1434,4155,1093,348273,1736,455428,1405,9832,1700,445596,2169,305691,386,9938,2080,295753,2080,289780,439,4702,1045,285078,1136,223191,377,4367,872,218824,948,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1725000,1601,835586,1094,227161,1425,12886,1775,214275,2245,270526,1432,34174,3140,236352,3543,146111,628,27739,1954,118372,1910,114912,679,45482,2286,69430,2463,76876,559,42099,1954,34777,2015,889414,882,224642,921,1806,805,222836,1131,272052,1208,2819,749,269233,1450,155893,121,2317,727,153576,736,129783,495,1811,666,127972,781,107044,467,1037,480,106007,690,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12233398,7258,6059939,4885,1549522,4773,58449,4634,1491073,6351,1920089,2649,152110,6305,1767979,6857,1161471,1039,137366,5384,1024105,5365,856243,949,274755,6085,581488,6050,572614,569,297521,5802,275093,5793,6173459,5012,1456486,4441,9977,1815,1446509,4871,1828578,1634,22550,2448,1806028,2765,1173250,1205,17399,1951,1155851,2439,934820,973,9107,1469,925713,1780,780325,855,9882,1551,770443,1743,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3087663,3400,1531723,2696,449336,1787,24981,2448,424355,2854,511890,2233,65461,3550,446429,4020,274107,236,46533,2739,227574,2774,192125,479,74704,2332,117421,2379,104265,538,60224,2187,44041,2122,1555940,1418,422271,1314,4567,1111,417704,1941,499705,1321,11760,1783,487945,2390,286435,323,7971,1196,278464,1195,206237,867,3380,781,202857,1097,141292,824,2734,796,138558,1066,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1979090,2443,951700,1458,235086,1069,7336,1493,227750,1570,298267,1019,19088,2088,279179,2248,196247,477,16758,2132,179489,2140,131575,134,41318,2302,90257,2296,90525,121,50065,2281,40460,2275,1027390,1306,226606,845,1125,477,225481,1025,310084,773,2191,719,307893,1064,205786,311,1757,590,204029,641,147671,122,978,406,146693,424,137243,79,1447,680,135796,686,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,494809,1002,235826,779,58751,541,2201,909,56550,1025,68899,377,7585,1441,61314,1440,45554,198,5261,877,40293,877,38421,271,14654,1414,23767,1365,24201,198,11860,999,12341,999,258983,492,59029,259,453,354,58576,455,73089,268,1126,597,71963,625,51027,198,609,279,50418,279,43623,177,306,184,43317,255,32215,268,406,303,31809,390,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224396,829,111329,516,50152,472,1337,634,48815,676,36877,213,3072,895,33805,894,10709,60,620,290,10089,282,8237,208,1331,427,6906,427,5354,208,2894,653,2460,653,113067,552,57593,461,228,202,57365,529,31291,228,628,359,30663,429,9314,208,146,172,9168,172,8741,125,238,264,8503,295,6128,208,233,227,5895,227,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9506306,7165,4612038,4963,1023878,3494,51467,4465,972411,5707,1303758,1948,165090,6424,1138668,6400,851338,696,154999,6231,696339,6187,801231,893,312685,7404,488546,7287,631833,922,353208,6533,278625,6619,4894268,3749,995667,2418,9853,1866,985814,3340,1308366,1649,29889,2952,1278477,3396,923688,1025,25290,2432,898398,2493,892855,1001,13737,2150,879118,2297,773692,401,13478,1700,760214,1756,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
