GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001EA,B21001A_001MA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004EA,B21001A_004MA,B21001A_005EA,B21001A_005MA,B21001A_006EA,B21001A_006MA,B21001A_007EA,B21001A_007MA,B21001A_008MA,B21001A_008EA,B21001A_009EA,B21001A_009MA,B21001A_010MA,B21001A_010EA,B21001A_011EA,B21001A_011MA,B21001A_012EA,B21001A_012MA,B21001A_013MA,B21001A_013EA,B21001A_014MA,B21001A_014EA,B21001A_015MA,B21001A_015EA,B21001A_016MA,B21001A_016EA,B21001A_017EA,B21001A_017MA,B21001A_018EA,B21001A_018MA,B21001A_019MA,B21001A_019EA,B21001A_020EA,B21001A_020MA,B21001A_021MA,B21001A_021EA,B21001A_022EA,B21001A_022MA,B21001A_023EA,B21001A_023MA,B21001A_024MA,B21001A_024EA,B21001A_025MA,B21001A_025EA,B21001A_026MA,B21001A_026EA,B21001A_027EA,B21001A_027MA,B21001A_028EA,B21001A_028MA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032EA,B21001A_032MA,B21001A_033EA,B21001A_033MA,state
0400000US01,2624062,5337,1267049,3658,345066,2660,16438,2413,328628,3446,415747,2423,51596,3780,364151,4479,227117,829,40658,2587,186459,2695,173264,1158,66841,3351,106423,3429,105855,587,53593,2593,52262,2556,1357013,3113,347326,2322,2400,1036,344926,2316,418267,2222,7322,1324,410945,2357,240590,952,4553,1187,236037,1461,194603,754,2572,646,192031,943,156227,799,2521,902,153706,1199,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,364032,2186,189878,1722,56153,1489,5910,1291,50243,1720,64736,879,12865,1555,51871,1970,36924,490,9386,1142,27538,1175,22870,382,11772,1204,11098,1215,9195,213,4881,531,4314,515,174154,1230,51794,1028,1504,755,50290,1102,58957,1066,2294,773,56663,1199,33070,280,1092,365,31978,464,19927,277,691,387,19236,438,10406,215,161,176,10245,278,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4266138,15781,2096043,8621,601885,6256,28677,2562,573208,6684,654419,4408,75457,4646,578962,5889,339364,1947,57949,3433,281415,3851,294461,1439,114336,3216,180125,3263,205914,1075,109778,3510,96136,3628,2170095,8917,565600,6236,4906,1115,560694,6169,653972,4333,11955,1968,642017,5022,371843,1903,10860,2099,360983,2628,329860,1580,5002,1079,324858,2039,248820,1473,4576,943,244244,1742,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1799980,4305,874204,2660,246727,2421,14203,2004,232524,2911,285021,1990,34738,3225,250283,3749,148654,904,28293,2038,120361,2116,116657,1042,45670,2301,70987,2562,77145,564,42137,1945,35008,2012,925776,2751,241433,2037,2103,945,239330,1973,285126,1841,2819,749,282307,1934,159453,827,2473,762,156980,1074,132093,836,1886,680,130207,1045,107671,578,1037,480,106634,777,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18178318,46219,8990338,26546,2731644,15061,86606,5159,2645038,16462,3025759,14688,193354,6974,2832405,16450,1509584,5954,160989,5771,1348595,7452,1038950,4910,311114,6519,727836,7546,684401,3591,322744,6073,361657,6302,9187980,26502,2595485,15168,16185,2276,2579300,15160,2930397,12473,28389,2723,2902008,13155,1558035,7021,20132,2067,1537903,7606,1156368,5686,9857,1488,1146511,5950,947695,3701,10559,1567,937136,4397,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3686465,9701,1833427,5765,578016,4195,28929,2745,549087,5025,626603,4294,72446,3816,554157,5607,306088,1625,50627,2873,255461,3631,209447,1249,80203,2536,129244,2663,113273,1347,63699,2218,49574,2130,1853038,5384,542121,3375,5283,1310,536838,3747,610154,2727,13344,1975,596810,3481,318797,1507,8289,1250,310508,2048,226727,1493,3498,787,223229,1707,155239,1375,2929,786,152310,1414,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2211292,8496,1063343,5282,279432,3413,9036,1657,270396,3753,342644,2995,21129,2256,321515,3460,209611,1543,17584,2148,192027,2586,137968,1060,41817,2289,96151,2575,93688,714,51185,2344,42503,2371,1147949,5164,270534,3055,1637,546,268897,3101,356900,2789,2444,722,354456,2989,221266,1533,2179,583,219087,1544,156577,1059,978,406,155599,1148,142672,883,1509,677,141163,973,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,535707,2940,256784,1978,67014,1375,2539,992,64475,1699,78159,1319,7765,1452,70394,1973,47458,723,5494,904,41964,1124,39591,468,15025,1473,24566,1428,24562,338,11991,1026,12571,1050,278923,1558,67665,1021,453,354,67212,1053,81045,857,1170,594,79875,1034,52687,528,638,289,52049,622,44748,407,306,184,44442,447,32778,303,406,303,32372,415,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247905,3220,121920,2045,54706,1337,1622,725,53084,1273,41336,1309,3464,1000,37872,1515,11485,341,620,290,10865,456,8703,271,1450,455,7253,455,5690,276,2894,653,2796,717,125985,1633,64262,1005,309,219,63953,1030,35429,786,770,357,34659,819,10204,441,146,172,10058,461,9395,430,238,264,9157,548,6695,325,233,227,6462,401,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12927767,24913,6261435,13893,1566440,8931,64696,5114,1501744,10715,1949242,7582,192968,6141,1756274,9140,1075336,3240,173313,6686,902023,6904,938240,2709,331278,8038,606962,8292,732177,2765,364865,6645,367312,6779,6666332,14565,1514221,7689,13055,2089,1501166,7823,1969644,6554,33968,3152,1935676,7264,1180355,3992,27940,2696,1152415,4588,1066782,4421,14143,2179,1052639,4694,935330,2781,13916,1652,921414,3606,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
