GEO_ID,B25118_001E,B25118_001M,B25118_002E,B25118_002M,B25118_003E,B25118_003M,B25118_004E,B25118_004M,B25118_005E,B25118_005M,B25118_006E,B25118_006M,B25118_007E,B25118_007M,B25118_008E,B25118_008M,B25118_009E,B25118_009M,B25118_010E,B25118_010M,B25118_011E,B25118_011M,B25118_012E,B25118_012M,B25118_013E,B25118_013M,B25118_014E,B25118_014M,B25118_015E,B25118_015M,B25118_016E,B25118_016M,B25118_017E,B25118_017M,B25118_018E,B25118_018M,B25118_019E,B25118_019M,B25118_020E,B25118_020M,B25118_021E,B25118_021M,B25118_022E,B25118_022M,B25118_023E,B25118_023M,B25118_024E,B25118_024M,B25118_025E,B25118_025M,NAME,B25118_001MA,B25118_001EA,B25118_002MA,B25118_002EA,B25118_003MA,B25118_003EA,B25118_004MA,B25118_004EA,B25118_005MA,B25118_005EA,B25118_006MA,B25118_006EA,B25118_007MA,B25118_007EA,B25118_008EA,B25118_008MA,B25118_009MA,B25118_009EA,B25118_010MA,B25118_010EA,B25118_011MA,B25118_011EA,B25118_012MA,B25118_012EA,B25118_013EA,B25118_013MA,B25118_014MA,B25118_014EA,B25118_015MA,B25118_015EA,B25118_016EA,B25118_016MA,B25118_017MA,B25118_017EA,B25118_018EA,B25118_018MA,B25118_019EA,B25118_019MA,B25118_020MA,B25118_020EA,B25118_021EA,B25118_021MA,B25118_022EA,B25118_022MA,B25118_023EA,B25118_023MA,B25118_024EA,B25118_024MA,B25118_025MA,B25118_025EA,state
0400000US01,1841665,12421,1253199,12678,28539,2714,30169,2687,55682,3466,58079,4458,60186,3602,117647,5124,165380,6245,245908,7356,169405,6922,195585,6516,126619,4419,588466,10414,44934,3494,55344,4408,63687,4350,56018,4311,50227,4133,75640,4861,84611,5652,79275,4233,37753,3401,29346,3364,11631,1703,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,159344,3559,3125,717,1934,507,2875,596,3502,792,3571,653,9332,1442,13940,1817,26798,2595,23090,1934,37017,2722,34160,2536,91397,3639,2713,764,3243,1085,4551,966,3674,943,5941,1286,10401,1522,12642,1710,19786,2132,10768,1543,12391,1461,5287,973,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,1652321,12356,42588,3496,29694,2602,47835,3374,57006,3809,65939,4157,130592,5507,204168,6571,309843,8908,238403,6510,288835,7064,237418,6755,900651,12842,53202,4555,46380,3239,60772,4061,58406,3966,65245,4484,113025,5217,153996,5946,167126,6808,84942,4558,65837,4352,31720,2741,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,752399,11287,17937,2140,18029,2263,33886,2715,33629,2675,37698,3101,74588,4135,109380,5270,150827,6145,101457,4566,102255,4073,72713,3925,400683,9039,24167,2760,34101,2928,42181,3323,33538,2853,36749,3406,61494,4243,61603,4910,59118,4415,24739,3190,15876,2290,7117,1388,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,7125090,26839,130411,5838,81424,4642,158477,6079,162568,6360,203177,7177,390158,9118,613819,11860,1031796,15074,931932,16211,1440378,16463,1980950,18966,5880007,28546,250730,9676,196622,7344,401783,9406,320001,8402,342624,9261,598610,13339,802126,13612,1043714,14644,670720,14345,695520,15824,557557,9863,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,1394824,10847,25999,2433,18100,2083,29075,2439,30195,2550,34805,2506,81090,4170,141493,5742,235186,7162,207171,6186,295816,5832,295894,6348,744383,11664,33217,2822,32818,3217,42786,2887,40153,3813,43990,4352,85921,5328,126377,5630,148168,6363,83359,5182,72329,4296,35265,2775,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,898234,7622,12422,1658,6018,1133,14081,1994,16368,1725,21141,2164,43689,2935,78407,4109,139866,5135,125760,4748,195823,5699,244659,5855,458528,7656,22807,2356,25354,3186,35294,3907,28658,2665,30584,2751,56974,4161,72697,3826,79575,4584,45123,3613,34185,3065,27277,2763,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,253948,5292,7887,1688,3940,1153,7326,1528,7287,1558,6983,1019,18343,2107,27541,2658,46401,3055,36171,3088,45073,3061,46996,3162,103989,4386,9442,1626,4419,1008,7787,1493,5132,1126,8224,1880,14844,2204,13914,2076,17629,2764,12053,1917,7242,1375,3303,879,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,118805,3235,2143,705,1023,499,2179,585,1725,663,2795,851,3730,830,5209,1058,13468,1719,12719,1636,22946,2346,50868,2477,162670,3861,14141,2093,8647,1714,10660,1723,7662,1384,6995,1254,12466,1839,14677,1979,22853,2484,18560,2164,23362,2197,22647,2112,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,5010187,26720,134744,6140,94409,5194,183587,7010,208171,7080,222505,7496,443907,11517,668011,13435,924490,12815,679061,15088,763637,14360,687665,12067,2679777,21534,155804,7668,145771,6160,177100,7260,183949,8132,198429,9284,356744,11112,453783,12129,491630,11831,245910,10649,176256,8325,94401,4909,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
