GEO_ID,B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,NAME,B20017H_001MA,B20017H_001EA,B20017H_002MA,B20017H_002EA,B20017H_003MA,B20017H_003EA,B20017H_004EA,B20017H_004MA,B20017H_005EA,B20017H_005MA,B20017H_006MA,B20017H_006EA,B20017H_007EA,B20017H_007MA,state
0400000US01,34965,827,41924,477,51763,385,10937,408,26892,549,39137,1043,9590,458,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45244,1410,52064,1703,65565,2150,21934,1589,36225,1125,51648,1590,15604,2207,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38204,636,43659,1546,56957,845,11965,316,32644,745,45835,654,12013,348,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31683,395,37224,716,47557,1308,11311,509,26551,521,36371,547,10295,367,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,48669,531,56991,513,75898,579,16804,310,40088,283,60824,283,15784,273,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41041,289,49712,1051,61714,467,13103,899,34458,935,49721,899,12384,304,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48100,935,56136,864,71623,744,14089,1103,39033,1467,58115,1836,14722,754,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40605,898,46966,1604,59254,2825,10348,887,33945,3354,50427,1187,11773,703,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,74403,3057,80871,1818,100439,4156,15498,6357,67784,3922,83227,4520,15224,4143,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,35243,243,40448,266,51136,304,12509,440,30431,261,41747,238,12187,213,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,37566,616,45271,553,54736,1037,11645,309,30846,349,43064,940,11160,250,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,43209,2461,49606,2870,60449,1873,19693,3257,36583,1413,50627,1910,16931,2224,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29227,1167,36431,855,49859,1537,10845,741,21392,546,35812,777,9818,708,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41069,192,50966,278,62485,867,12491,457,31998,202,47280,454,11777,214,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34258,532,41835,349,51774,315,10638,309,27172,347,38572,505,10667,210,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,35342,303,41747,305,51170,283,10235,410,28581,660,40423,401,10125,319,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,35318,389,41613,431,52237,526,9929,611,28536,846,40482,494,10321,400,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,31443,225,38088,783,48164,981,11134,357,25927,397,36900,477,10196,292,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,36863,598,47437,1183,56843,1146,12744,1098,28655,913,40330,546,10361,412,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,32002,499,37001,992,50097,1117,11592,489,28577,999,40749,475,11811,575,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,50368,273,59564,1806,72417,1568,12792,908,40988,494,58830,1348,13193,703,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,47111,393,55100,826,71928,552,13496,894,40031,639,59251,1377,13957,649,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,33734,444,41698,260,53993,825,11539,189,26780,281,41532,260,11009,150,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,40640,207,47366,525,60197,349,12211,261,33560,653,47158,400,12953,486,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33751,1074,40530,738,49925,1258,10981,647,27753,1129,36891,664,10210,495,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,32481,424,39497,866,50189,341,11203,264,27728,699,38970,835,10496,239,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,30296,407,35519,985,48027,1945,12586,963,25000,854,36612,859,10934,561,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,36010,473,42717,1333,51967,428,10578,539,29458,880,40737,526,10686,317,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,39477,1105,45405,1512,56112,1398,15737,1053,33391,1230,45129,1586,14145,919,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,39164,1161,46976,946,59081,2745,11919,665,31966,604,46542,1161,12726,1274,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,50544,254,60775,402,76461,629,14157,849,40207,475,58355,1180,14389,614,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,34849,1155,41723,1018,56288,1874,11895,877,28617,2071,43728,2549,10919,670,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,43800,602,51366,240,65987,497,13859,488,36995,297,52840,754,13433,363,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,35871,280,41328,303,51538,353,11913,283,30574,351,41883,301,11040,222,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,37452,760,45376,1034,52361,1096,14102,1969,31243,555,41426,715,12079,772,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,34715,411,41839,205,52019,186,11248,190,27767,460,40981,263,10644,167,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,32943,671,40919,363,50985,373,11279,409,26855,538,36897,362,10482,301,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,35192,430,41201,483,54375,1643,13835,1130,29193,826,43083,1056,12449,492,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,36836,222,44287,775,55228,409,11347,239,30522,182,43357,628,10915,166,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,41295,871,50033,2111,61336,1289,12442,1806,35415,1411,51106,740,12271,836,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,34081,892,41264,569,51363,380,11123,430,28187,996,40376,454,10364,410,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,32386,731,40053,1011,48325,1606,9902,833,27737,768,36435,890,10379,740,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,32341,239,38696,865,48634,905,11390,275,27366,403,38236,720,10634,268,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,42307,224,51459,291,63176,1170,12252,296,34668,835,48224,641,11102,192,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,32153,292,44414,1324,58480,2194,10643,389,22757,816,40119,736,10039,342,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,31965,672,36291,1095,49794,1698,10384,883,28077,1671,42375,1225,11350,575,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,41927,308,50973,329,63386,1499,11516,346,34198,889,49042,677,11011,223,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,41761,283,51094,366,65259,996,15581,586,33330,966,50648,462,13538,495,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,30035,897,36153,925,48825,1692,10710,562,24703,1010,35226,995,10134,384,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,36667,303,43282,867,52705,889,11053,276,30430,269,41956,279,11266,234,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,34879,1524,42718,2462,53316,3074,14633,1866,27646,1532,40960,1442,10337,1032,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,25000,5901,19620,5804,25264,15873,9619,10008,30546,20311,34375,24606,14172,23427,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
