GEO_ID,C18105_001E,C18105_001M,C18105_002E,C18105_002M,C18105_003E,C18105_003M,C18105_004E,C18105_004M,C18105_005E,C18105_005M,C18105_006E,C18105_006M,C18105_007E,C18105_007M,C18105_008E,C18105_008M,C18105_009E,C18105_009M,C18105_010E,C18105_010M,C18105_011E,C18105_011M,C18105_012E,C18105_012M,C18105_013E,C18105_013M,C18105_014E,C18105_014M,C18105_015E,C18105_015M,C18105_016E,C18105_016M,C18105_017E,C18105_017M,C18105_018E,C18105_018M,C18105_019E,C18105_019M,C18105_020E,C18105_020M,C18105_021E,C18105_021M,NAME,C18105_001EA,C18105_001MA,C18105_002EA,C18105_002MA,C18105_003EA,C18105_003MA,C18105_004MA,C18105_004EA,C18105_005MA,C18105_005EA,C18105_006EA,C18105_006MA,C18105_007EA,C18105_007MA,C18105_008EA,C18105_008MA,C18105_009MA,C18105_009EA,C18105_010MA,C18105_010EA,C18105_011EA,C18105_011MA,C18105_012EA,C18105_012MA,C18105_013EA,C18105_013MA,C18105_014MA,C18105_014EA,C18105_015MA,C18105_015EA,C18105_016EA,C18105_016MA,C18105_017EA,C18105_017MA,C18105_018EA,C18105_018MA,C18105_019MA,C18105_019EA,C18105_020MA,C18105_020EA,C18105_021MA,C18105_021EA,state
0400000US23,1257259,1212,613744,1964,97325,1512,792,409,96533,1541,397120,1517,23501,2166,373619,2441,119299,1188,21374,2215,97925,2369,643515,1805,91811,1115,502,242,91309,1180,411111,1299,25473,2595,385638,3095,140593,896,31922,2147,108671,2364,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5594567,2575,2681550,4365,502811,2835,2122,736,500689,2885,1797383,3187,66365,4037,1731018,4890,381356,1675,63057,3093,318299,3204,2913017,3291,478871,2186,2095,728,476776,2295,1937048,2199,90410,4767,1846638,5045,497098,1761,114481,4327,382617,4409,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6425286,1536,3102712,2952,514305,1885,2829,989,511476,2292,2121391,2063,72051,4771,2049340,4989,467016,1694,77936,3967,389080,4118,3322574,2763,492584,1657,2196,998,490388,1884,2225588,1763,87729,4946,2137859,5508,604402,1885,132904,5025,471498,4675,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9280786,2238,4538507,3675,819030,3177,5306,1250,813724,3485,2988842,2617,160533,6378,2828309,7016,730635,2007,133867,4467,596768,4773,4742279,3720,780914,2454,5719,1230,775195,2667,3065396,2504,199664,6855,2865732,7062,895969,2200,216327,4693,679642,5079,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5165339,2104,2564644,3862,480639,2907,2289,656,478350,2758,1706216,2632,54937,3442,1651279,4416,377789,1679,57200,3033,320589,3381,2600695,3246,461028,2087,2365,788,458663,2104,1688310,2410,62775,3798,1625535,4849,451357,1784,86854,3617,364503,3774,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2738341,2853,1305441,5478,272172,4227,989,484,271183,4183,837725,3450,70841,5771,766884,6998,195544,2168,48848,2671,146696,3148,1432900,4633,256841,3557,1285,597,255556,3460,920116,2992,73296,4164,846820,4634,255943,1882,81718,4175,174225,4563,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5626419,2886,2732774,4991,515475,4087,2926,990,512549,4287,1785117,4044,101939,5044,1683178,6312,432182,2221,89619,4047,342563,4774,2893645,4544,492547,3822,4297,1244,488250,3899,1859245,3715,126764,6068,1732481,6342,541853,2520,140608,4896,401245,5152,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,974840,1295,485272,2367,84162,1520,665,381,83497,1546,311654,1807,14976,1538,296678,2373,89456,1122,15230,1564,74226,1787,489568,2047,83261,1534,374,244,82887,1553,310784,1659,14102,1714,296682,2336,95523,1008,19220,1881,76303,2132,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1759809,1253,874965,2608,175219,1891,680,353,174539,1917,570444,1779,20821,1993,549623,2723,129302,1086,23784,1809,105518,1889,884844,2466,166521,1811,1157,497,165364,1953,565328,1764,28040,2321,537288,3032,152995,1240,32375,2259,120620,2383,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2778181,1667,1383697,2553,256913,1463,1093,535,255820,1415,911326,2132,38460,3413,872866,4110,215458,1238,40354,2577,175104,2855,1394484,2468,242166,1418,499,404,241667,1428,913292,1846,49684,3767,863608,4122,239026,989,54371,2703,184655,2895,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
