GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003MA,B17020A_003EA,B17020A_004MA,B17020A_004EA,B17020A_005MA,B17020A_005EA,B17020A_006EA,B17020A_006MA,B17020A_007EA,B17020A_007MA,B17020A_008EA,B17020A_008MA,B17020A_009MA,B17020A_009EA,B17020A_010MA,B17020A_010EA,B17020A_011MA,B17020A_011EA,B17020A_012EA,B17020A_012MA,B17020A_013EA,B17020A_013MA,B17020A_014MA,B17020A_014EA,B17020A_015MA,B17020A_015EA,B17020A_016MA,B17020A_016EA,B17020A_017EA,B17020A_017MA,state
0400000US01,3245945,7170,397399,16158,36710,3387,35790,4112,35760,4399,220417,9642,48001,3831,14838,1727,5883,1064,2848546,16885,171069,5023,191308,5314,200301,6308,1512741,11155,542925,6631,175165,3650,55037,3271,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465528,3684,35573,3896,3194,1098,3058,970,2458,884,20218,2526,4996,1163,1183,576,466,316,429955,5585,30552,1880,28879,1818,29514,1957,252078,4121,71669,2093,13382,947,3881,698,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5339610,25482,686351,22910,69064,5928,76075,5813,63909,5457,352264,11991,86728,5140,25513,2665,12798,1820,4653259,30169,285260,7139,314163,7568,336234,7694,2425505,19620,881353,8574,308255,5509,102489,4681,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2232138,7403,303436,15203,27433,3183,31377,4035,27154,3552,164919,7972,35191,3043,10725,1525,6637,1304,1928702,14980,126170,4071,133330,4816,136732,4852,1012684,9657,363991,5658,121918,3221,33877,3046,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22769478,69014,2763309,49918,274029,12115,292223,11420,264163,9853,1466796,27623,311545,8879,97854,5114,56699,4329,20006169,82036,1278626,16813,1347024,18999,1386744,18771,11232888,49836,3329672,19359,986549,10560,444666,9154,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4621959,13500,441148,17927,37838,4492,37204,4470,32646,4424,260203,10730,52979,3861,12654,1382,7624,1489,4180811,20520,275927,5497,294376,7255,312205,7648,2381446,14734,678859,6594,173851,3548,64147,2941,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2648178,12509,194971,11363,13678,2640,15784,2974,15698,2516,104615,6210,29085,3137,10063,1754,6048,1275,2453207,14736,126859,4061,147231,4910,179146,5100,1328672,11140,468193,6119,134588,3787,68518,3566,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,647602,4029,69028,6550,6406,1705,5198,1294,4887,1364,38037,3592,11188,1848,2701,890,611,385,578574,6942,31027,2197,35825,2770,37725,2605,299137,4214,123038,3131,37653,1745,14169,1626,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,267497,4940,17735,2427,393,363,283,330,477,359,14635,2042,1528,632,207,279,212,262,249762,4901,17435,1567,9361,1031,6143,936,177416,3148,27737,1410,9156,898,2514,764,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15502579,35080,1890554,44301,155712,9150,159944,10799,149486,10106,973424,23328,291283,11173,107747,6400,52958,4237,13612025,49169,721525,11654,760134,13517,813489,13765,7066677,31715,2785044,15648,1046175,13007,418981,9885,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
