GEO_ID,C17010C_001E,C17010C_001M,C17010C_002E,C17010C_002M,C17010C_003E,C17010C_003M,C17010C_004E,C17010C_004M,C17010C_005E,C17010C_005M,C17010C_006E,C17010C_006M,C17010C_007E,C17010C_007M,C17010C_008E,C17010C_008M,C17010C_009E,C17010C_009M,C17010C_010E,C17010C_010M,C17010C_011E,C17010C_011M,C17010C_012E,C17010C_012M,C17010C_013E,C17010C_013M,C17010C_014E,C17010C_014M,C17010C_015E,C17010C_015M,C17010C_016E,C17010C_016M,C17010C_017E,C17010C_017M,NAME,C17010C_001MA,C17010C_001EA,C17010C_002MA,C17010C_002EA,C17010C_003MA,C17010C_003EA,C17010C_004EA,C17010C_004MA,C17010C_005MA,C17010C_005EA,C17010C_006MA,C17010C_006EA,C17010C_007MA,C17010C_007EA,C17010C_008MA,C17010C_008EA,C17010C_009MA,C17010C_009EA,C17010C_010MA,C17010C_010EA,C17010C_011EA,C17010C_011MA,C17010C_012EA,C17010C_012MA,C17010C_013MA,C17010C_013EA,C17010C_014MA,C17010C_014EA,C17010C_015MA,C17010C_015EA,C17010C_016EA,C17010C_016MA,C17010C_017EA,C17010C_017MA,state
0400000US01,6713,1166,921,423,539,332,18,37,382,300,48,72,10,19,334,288,267,262,5792,1059,4833,972,2083,684,959,421,231,284,0,200,728,309,154,99,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21143,1514,4712,670,1337,393,1141,356,3375,614,1023,238,876,240,2352,581,1946,550,16431,1310,8161,1058,4666,856,8270,963,2635,517,1485,427,5635,875,3515,636,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,58977,3113,17831,1946,4872,944,3514,859,12959,1683,3417,917,2329,771,9542,1439,7860,1437,41146,2853,19959,1933,9590,1446,21187,2047,5666,1336,2979,1016,15521,1569,9785,1459,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3836,847,1203,599,83,112,21,41,1120,588,0,201,0,201,1120,588,1059,583,2633,711,2373,693,885,408,260,139,113,107,68,84,147,103,77,73,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,71871,4050,11129,1667,4753,1059,3684,1010,6376,1354,980,480,830,440,5396,1394,4581,1343,60742,3552,38196,3092,15656,1838,22546,2461,7784,1207,3512,883,14762,1916,8049,1455,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,12072,1661,1691,672,806,569,493,416,885,420,130,167,41,79,755,386,686,369,10381,1444,7302,1326,3183,970,3079,944,734,375,579,341,2345,839,1521,684,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13142,1876,1764,607,679,401,92,110,1085,545,517,383,261,227,568,359,267,209,11378,1766,8655,1498,3033,890,2723,799,1354,582,1015,558,1369,541,924,499,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
