GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001MA,B24082_001EA,B24082_002MA,B24082_002EA,B24082_003EA,B24082_003MA,B24082_004MA,B24082_004EA,B24082_005EA,B24082_005MA,B24082_006MA,B24082_006EA,B24082_007MA,B24082_007EA,B24082_008EA,B24082_008MA,B24082_009EA,B24082_009MA,B24082_010EA,B24082_010MA,B24082_011EA,B24082_011MA,B24082_012MA,B24082_012EA,B24082_013MA,B24082_013EA,B24082_014EA,B24082_014MA,B24082_015MA,B24082_015EA,B24082_016EA,B24082_016MA,B24082_017MA,B24082_017EA,B24082_018MA,B24082_018EA,state
0400000US01,40547,451,39351,1123,37597,1048,62447,5765,45538,4672,41842,1474,47133,2303,73821,3797,31056,1007,26849,424,24666,833,24399,839,33453,4982,30125,1620,35451,2189,40683,1614,56992,4606,15653,1233,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50098,1749,46904,2384,45830,2556,66354,5203,50969,12263,56667,7671,58446,5022,66410,6460,33378,3499,35402,1003,29999,1445,29774,1593,35684,10354,40415,4328,41539,2622,51250,3030,49407,7174,23046,5882,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38552,758,37811,944,37011,524,55555,6703,40350,2690,44632,3257,41510,1338,60529,2767,26828,1420,30837,273,29438,605,29014,609,40323,3059,36902,1117,35616,1206,36770,1076,51181,2884,18754,2423,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36910,519,36527,630,35970,626,52240,4827,43328,5078,36937,2110,43158,3066,52415,9267,29622,2675,26969,480,25412,468,25273,484,30688,5582,31964,1365,28637,3152,36555,1317,49205,7563,14005,2306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,42362,133,41539,143,40865,145,70589,1501,46891,1373,61929,586,63018,2396,65342,1347,31249,363,32334,138,30993,149,30771,147,41968,1733,43995,1804,42263,643,46970,1374,56660,1637,20865,346,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46642,527,45840,619,44365,1305,61692,1088,48540,3481,51323,1100,51624,1454,70703,3013,35147,2709,34161,712,31544,381,31280,394,40105,3706,40307,1061,40755,1073,42916,1378,57769,5574,18785,2254,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51936,478,51681,528,51114,560,73535,5153,51084,4213,60620,2928,66210,2785,65111,3026,40526,2239,37044,560,34523,1027,34212,1041,44642,10066,45219,2326,50345,2345,60633,2258,60194,4104,22431,2147,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45431,2202,42520,3383,42046,1483,58345,12714,51230,7132,61238,4011,46670,6187,65899,11144,37977,6780,35580,1396,31986,774,32003,786,27484,15637,36313,6219,43496,3130,48748,3565,55000,17075,20974,3536,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63991,3183,57138,6329,55839,5658,102146,28235,61832,4161,52040,8349,65975,10669,97489,6121,41924,7432,55626,1469,43813,5492,42481,6355,46707,9540,57150,3428,65104,7450,60357,6406,86438,9824,42896,3320,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,36039,265,35307,313,33832,718,48614,2846,40834,1163,46468,954,42635,1795,62736,2644,24508,1568,28373,427,26729,232,26572,241,32336,1568,35613,736,37859,832,37802,1273,50942,1480,16579,633,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
