GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001MA,B10001_001EA,B10001_002EA,B10001_002MA,B10001_003MA,B10001_003EA,B10001_004EA,B10001_004MA,state
0400000US01,116711,7111,41897,3646,40553,3984,34261,3569,Alabama,null,null,null,null,null,null,null,null,01
0400000US02,13691,2288,5774,1342,4239,794,3678,1030,Alaska,null,null,null,null,null,null,null,null,02
0400000US04,165311,8920,72453,5406,54771,4359,38087,4162,Arizona,null,null,null,null,null,null,null,null,04
0400000US05,64294,5162,26825,2846,19009,2487,18460,2379,Arkansas,null,null,null,null,null,null,null,null,05
0400000US06,836834,19494,394371,14444,266396,10058,176067,7907,California,null,null,null,null,null,null,null,null,06
0400000US08,73564,5207,27376,2926,24249,2737,21939,2660,Colorado,null,null,null,null,null,null,null,null,08
0400000US09,46050,4311,18855,2638,15748,2457,11447,2234,Connecticut,null,null,null,null,null,null,null,null,09
0400000US10,20467,3450,6648,1786,8106,2185,5713,1709,Delaware,null,null,null,null,null,null,null,null,10
0400000US11,15617,3489,7267,1825,5110,2423,3240,1003,District of Columbia,null,null,null,null,null,null,null,null,11
0400000US12,378068,16923,161792,10895,129641,7460,86635,5785,Florida,null,null,null,null,null,null,null,null,12
0400000US13,218028,12177,86900,7244,74597,5572,56531,5043,Georgia,null,null,null,null,null,null,null,null,13
0400000US15,52038,4948,23077,2223,16276,2326,12685,2221,Hawaii,null,null,null,null,null,null,null,null,15
0400000US16,21462,3354,10132,2030,6691,1653,4639,1234,Idaho,null,null,null,null,null,null,null,null,16
0400000US17,207622,9957,93449,6102,64536,4895,49637,4375,Illinois,null,null,null,null,null,null,null,null,17
0400000US18,102676,7627,42685,3807,33641,3483,26350,3466,Indiana,null,null,null,null,null,null,null,null,18
0400000US19,28363,3208,11701,1921,9361,1762,7301,1351,Iowa,null,null,null,null,null,null,null,null,19
0400000US20,39100,3843,16218,1939,12875,1994,10007,1540,Kansas,null,null,null,null,null,null,null,null,20
0400000US21,104209,7883,41817,4354,35968,3473,26424,3357,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,122091,9138,48871,4249,35622,3561,37598,4870,Louisiana,null,null,null,null,null,null,null,null,22
0400000US23,15486,2536,5775,1284,5222,1144,4489,1276,Maine,null,null,null,null,null,null,null,null,23
0400000US24,122602,8188,53607,4709,39629,3843,29366,3609,Maryland,null,null,null,null,null,null,null,null,24
0400000US25,88154,6311,40076,4129,27764,2963,20314,2437,Massachusetts,null,null,null,null,null,null,null,null,25
0400000US26,145219,7259,63234,4293,48422,3992,33563,3051,Michigan,null,null,null,null,null,null,null,null,26
0400000US27,48680,4437,20842,2436,16490,2312,11348,1751,Minnesota,null,null,null,null,null,null,null,null,27
0400000US28,94495,7197,38548,4554,33154,3204,22793,3092,Mississippi,null,null,null,null,null,null,null,null,28
0400000US29,107422,7914,41315,4189,36380,3711,29727,3005,Missouri,null,null,null,null,null,null,null,null,29
0400000US30,16241,2360,5847,1185,5936,1304,4458,1003,Montana,null,null,null,null,null,null,null,null,30
0400000US31,21362,3049,9901,1446,5750,1530,5711,1180,Nebraska,null,null,null,null,null,null,null,null,31
0400000US32,53976,5587,24920,2959,17483,2747,11573,2086,Nevada,null,null,null,null,null,null,null,null,32
0400000US33,18670,3465,8210,1952,5799,1713,4661,1344,New Hampshire,null,null,null,null,null,null,null,null,33
0400000US34,136243,7991,64030,4723,42351,3930,29862,3529,New Jersey,null,null,null,null,null,null,null,null,34
0400000US35,55725,5344,20066,3122,19915,2722,15744,2203,New Mexico,null,null,null,null,null,null,null,null,35
0400000US36,325830,11624,148541,7869,103849,4852,73440,5068,New York,null,null,null,null,null,null,null,null,36
0400000US37,194218,9641,79462,5289,64938,5331,49818,4465,North Carolina,null,null,null,null,null,null,null,null,37
0400000US38,8287,1579,4214,1077,2591,764,1482,470,North Dakota,null,null,null,null,null,null,null,null,38
0400000US39,187070,7890,70378,5059,60845,4615,55847,4206,Ohio,null,null,null,null,null,null,null,null,39
0400000US40,79207,5762,29724,3292,25412,2440,24071,2564,Oklahoma,null,null,null,null,null,null,null,null,40
0400000US41,60261,5358,24588,2847,21448,2821,14225,2069,Oregon,null,null,null,null,null,null,null,null,41
0400000US42,185005,9607,78662,4780,59365,4718,46978,4273,Pennsylvania,null,null,null,null,null,null,null,null,42
0400000US44,12771,2567,6648,1703,2980,1084,3143,1173,Rhode Island,null,null,null,null,null,null,null,null,44
0400000US45,108739,7232,45868,3965,37015,4668,25856,3418,South Carolina,null,null,null,null,null,null,null,null,45
0400000US46,14602,2472,6491,1405,4762,1330,3349,667,South Dakota,null,null,null,null,null,null,null,null,46
0400000US47,150416,9815,55133,4644,53841,5636,41442,4209,Tennessee,null,null,null,null,null,null,null,null,47
0400000US48,663152,18985,303174,11380,211685,10828,148293,8525,Texas,null,null,null,null,null,null,null,null,48
0400000US49,53944,5521,24204,2900,17594,2680,12146,1969,Utah,null,null,null,null,null,null,null,null,49
0400000US50,7053,1593,2722,773,2739,851,1592,740,Vermont,null,null,null,null,null,null,null,null,50
0400000US51,143295,7467,59315,3823,51103,4177,32877,3314,Virginia,null,null,null,null,null,null,null,null,51
0400000US53,106748,7720,44331,4138,37579,3777,24838,2722,Washington,null,null,null,null,null,null,null,null,53
0400000US54,41231,4319,14699,2354,13945,2111,12587,2293,West Virginia,null,null,null,null,null,null,null,null,54
0400000US55,59318,4733,25046,2337,20364,2665,13908,2017,Wisconsin,null,null,null,null,null,null,null,null,55
0400000US56,5147,1463,1886,733,1294,564,1967,772,Wyoming,null,null,null,null,null,null,null,null,56
0400000US72,89816,7442,30131,3860,33829,4655,25856,2864,Puerto Rico,null,null,null,null,null,null,null,null,72
