GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001EA,B05003I_001MA,B05003I_002EA,B05003I_002MA,B05003I_003MA,B05003I_003EA,B05003I_004MA,B05003I_004EA,B05003I_005MA,B05003I_005EA,B05003I_006MA,B05003I_006EA,B05003I_007EA,B05003I_007MA,B05003I_008MA,B05003I_008EA,B05003I_009MA,B05003I_009EA,B05003I_010MA,B05003I_010EA,B05003I_011MA,B05003I_011EA,B05003I_012EA,B05003I_012MA,B05003I_013EA,B05003I_013MA,B05003I_014MA,B05003I_014EA,B05003I_015MA,B05003I_015EA,B05003I_016MA,B05003I_016EA,B05003I_017MA,B05003I_017EA,B05003I_018EA,B05003I_018MA,B05003I_019MA,B05003I_019EA,B05003I_020MA,B05003I_020EA,B05003I_021MA,B05003I_021EA,B05003I_022MA,B05003I_022EA,B05003I_023EA,B05003I_023MA,state
0400000US01,201970,2353,106619,3089,42440,2546,39354,2356,3086,1247,548,618,2538,1215,64179,1850,27408,2783,36771,2261,7040,1410,29731,2607,95351,3072,39170,2311,35199,2487,3971,1373,952,663,3019,1220,56181,2106,26309,2508,29872,2643,7613,1765,22259,2641,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51712,110,25365,1095,7537,1008,7364,1040,173,140,0,153,173,140,17828,439,14609,919,3219,940,2066,790,1153,544,26347,1060,9804,1006,9529,1008,275,181,0,153,275,181,16543,424,12699,994,3844,904,2389,790,1455,660,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2202173,-555555555,1107988,1361,368425,1320,357686,2066,10739,1838,1952,952,8787,1754,739563,332,479738,8301,259825,8270,91877,5573,167948,7847,1094185,1361,354320,1323,342473,2820,11847,2190,1667,817,10180,2123,739865,332,463860,7882,276005,7847,109068,5548,166937,7730,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,223764,1357,115421,2268,44940,1759,43523,1840,1417,641,217,242,1200,611,70481,1675,27671,2975,42810,2975,10136,1857,32674,2933,108343,2120,43306,1532,41909,1561,1397,730,227,308,1170,581,65037,1437,28871,2389,36166,2256,10734,2071,25432,2339,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15477306,-555555555,7788547,1902,2404255,1626,2311677,6560,92578,6523,14125,2563,78453,5658,5384292,1110,2873906,23480,2510386,23253,932849,17530,1577537,22324,7688759,1900,2311439,1580,2219214,6713,92225,6330,16459,2647,75766,5734,5377320,995,2851241,18625,2526079,18741,1039735,14698,1486344,18035,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1206724,-555555555,612461,2001,201391,1803,192999,2699,8392,2381,2311,1261,6081,1897,411070,1098,277930,5648,133140,5629,39252,3970,93888,5688,594263,2000,192858,1908,184235,2813,8623,1868,1589,1110,7034,1681,401405,976,284645,5774,116760,5701,34921,3388,81839,4819,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,578833,-555555555,289432,1578,91984,1490,86668,1990,5316,1265,823,474,4493,1259,197448,553,120814,4183,76634,4050,25957,2952,50677,4113,289401,1577,86967,1489,80445,2407,6522,1912,1220,687,5302,1822,202434,551,131918,4213,70516,4223,27515,2616,43001,3509,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,89540,-555555555,46572,795,16916,794,15638,1192,1278,699,703,580,575,429,29656,-555555555,14137,1584,15519,1583,3929,1240,11590,1896,42968,795,15251,794,13910,984,1341,705,243,304,1098,667,27717,-555555555,13107,1660,14610,1662,4290,940,10320,1685,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,10
0400000US11,76526,-555555555,38947,460,10668,460,10438,523,230,261,0,208,230,261,28279,-555555555,8779,1555,19500,1555,4911,1202,14589,2036,37579,460,10088,460,8079,1285,2009,1196,266,325,1743,1114,27491,-555555555,11270,1292,16221,1291,5558,1191,10663,1490,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,5370860,461,2649103,3197,666153,2626,589648,5911,76505,5855,15143,2653,61362,5413,1982950,1659,858697,13865,1124253,13869,555327,10999,568926,15083,2721757,3201,642090,2633,572234,6015,69856,5621,15041,2508,54815,4754,2079667,1678,847546,15284,1232121,15129,714667,11882,517454,14135,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
