GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001EA,B19101H_001MA,B19101H_002EA,B19101H_002MA,B19101H_003MA,B19101H_003EA,B19101H_004MA,B19101H_004EA,B19101H_005EA,B19101H_005MA,B19101H_006EA,B19101H_006MA,B19101H_007EA,B19101H_007MA,B19101H_008EA,B19101H_008MA,B19101H_009MA,B19101H_009EA,B19101H_010MA,B19101H_010EA,B19101H_011MA,B19101H_011EA,B19101H_012EA,B19101H_012MA,B19101H_013EA,B19101H_013MA,B19101H_014MA,B19101H_014EA,B19101H_015MA,B19101H_015EA,B19101H_016EA,B19101H_016MA,B19101H_017MA,B19101H_017EA,state
0400000US01,839293,9214,26019,2222,20409,2294,23532,2964,29462,2880,31072,2998,36997,3106,34176,2870,35378,2468,35423,3376,70960,4154,97356,5663,131821,5599,97288,4471,61015,3801,54796,3469,53589,2988,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,114278,3225,2259,687,1639,681,1609,596,1759,789,2965,976,3368,919,3131,807,3162,859,2854,790,7898,1243,10962,1796,17559,1904,16061,1670,11833,1424,14365,1788,12854,1702,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1015892,10229,30596,2851,17650,2282,20971,2808,27424,2811,29894,2857,34371,3021,36684,2967,42885,3124,40049,3019,82449,4086,117882,5554,158683,5174,123303,6003,79591,4513,81207,3618,92253,4130,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,575747,8953,19635,2140,16761,2225,16664,1831,24122,2112,27658,2576,26751,2578,30218,2897,31340,2563,26922,2451,53014,3289,67345,4316,85596,4155,55356,3203,31043,2456,35446,2947,27876,2298,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3791272,15793,86329,4919,58775,3650,66542,4742,78762,4453,83171,4994,99302,4592,97760,4417,102495,4349,99676,4560,204827,7811,318978,7883,484852,10588,457815,10529,345903,8051,475637,10052,730448,12263,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,999796,8970,19698,2093,14499,1580,16365,1986,18283,2107,24184,2153,24612,2494,29307,2836,30891,2642,30102,3303,63170,3176,98481,4517,156547,5415,133387,4591,96966,5115,117463,4787,125841,4372,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,624808,6204,10632,1816,5919,1263,5562,1065,9559,1729,10816,1633,13702,2060,14447,1823,17911,1951,16998,2202,36460,3240,51555,3156,86661,4094,81310,3967,65142,3649,81899,4509,116235,3848,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159378,4061,4823,1314,2672,858,2626,680,2561,712,4055,1003,6285,1459,5745,1198,4766,939,4628,1076,11234,1642,19509,2344,24622,2586,20078,2128,13108,1587,16683,1990,15983,1669,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44749,2071,447,292,64,110,151,180,0,208,119,145,259,226,356,265,283,223,182,139,375,200,1291,558,2065,615,3842,909,3891,842,8199,1112,23225,2047,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2916722,18217,87153,5181,52241,3940,70709,4643,91632,5335,98743,5100,124262,5573,127591,4951,132364,5520,123968,6312,237084,8184,320163,8433,446101,9696,317606,8185,199654,7618,221364,8499,266087,6732,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
