GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001MA,C15010I_001EA,C15010I_002MA,C15010I_002EA,C15010I_003MA,C15010I_003EA,C15010I_004MA,C15010I_004EA,C15010I_005EA,C15010I_005MA,C15010I_006EA,C15010I_006MA,state
0400000US01,16521,2503,5426,1328,2618,1191,3686,1206,1819,816,2972,979,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5819,1169,2442,736,1236,573,757,554,523,321,861,517,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,156026,7320,47161,3066,13877,2101,37903,3726,23674,2455,33411,3391,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11827,2300,4047,1101,467,312,3519,1405,1388,676,2406,899,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1158918,20437,415056,11586,84523,5131,236149,9630,91102,5418,332088,10131,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107622,5036,41365,3524,9462,1701,21980,2481,8269,1248,26546,2693,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,52982,3856,18480,2251,4346,1136,13319,1885,3888,983,12949,1718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5156,1102,1051,417,443,288,2121,749,609,327,932,479,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21124,2264,10229,1789,1409,658,3184,941,634,387,5668,1236,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,854267,16468,286502,10217,94703,6312,223574,9373,93568,6209,155920,7582,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,87240,5856,30937,2958,8365,1433,22458,2903,7951,1761,17529,2587,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15533,1751,4538,967,1939,670,3720,1371,1216,582,4120,1057,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10278,2048,3568,1264,524,352,3086,1032,714,447,2386,959,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,176171,7321,58230,4388,15475,2037,40321,3136,19563,2215,42582,3819,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,33501,3865,12860,2134,3723,1387,5780,1398,3020,825,8118,1769,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11647,1892,3982,1365,1080,512,2116,573,1914,734,2555,816,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22800,2659,7283,1463,1728,582,6117,1463,2306,714,5366,1216,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16229,2023,6643,1268,1459,659,2578,833,2109,742,3440,883,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21970,2352,7926,1341,2406,791,3731,818,2408,661,5499,1259,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3343,810,1417,502,210,185,217,186,257,195,1242,656,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,74749,4499,31735,2986,7345,1206,14868,2372,6097,1617,14704,2085,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,83168,4118,37076,3315,5651,1205,17319,2464,5803,1125,17319,2074,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,44310,2871,16935,1836,3585,760,9581,1596,4241,896,9968,1323,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
