GEO_ID,B22005C_001E,B22005C_001M,B22005C_002E,B22005C_002M,B22005C_003E,B22005C_003M,NAME,B22005C_001EA,B22005C_001MA,B22005C_002EA,B22005C_002MA,B22005C_003MA,B22005C_003EA,state
0400000US01,9558,1503,1796,721,7762,1194,Alabama,null,null,null,null,null,null,01
0400000US02,29882,2061,9974,1205,19908,1871,Alaska,null,null,null,null,null,null,02
0400000US04,87411,3979,23626,2022,63785,3543,Arizona,null,null,null,null,null,null,04
0400000US05,6593,1200,949,518,5644,1218,Arkansas,null,null,null,null,null,null,05
0400000US06,103336,4483,17444,1941,85892,4124,California,null,null,null,null,null,null,06
0400000US08,21470,1937,5199,1143,16271,1821,Colorado,null,null,null,null,null,null,08
0400000US09,3998,1080,716,423,3282,1019,Connecticut,null,null,null,null,null,null,09
0400000US10,1168,405,159,128,1009,413,Delaware,null,null,null,null,null,null,10
0400000US11,574,294,154,150,420,331,District of Columbia,null,null,null,null,null,null,11
0400000US12,21913,2495,3527,923,18386,2422,Florida,null,null,null,null,null,null,12
0400000US13,14340,2238,3188,1066,11152,2165,Georgia,null,null,null,null,null,null,13
0400000US15,1455,509,367,205,1088,430,Hawaii,null,null,null,null,null,null,15
0400000US16,7593,1164,915,351,6678,1133,Idaho,null,null,null,null,null,null,16
0400000US17,11248,1950,2125,720,9123,1849,Illinois,null,null,null,null,null,null,17
0400000US18,5236,1213,1038,540,4198,1086,Indiana,null,null,null,null,null,null,18
0400000US19,3206,740,841,327,2365,776,Iowa,null,null,null,null,null,null,19
0400000US20,7687,1302,1256,575,6431,1153,Kansas,null,null,null,null,null,null,20
0400000US21,3194,1017,623,490,2571,826,Kentucky,null,null,null,null,null,null,21
0400000US22,9524,1600,2343,853,7181,1513,Louisiana,null,null,null,null,null,null,22
0400000US23,3752,754,1111,362,2641,667,Maine,null,null,null,null,null,null,23
0400000US24,6306,1213,991,386,5315,1124,Maryland,null,null,null,null,null,null,24
0400000US25,4686,1238,1788,800,2898,856,Massachusetts,null,null,null,null,null,null,25
0400000US26,21243,1918,4053,817,17190,1668,Michigan,null,null,null,null,null,null,26
0400000US27,19335,2017,5937,1016,13398,1797,Minnesota,null,null,null,null,null,null,27
0400000US28,4717,925,949,413,3768,899,Mississippi,null,null,null,null,null,null,28
0400000US29,10781,1729,2320,948,8461,1370,Missouri,null,null,null,null,null,null,29
0400000US30,17490,1415,5398,901,12092,1197,Montana,null,null,null,null,null,null,30
0400000US31,5414,901,1782,492,3632,740,Nebraska,null,null,null,null,null,null,31
0400000US32,12692,1373,2468,691,10224,1347,Nevada,null,null,null,null,null,null,32
0400000US33,901,388,92,100,809,379,New Hampshire,null,null,null,null,null,null,33
0400000US34,6224,936,1251,606,4973,1015,New Jersey,null,null,null,null,null,null,34
0400000US35,53964,2098,17113,1596,36851,2175,New Mexico,null,null,null,null,null,null,35
0400000US36,26543,2416,7382,1383,19161,2052,New York,null,null,null,null,null,null,36
0400000US37,40750,2392,11375,1258,29375,2228,North Carolina,null,null,null,null,null,null,37
0400000US38,13400,1662,3861,743,9539,1558,North Dakota,null,null,null,null,null,null,38
0400000US39,10855,1917,2970,938,7885,1551,Ohio,null,null,null,null,null,null,39
0400000US40,95345,3308,17693,1372,77652,2998,Oklahoma,null,null,null,null,null,null,40
0400000US41,17715,2016,5916,1305,11799,1641,Oregon,null,null,null,null,null,null,41
0400000US42,9396,1438,2628,763,6768,1243,Pennsylvania,null,null,null,null,null,null,42
0400000US44,2007,970,1338,737,669,438,Rhode Island,null,null,null,null,null,null,44
0400000US45,5348,1267,1290,595,4058,1037,South Carolina,null,null,null,null,null,null,45
0400000US46,17043,1365,8077,1154,8966,954,South Dakota,null,null,null,null,null,null,46
0400000US47,6316,1355,1468,687,4848,1210,Tennessee,null,null,null,null,null,null,47
0400000US48,46566,4132,8126,1921,38440,3621,Texas,null,null,null,null,null,null,48
0400000US49,8937,1267,1968,620,6969,1202,Utah,null,null,null,null,null,null,49
0400000US50,1060,540,230,211,830,503,Vermont,null,null,null,null,null,null,50
0400000US51,10092,1613,581,353,9511,1564,Virginia,null,null,null,null,null,null,51
0400000US53,31629,2750,9415,1232,22214,2440,Washington,null,null,null,null,null,null,53
0400000US54,948,527,251,285,697,453,West Virginia,null,null,null,null,null,null,54
0400000US55,18186,1463,3851,700,14335,1304,Wisconsin,null,null,null,null,null,null,55
0400000US56,3675,745,1039,292,2636,669,Wyoming,null,null,null,null,null,null,56
0400000US72,3135,991,777,463,2358,873,Puerto Rico,null,null,null,null,null,null,72
