GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001MA,B12001_001EA,B12001_002EA,B12001_002MA,B12001_003EA,B12001_003MA,B12001_004EA,B12001_004MA,B12001_005EA,B12001_005MA,B12001_006MA,B12001_006EA,B12001_007MA,B12001_007EA,B12001_008EA,B12001_008MA,B12001_009EA,B12001_009MA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012MA,B12001_012EA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015EA,B12001_015MA,B12001_016EA,B12001_016MA,B12001_017MA,B12001_017EA,B12001_018EA,B12001_018MA,B12001_019MA,B12001_019EA,state
0400000US01,3972124,3503,1895814,3709,657497,10366,958898,13731,879712,13061,79186,4610,34616,3427,44570,3813,59858,3806,219561,7447,2076310,3989,609482,7910,983936,12176,883449,13635,100487,5722,55879,3891,44608,4323,212135,5926,270757,8530,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,583639,1229,307088,1526,117253,4123,148413,4785,129664,4946,18749,2467,4233,1000,14516,2290,6530,947,34892,2989,276551,1567,81422,3730,143271,4125,128685,4022,14586,2038,6077,1215,8509,1576,15315,1601,36543,2548,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5663228,2008,2797660,2475,1038238,11413,1380100,13711,1254712,15005,125388,6319,40794,3870,84594,5144,72914,4922,306408,9188,2865568,1852,858557,10273,1378402,14655,1236532,15645,141870,7770,61701,5271,80169,5365,233247,7246,395362,11438,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2418049,3055,1179013,3349,368758,7792,620448,11438,565935,11346,54513,4070,24878,2891,29635,2835,40628,3678,149179,6117,1239036,3521,304307,7050,630452,11369,570542,11070,59910,4567,35335,3551,24575,2680,125135,4134,179142,6887,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32009857,3422,15802609,4183,6457535,27984,7801741,32072,6915020,31972,886721,18356,248217,7945,638504,16214,329125,8965,1214208,19145,16207248,3926,5453614,27756,7748506,36008,6779172,33408,969334,16511,382420,12147,586914,13293,1235842,14978,1769286,23329,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4558575,2194,2281955,2677,819807,10045,1178813,12075,1089634,11935,89179,6751,27774,3713,61405,5574,46878,3294,236457,7948,2276620,2384,647734,9193,1171929,12200,1083479,12259,88450,5457,35139,3459,53311,4423,151300,4768,305657,8005,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2986837,1938,1442504,2026,550228,6766,722758,9268,668156,9493,54602,4388,17022,2425,37580,3780,37735,2677,131783,5679,1544333,1981,497398,8104,715903,9674,663931,9252,51972,3905,21475,2659,30497,3175,135843,4786,195189,6708,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,792511,507,379153,1265,135859,4520,196686,5777,182874,5516,13812,2047,5771,1545,8041,1546,10623,1693,35985,3100,413358,1113,133312,4559,192605,5949,176965,5976,15640,2334,8258,1779,7382,1319,37414,2399,50027,3551,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,585161,295,274333,549,161791,3736,88444,3819,73574,3741,14870,2024,5807,1348,9063,1719,3901,926,20197,1868,310828,574,172944,3460,88328,3729,70899,3644,17429,2235,6530,1486,10899,1848,21147,1866,28409,2452,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17514198,4283,8482987,5321,2989886,22852,4254503,31067,3785589,28921,468914,13095,158724,7639,310190,11255,269566,10388,969032,19222,9031211,5206,2578311,24912,4207247,28261,3687399,27698,519848,14827,222469,10468,297379,12079,930696,14734,1314957,19830,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8349724,5029,4009958,5500,1489940,17838,2033356,20673,1841686,20938,191670,8146,71756,4896,119914,7039,89226,4983,397436,11451,4339766,5289,1382082,14959,2052422,21644,1831158,21798,221264,8976,112649,5758,108615,6750,360864,9391,544398,12854,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1167820,763,582993,1022,224290,5636,295567,6211,260142,6221,35425,3190,5700,1296,29725,2887,14509,1727,48627,3334,584827,867,167608,4051,294066,5665,261116,5696,32950,2869,7726,1448,25224,2460,58851,3388,64302,3710,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1349449,1444,673450,2568,209896,5978,365611,7454,341298,7088,24313,3046,6032,1418,18281,2722,19381,2371,78562,5343,675999,2312,164824,5983,369900,7490,346804,7689,23096,2945,7392,1567,15704,2601,55274,3303,86001,5455,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10413077,3234,5075158,4009,1963505,15728,2547505,16955,2349133,17271,198372,8519,68812,4615,129560,6499,133595,6323,430553,8862,5337919,3881,1743472,13909,2545909,18428,2334762,19146,211147,7994,91758,5413,119389,5402,474905,8287,573633,10686,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5364611,3364,2615670,4239,916799,10045,1334653,12113,1251860,12746,82793,5341,29433,2887,53360,3989,72141,3792,292077,7960,2748941,4345,769583,11310,1359525,13642,1259321,13316,100204,5516,41097,3759,59107,4642,247733,6088,372100,9112,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
