GEO_ID,B28006_001E,B28006_001M,B28006_002E,B28006_002M,B28006_003E,B28006_003M,B28006_004E,B28006_004M,B28006_005E,B28006_005M,B28006_006E,B28006_006M,B28006_007E,B28006_007M,B28006_008E,B28006_008M,B28006_009E,B28006_009M,B28006_010E,B28006_010M,B28006_011E,B28006_011M,B28006_012E,B28006_012M,B28006_013E,B28006_013M,B28006_014E,B28006_014M,B28006_015E,B28006_015M,B28006_016E,B28006_016M,B28006_017E,B28006_017M,B28006_018E,B28006_018M,B28006_019E,B28006_019M,NAME,B28006_001MA,B28006_001EA,B28006_002MA,B28006_002EA,B28006_003MA,B28006_003EA,B28006_004EA,B28006_004MA,B28006_005EA,B28006_005MA,B28006_006EA,B28006_006MA,B28006_007EA,B28006_007MA,B28006_008MA,B28006_008EA,B28006_009EA,B28006_009MA,B28006_010EA,B28006_010MA,B28006_011EA,B28006_011MA,B28006_012MA,B28006_012EA,B28006_013EA,B28006_013MA,B28006_014MA,B28006_014EA,B28006_015EA,B28006_015MA,B28006_016EA,B28006_016MA,B28006_017MA,B28006_017EA,B28006_018EA,B28006_018MA,B28006_019MA,B28006_019EA,state
0400000US01,3239078,6134,424341,10628,305175,10751,1330,696,251334,9545,52511,4594,119166,7103,1975017,14761,1734921,16369,7487,1722,1549591,17260,177843,9227,240096,11141,839720,13291,814533,12934,1899,752,777553,12940,35081,4122,25187,3047,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,463651,2359,37706,2893,32896,2924,0,153,27549,2761,5347,1065,4810,748,291115,5761,277434,6252,1127,427,251415,6619,24892,3244,13681,2006,134830,5723,132138,5729,139,110,127728,5618,4271,1202,2692,792,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4611819,3444,575720,13895,485068,12808,972,495,408237,12868,75859,6046,90652,6325,2662883,19394,2486353,19908,10011,1869,2294559,20703,181783,8803,176530,8010,1373216,17925,1347180,18262,3188,832,1301710,18093,42282,4067,26036,2832,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1958133,4695,255112,8133,181471,7517,1370,689,136567,6911,43534,4512,73641,5239,1237882,11841,1100319,11978,3849,1115,925539,12145,170931,7707,137563,6751,465139,11058,451143,10899,751,393,408125,10416,42267,4393,13996,2161,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26182772,6725,4302607,34621,3797984,33992,6808,1631,3324599,31630,466577,15929,504623,14250,12963091,51296,12320802,51415,31835,3784,11502236,52069,786731,17455,642289,17762,8917074,46858,8782985,45946,15094,2015,8535785,44170,232106,9776,134089,7620,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3758213,4482,308755,10644,267355,10592,517,331,231363,10138,35475,4187,41400,3223,1883292,15657,1777952,15563,8479,1611,1652177,15548,117296,7146,105340,5474,1566166,15058,1541440,14751,4190,1184,1493830,14283,43420,3747,24726,2941,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2439680,2109,224900,8373,171244,7556,880,376,148558,7603,21806,2849,53656,4945,1257235,13777,1160084,13582,4036,1017,1079335,14551,76713,5470,97151,5744,957545,12438,939899,12402,3018,826,912739,12375,24142,2765,17646,1944,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,661505,1259,58681,5017,49309,4701,0,198,42949,4473,6360,1667,9372,1565,391302,7171,364432,7340,959,468,337371,8061,26102,3474,26870,3527,211522,6784,208195,6728,409,309,202504,6810,5282,1251,3327,1092,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,481919,925,44733,4136,35403,3975,0,208,25586,3250,9817,2664,9330,1835,155574,5999,136099,5975,171,212,112451,5466,23477,4145,19475,3021,281612,5838,278211,6060,431,636,267615,6007,10165,2140,3401,926,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14735530,8282,1659006,27781,1374046,25954,4711,1719,1127663,25656,241672,10355,284960,12523,8646502,40432,8076232,38449,20020,3640,7244781,37286,811431,25276,570270,16196,4430022,36882,4335386,38221,5988,1158,4104646,37847,224752,12013,94636,6837,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
