GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001MA,C23008_001EA,C23008_002EA,C23008_002MA,C23008_003EA,C23008_003MA,C23008_004EA,C23008_004MA,C23008_005EA,C23008_005MA,C23008_006MA,C23008_006EA,C23008_007MA,C23008_007EA,C23008_008MA,C23008_008EA,C23008_009EA,C23008_009MA,C23008_010EA,C23008_010MA,C23008_011MA,C23008_011EA,C23008_012MA,C23008_012EA,C23008_013MA,C23008_013EA,C23008_014EA,C23008_014MA,C23008_015EA,C23008_015MA,C23008_016EA,C23008_016MA,C23008_017MA,C23008_017EA,C23008_018EA,C23008_018MA,C23008_019MA,C23008_019EA,state
0400000US01,1018842,5129,323597,5669,192552,6684,108506,6488,72359,5821,7650,2049,4037,1109,131045,6756,94494,6032,36551,4671,695245,6538,427605,11070,274342,9521,123185,8619,20152,3482,9926,2154,267640,11601,208111,10876,59529,6030,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,172645,2126,60763,2408,45026,2575,22375,2211,18552,2204,2665,988,1434,1382,15737,1733,12421,1668,3316,699,111882,2460,78365,3420,46315,2955,24197,2848,4694,1375,3159,2088,33517,3273,29485,3212,4032,767,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1532662,7662,488517,5188,296773,7637,157550,6830,125089,6443,9444,2299,4690,1377,191744,6513,147278,7027,44466,3597,1044145,7472,663547,14395,391652,13364,231611,13087,26423,3765,13861,2798,380598,14038,315948,13062,64650,6288,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,663663,4415,215615,4637,134360,4758,76040,4509,48672,4182,6481,1852,3167,1136,81255,5296,61913,5149,19342,2969,448048,4671,285903,7349,185991,8190,76572,6732,14226,2700,9114,2547,162145,7581,127158,7222,34987,4006,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8636131,16233,2824448,12078,1865171,19141,1051195,19494,725429,19288,60201,6445,28346,3816,959277,16970,728036,17485,231241,11745,5811683,15977,3900777,31784,2338749,30392,1332062,27617,158435,8199,71531,5610,1910906,29005,1554686,27542,356220,13458,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1202723,5307,384808,4649,287363,6998,168661,6075,106663,6686,9381,2264,2658,1030,97445,6393,78240,5740,19205,2965,817915,5762,577661,9936,377800,10433,170759,10065,21338,3123,7764,2009,240254,9595,206893,9808,33361,4166,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,714184,3142,210300,3312,144444,4538,94959,4623,43741,4229,4338,1262,1406,845,65856,3746,53320,3410,12536,2358,503884,3797,330640,7026,235031,8082,78793,6659,13938,2835,2878,987,173244,6814,148102,6818,25142,3512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,189011,2931,61245,2350,37445,2987,21910,3001,13998,2200,1211,801,326,251,23800,2723,19426,2525,4374,1440,127766,3162,80906,4407,49139,3701,24394,3176,5155,1568,2218,1111,46860,4438,41201,4336,5659,1617,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,115684,2794,48988,1959,28486,2576,20711,1899,7075,2315,700,580,0,208,20502,2404,13813,2010,6689,2389,66696,2450,28588,2233,19401,2268,7985,2030,948,699,254,281,38108,2847,27898,2849,10210,2432,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3980211,12944,1287270,10058,782923,15108,447567,13679,293043,11150,26808,3517,15505,3333,504347,15218,396944,12966,107403,7655,2692941,13600,1646170,23254,1052704,22562,465997,15792,86196,8550,41273,5868,1046771,22464,860451,20493,186320,12260,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2372178,10081,747105,9552,466170,12032,272835,11123,176134,7658,10859,2385,6342,2058,280935,9610,222766,8282,58169,5937,1625073,9960,1007395,18605,657602,19986,291666,12948,40860,4890,17267,3165,617678,16561,519567,16735,98111,7866,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,283254,3265,101987,2460,68453,3766,40594,3439,24447,2627,1968,1193,1444,792,33534,3765,24463,3154,9071,2086,181267,3013,124826,4188,89732,4907,27494,3172,5902,1581,1698,739,56441,3925,47233,3605,9208,2554,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,426375,3050,134263,3611,101914,3918,47931,3656,49011,4069,2916,989,2056,1103,32349,3672,24447,2945,7902,2043,292112,3975,220467,6663,127303,7430,81889,6496,6496,1619,4779,2343,71645,6011,60438,5354,11207,2475,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
