GEO_ID,B01001H_001E,B01001H_001M,B01001H_002E,B01001H_002M,B01001H_003E,B01001H_003M,B01001H_004E,B01001H_004M,B01001H_005E,B01001H_005M,B01001H_006E,B01001H_006M,B01001H_007E,B01001H_007M,B01001H_008E,B01001H_008M,B01001H_009E,B01001H_009M,B01001H_010E,B01001H_010M,B01001H_011E,B01001H_011M,B01001H_012E,B01001H_012M,B01001H_013E,B01001H_013M,B01001H_014E,B01001H_014M,B01001H_015E,B01001H_015M,B01001H_016E,B01001H_016M,B01001H_017E,B01001H_017M,B01001H_018E,B01001H_018M,B01001H_019E,B01001H_019M,B01001H_020E,B01001H_020M,B01001H_021E,B01001H_021M,B01001H_022E,B01001H_022M,B01001H_023E,B01001H_023M,B01001H_024E,B01001H_024M,B01001H_025E,B01001H_025M,B01001H_026E,B01001H_026M,B01001H_027E,B01001H_027M,B01001H_028E,B01001H_028M,B01001H_029E,B01001H_029M,B01001H_030E,B01001H_030M,B01001H_031E,B01001H_031M,NAME,B01001H_001MA,B01001H_001EA,B01001H_002MA,B01001H_002EA,B01001H_003MA,B01001H_003EA,B01001H_004EA,B01001H_004MA,B01001H_005EA,B01001H_005MA,B01001H_006EA,B01001H_006MA,B01001H_007MA,B01001H_007EA,B01001H_008MA,B01001H_008EA,B01001H_009EA,B01001H_009MA,B01001H_010EA,B01001H_010MA,B01001H_011EA,B01001H_011MA,B01001H_012MA,B01001H_012EA,B01001H_013MA,B01001H_013EA,B01001H_014EA,B01001H_014MA,B01001H_015EA,B01001H_015MA,B01001H_016EA,B01001H_016MA,B01001H_017EA,B01001H_017MA,B01001H_018MA,B01001H_018EA,B01001H_019MA,B01001H_019EA,B01001H_020EA,B01001H_020MA,B01001H_021EA,B01001H_021MA,B01001H_022EA,B01001H_022MA,B01001H_023MA,B01001H_023EA,B01001H_024MA,B01001H_024EA,B01001H_025MA,B01001H_025EA,B01001H_026EA,B01001H_026MA,B01001H_027EA,B01001H_027MA,B01001H_028EA,B01001H_028MA,B01001H_029MA,B01001H_029EA,B01001H_030MA,B01001H_030EA,B01001H_031EA,B01001H_031MA,state
0400000US01,3191450,2158,1557907,2037,84307,1148,86108,3222,95084,3276,56553,1150,43836,2188,94733,2182,100185,1225,93133,1219,187572,1419,216651,1127,223760,177,170752,620,82549,2278,22684,2240,1633543,2098,79745,1169,82891,4382,91088,4375,57204,1170,43125,2524,93315,2679,99165,1216,94747,1174,188846,1262,218824,808,236931,166,193088,456,111270,2546,43304,2561,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,448081,1095,238719,797,14001,268,13483,1087,12198,1151,7527,368,4960,984,16463,1028,19721,435,18777,162,31034,164,32552,256,36388,328,22448,257,7215,554,1952,533,209362,626,12313,282,12004,1174,11847,1192,6994,265,3666,691,11850,754,16409,269,16454,207,27507,344,27941,295,32525,140,19628,229,7497,687,2727,629,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3836639,4499,1897192,2673,83794,842,88743,3273,94675,3096,58984,693,40558,1096,106795,1220,118304,707,113723,900,217153,1062,246377,752,279289,272,260777,458,145602,2559,42418,2542,1939447,2446,80718,741,81550,3683,93435,3640,55505,464,41247,1640,92086,1714,112728,906,107686,848,210136,943,245694,1195,305691,386,289780,439,158916,3420,64275,3377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2173307,2415,1070331,2320,60349,1314,60413,3200,68852,3243,41960,1432,28397,1737,66866,1491,69223,1448,64369,1215,131614,1418,140389,936,146111,628,114912,679,60917,1826,15959,1648,1102976,2355,55844,1413,62052,3302,58482,3168,36654,1178,29529,2135,63320,2147,67776,1605,64509,995,131193,1486,140897,877,155893,121,129783,495,75723,2183,31321,2151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14616636,7788,7309260,4310,324595,1639,320005,6746,332234,6925,209523,1533,146829,1706,417506,2032,525187,2144,510343,1195,900453,1607,1032115,1339,1161613,1019,856243,949,408916,4609,163698,4587,7307376,6191,307651,1737,290184,6541,329666,6477,198466,1101,137124,1183,374222,3818,482785,1660,469278,963,832712,1413,996893,1143,1173250,1205,934820,973,500954,7214,279371,7155,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3822055,2897,1917920,2351,96628,1116,98243,3490,107934,3542,62366,814,45763,1485,120564,1684,148840,1179,148857,611,259139,1078,259089,518,274107,236,192125,479,78369,2124,25896,2029,1904135,1778,91385,905,92230,3997,102043,3998,59139,947,41102,1336,107807,1515,138786,1076,137036,1014,245971,1133,254672,426,286435,323,206237,867,94904,2199,46388,2043,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2393694,3077,1167350,1681,48665,479,52648,2834,65308,2944,42807,455,32398,826,77005,849,64436,294,65113,436,124207,489,176174,458,196489,407,131575,134,60512,2158,30013,2143,1226344,1625,45872,415,49292,2766,62305,2861,40601,297,31056,501,73143,501,58783,565,64441,318,126069,710,184082,363,205786,311,147671,122,83961,2675,53282,2680,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,597917,735,289350,393,13554,97,14566,1341,13843,1338,9318,198,6766,127,15899,94,20059,198,17599,198,30404,115,39166,198,45554,198,38421,271,18370,961,5831,961,308567,449,13096,75,12889,1573,14513,1574,8857,198,6981,198,15304,98,19492,173,17325,198,32092,103,41153,198,51027,198,43623,177,22404,1312,9811,1292,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,253416,1470,126534,753,6583,202,4019,521,1845,514,1241,208,3539,918,9401,923,18283,208,20111,332,22814,208,14398,208,10709,60,8237,208,4098,505,1256,505,126882,805,6076,425,3278,600,2922,600,1205,208,4278,1147,11503,1146,21572,303,20389,264,20329,57,11147,208,9314,208,8741,125,4915,447,1213,447,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11288419,8183,5536784,4717,237470,1457,239814,5518,256922,5587,163027,1335,110143,2134,287224,2243,337326,1805,309126,1477,577395,1507,733726,1290,851547,609,801231,893,458837,6078,172996,6015,5751635,5449,224646,1632,227500,7757,245840,7439,155716,1199,101145,2032,271753,2193,325420,1607,299698,1950,568998,1378,740684,1248,923688,1025,892855,1001,526346,7305,247346,7290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
