GEO_ID,B24090_001E,B24090_001M,B24090_002E,B24090_002M,B24090_003E,B24090_003M,B24090_004E,B24090_004M,B24090_005E,B24090_005M,B24090_006E,B24090_006M,B24090_007E,B24090_007M,B24090_008E,B24090_008M,B24090_009E,B24090_009M,B24090_010E,B24090_010M,B24090_011E,B24090_011M,B24090_012E,B24090_012M,B24090_013E,B24090_013M,B24090_014E,B24090_014M,B24090_015E,B24090_015M,B24090_016E,B24090_016M,B24090_017E,B24090_017M,B24090_018E,B24090_018M,B24090_019E,B24090_019M,B24090_020E,B24090_020M,B24090_021E,B24090_021M,NAME,B24090_001EA,B24090_001MA,B24090_002EA,B24090_002MA,B24090_003EA,B24090_003MA,B24090_004EA,B24090_004MA,B24090_005MA,B24090_005EA,B24090_006MA,B24090_006EA,B24090_007EA,B24090_007MA,B24090_008EA,B24090_008MA,B24090_009EA,B24090_009MA,B24090_010MA,B24090_010EA,B24090_011MA,B24090_011EA,B24090_012EA,B24090_012MA,B24090_013EA,B24090_013MA,B24090_014EA,B24090_014MA,B24090_015EA,B24090_015MA,B24090_016MA,B24090_016EA,B24090_017MA,B24090_017EA,B24090_018MA,B24090_018EA,B24090_019EA,B24090_019MA,B24090_020EA,B24090_020MA,B24090_021MA,B24090_021EA,state
0400000US26,3175553,17776,1833327,13440,1493904,14180,1408779,14855,85125,4186,96611,4581,76915,3681,50118,3055,28620,2815,85736,4508,1423,434,1342226,12930,943462,11832,919296,11565,24166,2088,180766,6252,84323,3243,70300,3511,25085,2227,37147,2490,1143,451,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2019293,14271,1156757,9018,911865,9937,845201,9637,66664,3101,75296,3842,59252,3343,34420,2226,19528,2313,55659,2728,737,247,862536,9298,573520,8859,552740,8493,20780,1809,132364,3910,70311,3547,45423,2993,13090,1467,27245,2214,583,238,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,897612,11168,484010,7676,361004,7666,340752,7164,20252,2468,17211,2062,26304,3346,32784,3396,17695,2380,28420,3244,592,613,413602,8457,273154,7624,265852,7806,7302,1551,29171,2946,26593,3155,61093,4052,14497,1841,9022,1704,72,123,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2090559,15700,1156524,11604,890625,12911,840636,12708,49989,3023,72242,4516,57807,3932,40388,3070,30906,2832,63579,3978,977,444,934035,9593,626759,9994,610138,9880,16621,1958,134511,5879,59760,3543,55837,3673,26042,2564,30474,2776,652,347,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,337251,7010,192227,4742,137088,4544,119952,4679,17136,1582,10697,1638,11524,1524,9983,1403,8160,1166,14521,1693,254,176,145024,4270,83879,3494,77458,3253,6421,1376,23357,2216,12244,1810,10955,1420,6469,1151,7733,1185,387,258,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,728285,7499,420424,4758,315745,5351,294079,5400,21666,1602,24574,2395,23947,2038,16856,1936,10009,1425,28571,2384,722,422,307861,5626,200644,5025,193937,4983,6707,1109,43735,2685,25276,2603,21095,1722,6952,1314,9913,1299,246,157,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1024811,12955,587818,8702,486756,8094,467500,8388,19256,2295,12884,1882,29842,3027,15515,1915,17219,2252,25191,3134,411,290,436993,8838,335121,8254,326455,8339,8666,1302,21256,2556,37349,3231,18350,2182,11643,1746,12892,1788,382,237,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,497247,7554,285888,4981,220814,5577,209337,5372,11477,1767,16300,1950,13514,1971,8974,1518,8643,1417,17345,2081,298,198,211359,5089,129987,5141,125801,5119,4186,1054,39489,2922,19014,2086,10158,1721,4758,1003,7772,1555,181,187,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3194441,20178,1824574,12568,1455731,11993,1359957,11889,95774,4965,78547,4338,104502,4665,65974,4501,41118,3302,77359,4577,1343,656,1369867,14570,993628,13637,966997,13844,26631,2531,128014,6017,109336,5015,78575,5033,26637,2952,32441,3191,1236,601,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,605622,10939,338061,8413,223523,7105,210666,6724,12857,2182,19097,2343,27556,2592,21884,2770,27915,3216,17899,2766,187,163,267561,7026,148722,5941,142530,5797,6192,1311,28218,2718,28154,2537,33834,3343,19367,2140,9204,1760,62,74,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,6782122,30423,3761121,20787,2743206,22430,2542816,22592,200390,7188,258882,9367,320576,10290,153720,5929,79415,4618,202203,8412,3119,1172,3021001,21585,1918993,16233,1849904,15399,69089,5131,424150,10215,358036,11437,161244,6041,51488,3967,103709,5194,3381,936,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3409145,24276,1888757,18037,1478570,16349,1383632,16014,94938,4919,85729,5088,86408,5342,87534,5351,48030,4088,100597,5744,1889,845,1520388,14050,1054151,13211,1017553,13685,36598,2936,139641,5983,102962,5201,144791,6133,35311,2936,41294,3320,2238,1070,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,285818,5346,169135,3838,121208,3818,111117,3717,10091,1217,10928,1944,8372,1217,7225,1428,5336,1108,15362,1469,704,605,116683,3506,69214,3456,65981,3462,3233,855,18725,2202,9296,1430,9501,1352,4451,1172,5102,1044,394,315,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3889956,20982,2198363,14519,1738814,15793,1650623,15492,88191,4625,119941,5407,125315,5137,63347,4196,46742,3566,102248,5277,1956,690,1691593,16108,1155352,14797,1131834,14515,23518,2276,235868,6994,148803,6382,76700,4049,35960,2895,37254,2893,1656,612,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1265316,13166,717488,9062,533261,8907,497789,8533,35472,2250,27167,2171,37693,2675,34600,2506,40027,2859,43505,2797,1235,539,547828,8111,352450,7266,341071,7220,11379,1382,48943,3001,39430,2548,59743,3414,26571,1988,20011,1943,680,321,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1316674,14548,761879,9129,586107,10631,545972,10841,40135,3306,45774,3789,40073,2880,27751,2479,15665,2022,45899,3533,610,307,554795,9487,351436,7930,332769,7865,18667,1858,80553,4571,44262,2928,39105,3430,11939,1622,26800,2682,700,439,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,4362981,22068,2465970,15590,1891711,15809,1775247,15561,116464,5147,187520,6322,113858,4501,79511,4143,62239,3289,129027,5797,2104,696,1897011,17660,1283695,15954,1252262,16126,31433,2524,324130,9765,116806,5335,82418,5185,43053,3946,44521,3228,2388,724,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,365332,7389,204021,5718,154301,5252,144315,5193,9986,1906,14407,2077,9483,1717,7736,1218,8182,1691,9791,1610,121,146,161311,4837,107311,4462,104258,4403,3053,886,24260,2721,14373,2119,7298,1196,3751,966,4318,1375,0,217,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
