GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002MA,C07008_002EA,C07008_003MA,C07008_003EA,C07008_004EA,C07008_004MA,C07008_005EA,C07008_005MA,C07008_006MA,C07008_006EA,C07008_007MA,C07008_007EA,C07008_008MA,C07008_008EA,C07008_009EA,C07008_009MA,C07008_010EA,C07008_010MA,C07008_011EA,C07008_011MA,C07008_012MA,C07008_012EA,C07008_013MA,C07008_013EA,C07008_014MA,C07008_014EA,C07008_015EA,C07008_015MA,C07008_016EA,C07008_016MA,C07008_017MA,C07008_017EA,C07008_018MA,C07008_018EA,C07008_019MA,C07008_019EA,C07008_020EA,C07008_020MA,C07008_021EA,C07008_021MA,C07008_022EA,C07008_022MA,C07008_023MA,C07008_023EA,C07008_024MA,C07008_024EA,C07008_025MA,C07008_025EA,C07008_026EA,C07008_026MA,C07008_027EA,C07008_027MA,C07008_028EA,C07008_028MA,C07008_029EA,C07008_029MA,C07008_030EA,C07008_030MA,state
0400000US01,3972124,3503,1266979,13910,1852339,21251,580813,13732,271993,7076,3443202,15231,1021213,16769,1681338,19064,490085,12315,250566,6557,297156,13108,131443,8568,96381,6317,55347,4203,13985,2413,126526,6790,64977,4860,36827,4261,20174,2388,4548,1078,93170,6451,44650,3757,33272,3773,12861,2043,2387,789,12070,2016,4696,1126,4521,1360,2346,1046,507,315,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,583639,1229,198675,6510,281374,7721,81745,4344,21845,1999,478023,6546,151030,5762,241221,7616,65154,3938,20618,1883,62594,5583,28856,3072,22077,3404,11132,1997,529,292,13535,2159,6860,1555,4130,1263,2027,786,518,369,24342,2867,10153,1870,10692,2094,3317,916,180,155,5145,1587,1776,788,3254,1306,115,121,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5663228,2008,1896795,18387,2656007,25994,804265,17306,306161,9474,4676492,19337,1455338,22118,2302101,24144,648974,16630,270079,8688,616117,16106,286394,10982,205260,9496,103041,6403,21422,2757,107109,7237,53579,4202,33421,4322,16503,2141,3606,921,223861,8805,85144,6744,96479,6175,32891,3399,9347,1470,39649,4839,16340,3107,18746,2866,2856,986,1707,725,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2418049,3055,673065,12025,1190687,19624,388534,10166,165763,6183,2051490,11886,526491,11888,1064884,20343,311161,9738,148954,6144,194661,9462,75692,4717,67863,5219,41976,3675,9130,1676,99523,6399,42749,4414,30648,3189,21771,2739,4355,1108,64115,5206,24733,2962,23156,3385,13096,2233,3130,909,8260,1830,3400,1044,4136,1482,530,372,194,184,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32009857,3422,11911149,43233,14919610,56474,3614131,35062,1564967,18118,27811712,52265,9859099,51965,13413971,59213,3100458,33620,1438184,18256,2548136,42145,1217337,25197,908960,20686,341184,12651,80655,5129,933268,22631,493453,12774,299502,13365,113930,7287,26383,2663,449549,14848,233361,9366,162487,9474,43172,4637,10529,1618,267192,13202,107899,6629,134690,9621,15387,2464,9216,1558,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4558575,2194,1467541,15888,2287829,20656,605027,13461,198178,5948,3727610,18705,1065890,19596,1989630,20728,497321,12107,174769,5728,367847,13990,169562,8072,136105,9134,50865,4329,11315,1905,241117,9278,124136,6390,74860,6278,35873,3214,6248,1209,192485,9025,94208,6619,74596,5093,19079,2525,4602,1164,29516,4169,13745,2424,12638,2951,1889,753,1244,618,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2986837,1938,1047626,11642,1400164,15890,365469,9753,173578,6138,2638807,12766,868794,13281,1288462,14754,320432,9324,161119,6105,196950,9142,96557,6387,63104,5433,28409,2665,8880,1640,59836,5473,35627,3788,14622,2634,8368,1610,1219,615,71559,5333,39429,3826,23652,2828,6763,1703,1715,646,19685,3109,7219,1699,10324,2209,1497,761,645,354,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,792511,507,269171,6636,375262,10620,100041,5609,48037,2887,691831,6748,218165,7687,344392,10986,86226,5251,43048,2815,55071,5308,28509,3516,15371,2609,8879,1687,2312,575,8151,2060,4050,1327,1324,1116,2405,859,372,381,33513,4156,17104,2799,12331,2195,2383,793,1695,665,3945,1272,1343,591,1844,892,148,171,610,387,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,585161,295,334735,5752,164435,6440,60943,3631,25048,2075,465389,6444,248966,6973,142100,6112,51940,3515,22383,2030,57085,5198,38303,4187,10615,1840,6297,1486,1870,872,0,208,0,208,0,208,0,208,0,208,53335,3776,41290,3302,8924,1969,2326,770,795,436,9352,1743,6176,1454,2796,1054,380,358,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17514198,4283,5568197,38265,8080557,53698,2665182,33353,1200262,17833,14838142,36289,4453323,39282,7079502,51705,2233645,31125,1071672,18232,1410678,31671,598691,18163,494799,17305,247593,10585,69595,4661,566684,18557,278349,11504,179028,11408,87407,5440,21900,3407,494730,15779,167708,10102,224075,9872,74927,5744,28020,3516,203964,12416,70126,6741,103153,8658,21610,3531,9075,2170,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
