GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001EA,C18104_001MA,C18104_002EA,C18104_002MA,C18104_003EA,C18104_003MA,C18104_004MA,C18104_004EA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007EA,C18104_007MA,C18104_008EA,C18104_008MA,C18104_009EA,C18104_009MA,C18104_010MA,C18104_010EA,C18104_011MA,C18104_011EA,C18104_012EA,C18104_012MA,C18104_013EA,C18104_013MA,C18104_014EA,C18104_014MA,C18104_015MA,C18104_015EA,C18104_016MA,C18104_016EA,C18104_017EA,C18104_017MA,C18104_018EA,C18104_018MA,C18104_019EA,C18104_019MA,C18104_020MA,C18104_020EA,C18104_021MA,C18104_021EA,state
0400000US01,4504615,3339,2153447,5213,411444,4217,25585,3107,385859,5196,1400897,3646,91546,5292,1309351,6589,341106,2341,33982,2568,307124,3524,2351168,4762,392104,3455,10231,2156,381873,3894,1517254,3550,86885,4939,1430369,5434,441810,2129,49898,3032,391912,3436,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,663261,2517,340050,2781,67704,1506,2832,895,64872,1671,231384,2410,12276,1955,219108,2915,40962,697,2641,598,38321,916,323211,2016,64201,1491,1137,665,63064,1633,218460,1359,9073,1651,209387,2048,40550,840,3627,819,36923,1258,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6473181,2493,3175188,4063,607971,2408,31322,3908,576649,4493,2019389,3071,95337,5587,1924052,6156,547828,1407,41437,3561,506391,3950,3297993,3251,587180,2122,14958,2561,572222,3147,2069619,2208,84162,4505,1985457,5058,641194,1474,54111,4108,587083,4339,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2762693,3073,1345493,4779,267738,3343,19805,2972,247933,4182,862063,2979,63106,4339,798957,5473,215692,2050,21167,2242,194525,3018,1417200,4084,252140,3183,12068,1983,240072,3203,900433,2801,61999,4124,838434,5142,264627,2089,29395,2644,235232,3315,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36586733,6047,18008850,7147,3361317,3959,144315,7141,3217002,8798,12243198,6481,447502,12130,11795696,14180,2404335,3306,202812,6925,2201523,7864,18577883,5994,3221186,3661,66660,4459,3154526,5535,12350954,4913,393953,11277,11957001,12741,3005743,4174,329091,7828,2676652,7955,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5181477,3851,2578050,4723,475506,2746,21132,2587,454374,3840,1754634,3743,68373,4421,1686261,5454,347910,1649,25174,2288,322736,2587,2603427,3157,451979,1973,11319,2039,440660,2841,1740587,2619,68743,4385,1671844,4614,410861,1605,31620,2390,379241,2982,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3354328,1821,1622519,2993,284690,1612,15115,2047,269575,2383,1084953,2317,43165,4015,1041788,5026,252876,1105,15802,1779,237074,2160,1731809,2274,274045,1267,7778,1516,266267,1825,1131154,1793,44786,4082,1086368,4084,326610,1546,25718,2521,300892,2810,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892352,1038,426390,1419,75704,950,2710,693,72994,1181,275060,1171,10930,2269,264130,2445,75626,668,4077,899,71549,1099,465962,1206,73297,940,2442,873,70855,1195,299160,897,12762,1987,286398,2477,93505,702,7652,1335,85853,1368,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,638743,609,298140,867,39874,488,1942,802,37932,891,225627,730,8190,1681,217437,1772,32639,367,3695,896,28944,955,340603,772,39433,646,1624,722,37809,941,252325,583,9076,1433,243249,1527,48845,453,5371,1356,43474,1380,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19549382,5370,9450144,6973,1557335,4728,94897,5806,1462438,6617,6020206,6023,280851,8471,5739355,10304,1872603,3983,142608,5712,1729995,6868,10099238,6648,1504557,4753,47806,4405,1456751,6366,6320541,4332,263900,11829,6056641,12071,2274140,3678,210560,8904,2063580,10414,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
