GEO_ID,C08124_001E,C08124_001M,C08124_002E,C08124_002M,C08124_003E,C08124_003M,C08124_004E,C08124_004M,C08124_005E,C08124_005M,C08124_006E,C08124_006M,C08124_007E,C08124_007M,C08124_008E,C08124_008M,C08124_009E,C08124_009M,C08124_010E,C08124_010M,C08124_011E,C08124_011M,C08124_012E,C08124_012M,C08124_013E,C08124_013M,C08124_014E,C08124_014M,C08124_015E,C08124_015M,C08124_016E,C08124_016M,C08124_017E,C08124_017M,C08124_018E,C08124_018M,C08124_019E,C08124_019M,C08124_020E,C08124_020M,C08124_021E,C08124_021M,C08124_022E,C08124_022M,C08124_023E,C08124_023M,C08124_024E,C08124_024M,C08124_025E,C08124_025M,C08124_026E,C08124_026M,C08124_027E,C08124_027M,C08124_028E,C08124_028M,C08124_029E,C08124_029M,C08124_030E,C08124_030M,C08124_031E,C08124_031M,C08124_032E,C08124_032M,C08124_033E,C08124_033M,C08124_034E,C08124_034M,C08124_035E,C08124_035M,C08124_036E,C08124_036M,C08124_037E,C08124_037M,C08124_038E,C08124_038M,C08124_039E,C08124_039M,C08124_040E,C08124_040M,C08124_041E,C08124_041M,C08124_042E,C08124_042M,NAME,C08124_001EA,C08124_001MA,C08124_002EA,C08124_002MA,C08124_003EA,C08124_003MA,C08124_004MA,C08124_004EA,C08124_005MA,C08124_005EA,C08124_006MA,C08124_006EA,C08124_007EA,C08124_007MA,C08124_008EA,C08124_008MA,C08124_009MA,C08124_009EA,C08124_010MA,C08124_010EA,C08124_011MA,C08124_011EA,C08124_012EA,C08124_012MA,C08124_013EA,C08124_013MA,C08124_014MA,C08124_014EA,C08124_015MA,C08124_015EA,C08124_016MA,C08124_016EA,C08124_017MA,C08124_017EA,C08124_018EA,C08124_018MA,C08124_019EA,C08124_019MA,C08124_020EA,C08124_020MA,C08124_021EA,C08124_021MA,C08124_022MA,C08124_022EA,C08124_023EA,C08124_023MA,C08124_024MA,C08124_024EA,C08124_025MA,C08124_025EA,C08124_026MA,C08124_026EA,C08124_027MA,C08124_027EA,C08124_028MA,C08124_028EA,C08124_029EA,C08124_029MA,C08124_030EA,C08124_030MA,C08124_031EA,C08124_031MA,C08124_032MA,C08124_032EA,C08124_033MA,C08124_033EA,C08124_034MA,C08124_034EA,C08124_035MA,C08124_035EA,C08124_036MA,C08124_036EA,C08124_037MA,C08124_037EA,C08124_038MA,C08124_038EA,C08124_039EA,C08124_039MA,C08124_040EA,C08124_040MA,C08124_041EA,C08124_041MA,C08124_042MA,C08124_042EA,state
0400000US01,2041619,17993,712301,13637,338930,9825,474098,10731,190071,6540,318810,11167,7409,1467,1748949,19969,614639,12430,285332,10043,412458,10177,154249,6551,276017,9875,6254,1369,173508,7679,48405,3931,33356,3084,32595,3459,28672,2967,30156,4513,324,406,7234,1504,910,452,1857,754,2226,901,727,562,1514,666,0,200,43056,4195,13382,2326,10075,1651,9565,2105,3451,937,5752,1478,831,586,68872,5117,34965,3281,8310,2052,17254,2498,2972,930,5371,1530,0,200,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,351282,6043,128588,5402,59551,3933,79783,4331,38836,3295,37039,3240,7485,1427,243466,6186,92562,4453,38043,3169,58204,3617,26617,3012,23233,2677,4807,1218,41554,4193,15059,2027,6357,1314,10013,2359,4923,1225,4039,1179,1163,531,5827,1561,1108,505,1881,928,1120,521,130,119,1568,921,20,39,44451,3204,13150,1639,10211,1356,7821,1409,5423,850,6351,1088,1495,663,15984,2030,6709,1196,3059,737,2625,690,1743,751,1848,831,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3086150,17384,1112123,17406,589111,11752,803493,16113,276552,10790,296807,10891,8064,1494,2362162,18831,867631,15357,431117,11567,617577,14050,206418,9358,232332,9611,7087,1414,339590,10803,96523,5335,75310,4366,82144,5205,48510,5305,36850,3741,253,212,55495,5174,12060,1930,18264,2949,14677,1993,3781,1100,6430,1261,283,216,134988,6006,38430,3409,39641,3301,33963,3494,8742,1526,14057,2109,155,131,193915,7427,97479,4861,24779,2651,55132,4001,9101,1831,7138,1469,286,308,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1281666,13086,435752,10281,216668,8103,292390,9311,127278,5928,207210,7232,2368,964,1068253,12584,365389,8392,173098,7775,248845,8718,102772,5103,176170,6692,1979,958,126414,6651,37534,2999,25627,3046,26863,2958,16193,2083,20089,2736,108,133,3788,1046,1219,658,1195,565,600,366,168,175,606,383,0,201,36055,3923,9093,1864,9819,1934,5705,1056,3913,1272,7385,1590,140,122,47156,3936,22517,2948,6929,1266,10377,1806,4232,1319,2960,1017,141,108,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18320629,48194,7077675,42198,3385090,31921,4117705,34463,1665939,20975,2007939,23773,66281,4615,13541563,56126,5224791,37961,2380752,28105,3086923,29528,1247372,17767,1563704,22275,38021,3982,1837270,27936,571941,12914,379274,12655,395342,11550,254120,11708,232600,8408,3993,894,919579,16698,379173,10502,215107,8890,204598,8443,37351,4193,81292,5299,2058,707,929330,18716,345267,9847,214857,8811,194414,8310,75228,5662,86056,5728,13508,3076,1092887,19780,556503,14354,195100,8073,236428,7611,51868,4663,44287,4191,8701,2734,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2886978,17103,1204825,14705,482933,12015,641063,13700,270624,7868,264074,10028,23459,2555,2161670,15648,889482,13268,361434,10523,483227,11720,205654,6973,208086,8594,13787,2401,246847,8470,77616,5033,50778,4353,50717,4225,37677,4015,27639,2953,2420,997,92878,5937,38432,3405,22782,2869,20894,2706,5011,1437,5670,1826,89,103,141480,5875,58711,4034,24926,2946,29160,3058,8994,1357,12586,1954,7103,1112,244103,8996,140584,6044,23013,2578,57065,4255,13288,2169,10093,1657,60,91,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1778000,14686,775592,13580,318945,11842,387675,10434,129388,6636,160449,7115,5951,918,1391813,14671,615879,12719,243274,10220,298752,8922,103358,5846,128187,6051,2363,788,139660,7956,42970,3520,33881,3726,28393,2779,15773,2435,18208,2373,435,355,83460,4978,39599,3494,13994,2223,21654,2329,3449,1183,4567,1327,197,235,71893,4999,26813,2924,18209,2807,17660,2281,2418,856,5459,1445,1334,693,91174,4559,50331,3586,9587,1543,21216,2631,4390,1329,4028,1130,1622,1063,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,430780,6838,175609,6301,67675,4825,100332,5351,36500,3372,49656,3677,1008,538,353445,7749,143216,5576,52887,4251,83825,5062,31495,2910,41219,3207,803,468,30680,3402,11455,2106,5244,1222,5797,1212,2602,880,5377,1761,205,232,9598,1594,3992,903,1956,872,2577,733,275,298,798,465,0,198,14830,1922,4607,1132,4967,1128,2838,913,1119,633,1299,505,0,198,22227,2459,12339,1621,2621,791,5295,1354,1009,701,963,661,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,375380,6102,238215,5950,53162,3839,59214,4035,9901,2252,13854,2240,1034,386,129051,5201,77206,4133,18467,2534,21550,2452,4762,1323,6468,1360,598,288,19495,2415,10776,1603,2857,1128,3138,819,764,599,1760,1337,200,165,122643,5311,77782,4204,19237,2559,19472,2149,2842,1548,3099,1028,211,202,76524,4218,53257,3260,8975,1996,11715,2038,774,428,1778,1080,25,42,27667,2948,19194,2211,3626,1665,3339,936,759,639,749,573,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9355081,35950,3287434,30683,1865955,30385,2417175,26882,881192,19114,875109,18269,28216,2648,7423934,39897,2642262,27996,1450005,25287,1934637,21869,672689,16541,703880,16947,20461,2310,850429,21057,236259,8382,203031,9323,205939,10040,123388,8251,79377,6070,2435,793,162401,8778,29298,3410,56844,5885,41344,4378,16665,2491,18106,3196,144,170,343811,13927,88611,6181,97054,7751,75422,4559,32651,4338,46523,4246,3550,1085,574506,15223,291004,9606,59021,4770,159833,7514,35799,3833,27223,3469,1626,482,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
