GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001MA,B09010_001EA,B09010_002EA,B09010_002MA,B09010_003EA,B09010_003MA,B09010_004MA,B09010_004EA,B09010_005MA,B09010_005EA,B09010_006MA,B09010_006EA,B09010_007EA,B09010_007MA,B09010_008EA,B09010_008MA,B09010_009MA,B09010_009EA,B09010_010MA,B09010_010EA,B09010_011EA,B09010_011MA,B09010_012EA,B09010_012MA,B09010_013EA,B09010_013MA,state
0400000US01,1092073,1649,335981,11053,333405,10971,102108,8153,26985,3806,204312,10044,2576,1443,756092,11113,752931,11183,566161,12981,45451,5163,141319,8739,3161,1119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,184501,384,41363,4602,41129,4584,21982,3839,4407,1134,14740,2558,234,194,143138,4604,142086,4641,108694,4716,11221,1921,22171,3671,1052,595,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1628174,1463,457907,13756,454722,13680,192029,11349,45809,5982,216884,12530,3185,1012,1170267,13872,1160930,14022,845307,17244,111150,10484,204473,10808,9337,2324,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,706429,1856,188497,11068,185538,10974,71846,7029,15976,2841,97716,8382,2959,1484,517932,10593,514745,10768,380167,9518,39242,5037,95336,6714,3187,1106,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9035623,2619,2237545,40295,2221211,40146,1069323,29227,225876,13228,926012,28141,16334,3161,6798078,40789,6768419,41194,5122000,43736,564705,20928,1081714,26874,29659,4098,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1259366,1680,204652,12971,202906,12997,90156,8152,25134,5329,87616,8322,1746,818,1054714,13119,1048406,13095,821289,15103,82024,6521,145093,9067,6308,1553,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,740449,926,142243,8112,141430,7796,42105,6244,11013,2861,88312,7088,813,849,598206,7992,594511,8072,455551,8734,39743,4711,99217,6635,3695,1334,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203417,528,53987,5813,53955,5804,20070,3897,4402,1674,29483,4204,32,52,149430,5892,147517,5668,110543,6464,14005,2827,22969,3581,1913,1055,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,123954,577,44668,4819,44583,4828,9175,2882,3541,1745,31867,4687,85,145,79286,4803,79264,4801,51600,3719,6821,2002,20843,4098,22,39,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4188677,3183,1312870,26572,1304411,26179,524582,20126,124555,11097,655274,22539,8459,2399,2875807,27294,2853791,27656,2081109,32187,238761,13604,533921,16655,22016,3889,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
