GEO_ID,C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,NAME,C16003_001MA,C16003_001EA,C16003_002MA,C16003_002EA,C16003_003MA,C16003_003EA,C16003_004MA,C16003_004EA,C16003_005EA,C16003_005MA,C16003_006EA,C16003_006MA,C16003_007EA,C16003_007MA,C16003_008EA,C16003_008MA,state
0400000US01,50988,6665,13666,2632,854,652,11147,2341,1665,1012,37322,5004,25061,4210,12261,2617,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11863,2506,1498,661,321,362,416,405,761,500,10365,2088,1897,1089,8468,1889,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,240683,14365,49340,5208,3117,1144,39938,5100,6285,1881,191343,11363,136369,10597,54974,5822,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44484,6003,11091,2228,1105,802,7254,1864,2732,1212,33393,4705,22817,3671,10576,2709,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2989702,47281,577108,19921,36276,3692,420323,17741,120509,7947,2412594,35437,1380710,29020,1031884,25463,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,134885,10498,30805,4814,1172,548,22331,4344,7302,1892,104080,7641,66941,6270,37139,4963,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,160876,12167,28957,4405,3378,1540,18077,3202,7502,1980,131919,9307,79929,6857,51990,5098,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23903,4240,5772,1578,238,253,4938,1547,596,369,18131,3164,10542,2829,7589,1997,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27415,5360,5573,1545,298,368,4459,1371,816,662,21842,4359,13501,3188,8341,2822,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1276997,32978,193378,11423,15697,2778,143539,9293,34142,5316,1083619,26845,862996,22932,220623,12191,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,295238,16643,76900,7224,6264,1756,52758,5959,17878,3460,218338,11905,128079,9233,90259,7912,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,56374,6822,7653,1895,1550,594,675,496,5428,1645,48721,5533,2736,1169,45985,5476,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31279,5573,8311,2281,533,412,6846,2144,932,601,22968,3735,18363,3205,4605,1572,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,500414,20230,91384,7957,6254,1473,58738,6359,26392,3666,409030,13772,212643,10410,196387,10224,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,114433,9607,31917,4064,1543,708,20795,3520,9579,2250,82516,6738,46354,5685,36162,4269,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,57318,6903,12876,2740,1861,1056,6041,1708,4974,1358,44442,5023,20504,3205,23938,3813,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,66413,6184,16390,2475,738,478,13471,2539,2181,1061,50023,4660,32026,3940,17997,2634,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,54491,6781,10268,2164,959,708,5119,1242,4190,1555,44223,5597,23009,3586,21214,4479,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,83994,6847,14825,2431,1169,720,11219,2121,2437,1092,69169,5446,45690,4383,23479,3630,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
