GEO_ID,B19101_001E,B19101_001M,B19101_002E,B19101_002M,B19101_003E,B19101_003M,B19101_004E,B19101_004M,B19101_005E,B19101_005M,B19101_006E,B19101_006M,B19101_007E,B19101_007M,B19101_008E,B19101_008M,B19101_009E,B19101_009M,B19101_010E,B19101_010M,B19101_011E,B19101_011M,B19101_012E,B19101_012M,B19101_013E,B19101_013M,B19101_014E,B19101_014M,B19101_015E,B19101_015M,B19101_016E,B19101_016M,B19101_017E,B19101_017M,NAME,B19101_001EA,B19101_001MA,B19101_002MA,B19101_002EA,B19101_003MA,B19101_003EA,B19101_004EA,B19101_004MA,B19101_005MA,B19101_005EA,B19101_006EA,B19101_006MA,B19101_007EA,B19101_007MA,B19101_008MA,B19101_008EA,B19101_009MA,B19101_009EA,B19101_010EA,B19101_010MA,B19101_011EA,B19101_011MA,B19101_012EA,B19101_012MA,B19101_013MA,B19101_013EA,B19101_014MA,B19101_014EA,B19101_015EA,B19101_015MA,B19101_016MA,B19101_016EA,B19101_017EA,B19101_017MA,state
0400000US01,1203689,13513,63839,4634,45676,3633,47725,4046,54925,4009,52558,3517,59200,3783,53690,4417,55154,3946,52271,4438,99132,5374,134434,6786,167944,6280,119346,5245,73713,4500,63958,3754,60124,3013,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,5093,964,3016,768,3343,735,4449,1209,6021,1473,5391,1048,4789,953,4866,1040,4477,864,13075,1625,17811,2019,24339,2089,21520,2020,16026,1667,17726,1783,15459,1942,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,69268,5065,43979,3937,51589,4436,65218,5029,63982,4704,70069,4194,73585,4496,77093,4606,69697,4381,138651,5926,186549,7075,239052,6701,175453,7706,106763,5531,108207,4509,113170,4799,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,34673,3235,26312,2425,26836,2494,36576,3166,42266,3574,39280,3335,39298,3057,41474,3198,37115,3112,67824,4311,86380,5067,104604,4858,64273,3353,35566,2941,41113,3309,31109,2387,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,297737,9453,219745,7596,266552,8554,319918,10039,296413,10058,336228,8805,317474,7450,328550,9924,298076,7932,583245,13994,832390,14493,1139912,16955,948841,14968,672485,11191,874407,13981,1178644,14752,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,37567,3292,25789,2000,27178,2697,32382,2933,40640,3405,42476,3408,49406,4085,49331,3127,51328,3852,95276,4344,141966,5682,209854,6436,168126,5474,116495,4999,136423,5125,142570,4734,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,24607,2865,15556,2378,15854,2014,22429,2492,23667,2673,27702,3242,25664,2495,31038,2632,28420,3212,55137,3879,73864,4234,120657,5447,103149,4211,77506,3849,97212,4850,134831,4637,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,10801,1847,4550,1146,5370,1098,7727,1689,7588,1767,11027,2296,8449,1536,8594,1659,7677,1463,17051,1994,26335,3204,35179,3112,25303,2497,16653,1941,22272,2467,21219,2243,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,7641,1336,4715,1405,3936,1011,3978,976,2838,943,3032,1063,1747,606,2162,750,2765,803,4400,992,6622,1140,11855,1818,10562,1358,8819,1407,13552,1661,30733,2150,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,204441,8797,133422,6176,171765,6882,213589,7816,220542,8621,239073,7928,245711,6970,245582,7221,219805,7549,415671,10286,537252,11562,694643,14352,466676,10823,285557,9259,303549,8087,346228,8991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
